"topology","trust_memory_decay","collapse_rate","recovery_rate","avg_time_to_collapse","avg_time_to_recovery","avg_final_cooperation","survival_rate","avg_fragmentation_count","avg_largest_component_ratio","adversary_isolation_rate","reconnection_rate","signal_propagation_rate","avg_recovered_node_rate","avg_time_to_isolation","avg_recovered_network_size","defended"
"federation","0","1","0","0.2",,"0.022","0","55.59","0.166","1","0","0.989","0.011","90","0","False"
"federation","0.05","0.69","0.31","0","121.7","0.91","1","6.11","0.909","1","0.047","0.998","0.999","97.333","62.38","False"
"federation","0.1","0.08","0.92","0","76.6","0.91","1","6.01","0.909","1","0.006","0.998","0.999","100.267","65.95","True"
"federation","0.2","0","1",,"53.4","0.91","1","6.04","0.909","1","0","0.998","0.999","100.367","66.05","True"
"random","0","1","0","0",,"0.003","0","64.12","0.04","1","0","0.987","0.001","90.217","0","False"
"random","0.05","0.22","0.78","0","91.5","0.91","1","6.01","0.909","1","0.004","0.998","0.999","98.317","65.16","True"
"random","0.1","0","1",,"62.3","0.91","1","6","0.909","1","0.002","0.998","0.999","100.133","66.03","True"
"random","0.2","0","1",,"46.5","0.91","1","6","0.909","1","0","0.998","0.999","100.067","66.03","True"
"scale-free","0","1","0","0",,"0.004","0","64.09","0.043","1","0","0.984","0.001","90.383","0","False"
"scale-free","0.05","1","0","0","171.7","0.91","1","6.23","0.909","1","0.043","1","0.999","95.167","60.37","False"
"scale-free","0.1","0.59","0.41","0","110.4","0.91","1","6","0.911","1","0","1","0.999","100.067","63.69","False"
"scale-free","0.2","0","1",,"74.8","0.91","1","6","0.911","1","0","1","0.999","100.717","66.26","True"
"small-world","0","1","0","10.8",,"0.098","0","47.13","0.229","1","0","0.992","0.041","90.467","0","False"
"small-world","0.05","0.68","0.32","10.882","119.3","0.91","1","6.36","0.91","1","0.059","1","0.999","97.483","62.32","False"
"small-world","0.1","0.07","0.93","2.857","73.9","0.91","1","6.05","0.91","1","0.017","1","0.999","100.117","66.01","True"
"small-world","0.2","0","1",,"49.5","0.91","1","6","0.911","1","0.001","1","0.999","100.133","66.13","True"
