step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_effective_info,stable_share
0,0.8581197539176599,0.7861480499200001,0.509818789,0.5219441104992,0.11000000000000001,0.06599999999999999,0.6425052000000001,1.0
1,0.864075346082258,0.7612199731305087,0.5194447609734718,0.5608071145540147,0.11000000000000001,0.06599999999999999,0.6425052000000001,1.0
2,0.8655640116677068,0.7604853489343785,0.5288718929206823,0.5701185080767682,0.16999999999999998,0.10200000000000001,0.6411444000000001,1.0
3,0.8712598723795322,0.7610993068779548,0.5381282487193135,0.5897059821427139,0.08,0.049,0.6431478,0.95
4,0.8697340344005496,0.7143644594620338,0.5472051003910237,0.6264902865131646,0.065,0.039999999999999994,0.6434880000000001,0.95
5,0.876460548615799,0.7298119636795187,0.5561035706361832,0.6589572789135572,0.065,0.039999999999999994,0.6434880000000001,0.95
6,0.8753832494575668,0.6967597138146994,0.5648271653085407,0.698674244555294,0.065,0.039999999999999994,0.6434880000000001,0.95
7,0.8718753693721956,0.6777527237028796,0.5733815417886191,0.7044876410169271,0.05,0.031,0.6438282000000001,0.95
8,0.8703996854431978,0.6712525202669177,0.5817634070099268,0.7184495687153626,0.08,0.049,0.6431478,0.95
9,0.868153401572715,0.6773381806396779,0.5899827261777031,0.7271496542673412,0.065,0.039999999999999994,0.6434880000000001,0.95
10,0.8656020395823237,0.6698042409572055,0.5980300546855533,0.7391921032384332,0.13999999999999999,0.08499999999999999,0.6417870000000001,0.95
11,0.8674374230890909,0.6749975404450224,0.6059221754261251,0.7512183363856897,0.11000000000000001,0.073,0.6422406,0.95
12,0.8723218535103099,0.6806407646373998,0.6136647078259283,0.7726541856229316,0.08,0.049,0.6431478,0.95
13,0.8701270872301452,0.6620503028321397,0.6212568733348843,0.7845022393052471,0.065,0.040999999999999995,0.6434502,0.9
14,0.8715459693223153,0.6667531616757352,0.6286906054617915,0.7974907123082993,0.125,0.08399999999999999,0.6418248,0.85
15,0.8745124816569074,0.6846385608949525,0.6359874857914662,0.8085755811529749,0.065,0.040999999999999995,0.6434502,0.9
16,0.870403396402849,0.6525992265539646,0.6431322995119271,0.820929999806195,0.125,0.08299999999999999,0.6418626000000001,0.9
17,0.8574891397762926,0.5878197957538315,0.6501435543009235,0.8216130362875029,0.08,0.05,0.6431100000000001,0.9
18,0.8559836703708188,0.5967637459693286,0.6570113093653768,0.8332778361873219,0.125,0.079,0.6420138000000001,0.8
19,0.8614345246022947,0.6176496459601192,0.6637493050236962,0.8552980828263566,0.08,0.053000000000000005,0.6429966,0.75
20,0.8625084862990067,0.6138368263494136,0.6703566490083533,0.8639877380526203,0.065,0.044,0.6433368,0.75
21,0.8612017785901639,0.5965471862786145,0.6768235036292384,0.8867512733951207,0.13999999999999999,0.101,0.6411822,0.75
22,0.859486344200642,0.6009914152867308,0.6831724721287858,0.8883959917061454,0.08,0.052000000000000005,0.6430344000000001,0.8
23,0.8569077257497932,0.6090035666491396,0.6893932998483672,0.8861881976754103,0.11000000000000001,0.071,0.6423162,0.75
24,0.8593415320007092,0.6169811004424423,0.6954940968911403,0.8931298137259652,0.08,0.059,0.6427698000000001,0.75
25,0.856764891075289,0.6054094595222332,0.7014729928871974,0.9068604862294419,0.11000000000000001,0.071,0.6423162,0.75
26,0.8595973588789653,0.6254914804386669,0.7073360169977347,0.9045125419897714,0.095,0.062,0.6426564000000001,0.75
27,0.8529278727625844,0.5963974797017226,0.7130814034231083,0.902976285546743,0.10999999999999999,0.077,0.6420894,0.75
28,0.8550877427288934,0.6050615966909929,0.7187182307606783,0.9019936766309085,0.065,0.051000000000000004,0.6430722,0.7
29,0.8590650364470619,0.6123885182363441,0.7242395314645019,0.9177829530425446,0.125,0.08099999999999999,0.6419382,0.7
30,0.8602355882702494,0.6308155408635667,0.7296497946444421,0.9266989044784231,0.125,0.098,0.6412956000000001,0.75
31,0.8503369961033591,0.5782198912987833,0.7349600428346112,0.923666803577154,0.08,0.057999999999999996,0.6428076,0.8
32,0.8508139258044574,0.5570666253428576,0.7401679413974146,0.9342529202477813,0.065,0.045,0.6432990000000001,0.7
33,0.839456518091324,0.5195334358648068,0.7452674669210373,0.950497252613151,0.125,0.086,0.6417492,0.75
34,0.8342149031837278,0.5087709094222879,0.7502739854286921,0.9470276850124153,0.05,0.037,0.6436014,0.65
35,0.8335998622394543,0.5254612220352813,0.7551774345368082,0.9465303411411531,0.095,0.06999999999999999,0.6423540000000001,0.65
36,0.8298155242530895,0.5136545860624678,0.7599858503914969,0.9431847056396497,0.08,0.061,0.6426942,0.65
37,0.827196727995932,0.5187615293788457,0.764695336199381,0.9408930878682096,0.125,0.094,0.6414468,0.65
38,0.826350547991456,0.5194701269101026,0.7693188182653654,0.9374845118640487,0.065,0.046,0.6432612000000001,0.65
39,0.822882281802744,0.519279493357195,0.7738451768308083,0.9327519494799782,0.125,0.094,0.6414468,0.65
40,0.8223216301297598,0.5425339242792573,0.7782845154875776,0.9286151402068699,0.11000000000000001,0.07999999999999999,0.641976,0.6
41,0.8239686379991011,0.5645312153686858,0.7826367107437863,0.9268845019833636,0.11000000000000001,0.07999999999999999,0.641976,0.6
42,0.824998623464807,0.5499383688508501,0.7869045822876272,0.9281774461154317,0.095,0.071,0.6423162,0.6
43,0.8231506666123838,0.547924562760963,0.7910879317705964,0.9256239090453301,0.095,0.077,0.6420894,0.6
44,0.829212817442898,0.5585914808972127,0.7951916437357894,0.9314582133983718,0.08,0.05600000000000001,0.6428832000000001,0.6
45,0.8309214254872497,0.5447101511293334,0.7992131202230099,0.934581306608065,0.095,0.06999999999999999,0.6423540000000001,0.65
46,0.838250616414854,0.5686371488169149,0.8031595035206257,0.9402712751377379,0.05,0.036,0.6436392000000001,0.7
47,0.8381485886394267,0.5666999025265189,0.8070256432943437,0.9367196278592216,0.08,0.06,0.6427320000000001,0.7
48,0.8357017280135437,0.5523176489305094,0.8108147545039976,0.9368745273209205,0.095,0.06999999999999999,0.6423540000000001,0.65
49,0.8377705717818259,0.563446251443883,0.8145320399046561,0.9358357502973874,0.065,0.046,0.6432612000000001,0.65
50,0.8389087346047892,0.5735535301175778,0.8181747072790296,0.9357185102168148,0.08,0.061,0.6426942,0.65
51,0.838626798816024,0.5597080973450134,0.8217473777735327,0.9381680038817974,0.065,0.046,0.6432612000000001,0.65
52,0.8411391325633121,0.558690878665354,0.8252498489398651,0.9418760143513657,0.065,0.046,0.6432612000000001,0.65
53,0.8423220596762325,0.5691551258375782,0.8286820138807192,0.9393057467686038,0.08,0.061,0.6426942,0.65
54,0.8403475708234313,0.5661368652236439,0.8320427874626886,0.9390202563355871,0.13999999999999999,0.10200000000000001,0.6411444000000001,0.7
55,0.838820454829363,0.5450816434654184,0.83534296466394,0.9406602260301746,0.065,0.046,0.6432612000000001,0.65
56,0.8284373326333279,0.517861540700694,0.8385739086012938,0.9392661145123512,0.125,0.093,0.6414846000000001,0.7
57,0.8331775727211553,0.5308964674248675,0.8417450246966375,0.9396739926323173,0.08,0.054000000000000006,0.6429588,0.7
58,0.8253728632045865,0.4959080521504696,0.8448532177664457,0.9358314943251195,0.095,0.061,0.6426942,0.8
59,0.81938902124905,0.5101641247940578,0.8478997486411923,0.9319099304621297,0.095,0.06799999999999999,0.6424296,0.75
60,0.8169108164408542,0.5136232504162701,0.850884299572674,0.9273655141697941,0.125,0.093,0.6414846000000001,0.7
61,0.8143645762363549,0.5027733967472761,0.8538123167756844,0.9237054561214195,0.095,0.06899999999999999,0.6423918000000001,0.7
62,0.8150427553487309,0.5050852676394422,0.8566854924228844,0.9233409476503024,0.05,0.037,0.6436014,0.65
63,0.8154368163868974,0.5173446522800699,0.8594979724594205,0.9218460777048076,0.125,0.089,0.6416358000000001,0.6
64,0.8155217387793862,0.5165776025738393,0.8622549410617395,0.9215893269981598,0.11000000000000001,0.093,0.6414846000000001,0.55
65,0.8093120700995377,0.48051500299306704,0.864959373624863,0.9196788673454004,0.095,0.073,0.6422406,0.5
66,0.804555281982697,0.4822030720924658,0.8676107079673395,0.9165977127671935,0.095,0.073,0.6422406,0.5
67,0.7976340564076675,0.4953105967837095,0.8702099123870836,0.9131205652065046,0.095,0.074,0.6422028000000001,0.45
68,0.7971735173589691,0.4949282628051047,0.8727560981851316,0.9170688125178721,0.10999999999999999,0.101,0.6411822,0.45
69,0.8138250255104783,0.5072863891813854,0.87525392174629,0.947683614390127,0.095,0.079,0.6420138000000001,0.5
70,0.8187739273958192,0.5081569824113565,0.8777044807427254,0.9493291326834143,0.065,0.054000000000000006,0.6429588,0.55
71,0.8221320789839736,0.5204529957836311,0.8801053043032269,0.9508446816806041,0.095,0.077,0.6420894,0.6
72,0.8263890705036326,0.5256497334116974,0.8824611048742599,0.94897350369697,0.065,0.046,0.6432612000000001,0.65
73,0.8308864168381034,0.5143134384611167,0.8847702164492957,0.9546929216428349,0.065,0.052000000000000005,0.6430344000000001,0.65
74,0.8289049632478275,0.515022616230578,0.8870325941901921,0.9519665280593029,0.11000000000000001,0.073,0.6422406,0.65
75,0.8252602818360829,0.5158802628762356,0.8892507431615732,0.947444020715214,0.095,0.06999999999999999,0.6423540000000001,0.65
76,0.8298807439622685,0.5288704978895453,0.8914257154372323,0.9470721251827493,0.095,0.064,0.6425808000000001,0.65
77,0.838549530480717,0.540693731970278,0.8935572353644817,0.9528244404157775,0.095,0.076,0.6421272,0.65
78,0.8442120678550349,0.5533652953507162,0.8956493238854767,0.9545870267909307,0.05,0.036,0.6436392000000001,0.7
79,0.8412446126799102,0.5528966485687401,0.8976987553649339,0.9502379489522257,0.095,0.062,0.6426564000000001,0.75
80,0.8402982919103458,0.5640311036690262,0.8997074140044253,0.945776734652822,0.11000000000000001,0.071,0.6423162,0.75
81,0.8370779036031442,0.551038770337982,0.9016771451601914,0.9417470638459278,0.095,0.062,0.6426564000000001,0.75
82,0.8375872255170256,0.550871170079259,0.9036084135890322,0.9393264569513257,0.08,0.057999999999999996,0.6428076,0.8
83,0.8343220993218136,0.5509577324576733,0.9054994515675123,0.9343801513247326,0.13999999999999999,0.1,0.64122,0.8
84,0.8404050829313935,0.574380997340405,0.9073559098309791,0.9330549249110922,0.08,0.053000000000000005,0.6429966,0.75
85,0.8319625098669942,0.5261870327299872,0.9091754258037703,0.9294666703377462,0.095,0.062,0.6426564000000001,0.75
86,0.8370563626621383,0.5506060828668485,0.9109592066223756,0.9302377448458236,0.095,0.062,0.6426564000000001,0.75
87,0.8393274684221609,0.5632031147081259,0.9127089134224434,0.9273459932641861,0.065,0.043,0.6433746,0.8
88,0.8407746684185113,0.5738419199076509,0.9144233457796789,0.9240225001456368,0.095,0.061,0.6426942,0.8
89,0.846692865268267,0.5839213617968986,0.9161046398240466,0.9289079866959646,0.065,0.05,0.6431100000000001,0.75
90,0.8524814545418898,0.6053071548004216,0.9177527600998617,0.9333437593464746,0.08,0.053000000000000005,0.6429966,0.75
91,0.8569832744743042,0.6043836878828565,0.9193680836064886,0.9416950663991104,0.095,0.062,0.6426564000000001,0.75
92,0.8539621385993403,0.5892453780552586,0.9209521390726246,0.9381170673779629,0.08,0.052000000000000005,0.6430344000000001,0.8
93,0.8558355284947435,0.5988908916355596,0.9225050757532566,0.9391001469657174,0.08,0.052000000000000005,0.6430344000000001,0.8
94,0.8542127080004109,0.5728709081067322,0.9240282943725602,0.9368594386333434,0.05,0.033999999999999996,0.6437148,0.8
95,0.8533186305213171,0.5827546869572316,0.9255197642899737,0.9346443381102016,0.11000000000000001,0.076,0.6421272,0.8
96,0.8611321268765486,0.6053054940928277,0.9269837270257787,0.9393422633234652,0.05,0.033999999999999996,0.6437148,0.8
97,0.8654553441532713,0.6262984969271732,0.9284185420762968,0.9379483635100921,0.065,0.043,0.6433746,0.8
98,0.8639658087312005,0.6219876521501184,0.9298244719668851,0.9342807002372817,0.095,0.06,0.6427320000000001,0.85
99,0.8633831668892548,0.6184120107053576,0.9312035043684341,0.9312946770660246,0.065,0.041999999999999996,0.6434124000000001,0.85
