run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8496710060777437,0.8090082823583491,0.9408212215359202,0.4962608017234198,0.9311895482852381,0.9729588768103684,,,1,0,0,0.05653677453138939
1,43,0.8827166312269621,0.8210693349243673,0.9871305403154411,0.7189091231122086,0.9311626813420031,0.9102696519361738,,,1,0,0,0.056179163965651924
2,44,0.8129635348152305,0.6991914904958116,0.9484220749353585,0.31716726075007373,0.931045146809735,0.985770726633526,60,73,0,1,0,0.07682411209859186
3,45,0.9425478479696019,0.590520573186712,0.9425478479696019,0.8031106638586337,0.9310581074548354,0.9903873825575581,2,57,0,1,0,0.0880340094404336
4,46,0.8655895361958189,0.7589639408842099,0.9553520231197501,0.6173006926736024,0.9311069255640791,0.9573299572153768,66,77,0,1,0,0.06025901477894746
5,47,0.8634047578646802,0.618515250006397,0.905766665534423,0.5930361828660307,0.9310830174945731,0.9805742777941848,7,12,0,1,0,0.09020884215899905
6,48,0.9472193713023278,0.6033415851892066,0.9472193713023278,0.8366916685469884,0.9311109107459847,0.9586642683747727,34,77,0,1,0,0.07239500660109599
7,49,0.8704791021089069,0.7385867496037104,0.9256355930720614,0.654197098735471,0.9311079244514892,0.9562912839665404,46,55,0,1,0,0.06130715785681118
8,50,0.8803435116607494,0.7638046973736031,0.9523731928830956,0.7037272566361508,0.9311716400109162,0.9096026402251705,18,21,0,1,0,0.05904882565659919
9,51,0.7176753125339068,0.6014637745775748,0.8913912925269136,0.27899343132035487,0.9310670734231836,0.810302656296786,17,32,0,1,1,0.060522914189251376
10,52,0.8775281559307636,0.6284740634357857,0.925381858123613,0.5998477907839297,0.9310571103956744,0.9903674627959967,21,86,0,1,0,0.08792853005061974
11,53,0.8379650196318039,0.7701404793107768,0.9893548441666962,0.5750264943980522,0.9311865641049826,0.8980678767699558,63,69,0,1,0,0.055440387148894654
12,54,0.8555021830227401,0.6973859263136792,0.9426658651787092,0.6128358930137244,0.9311985021199757,0.9651059440316561,12,45,0,1,0,0.0707799342874913
13,55,0.960320461319707,0.7599730160377897,0.9859204326420592,0.8960368264935534,0.9311716376371365,0.8915911373286635,45,54,0,1,0,0.06000674599055256
14,56,0.761523636541749,0.6844063846816955,0.9045361030456434,0.4539862634950084,0.9311079236738284,0.888945436962907,13,29,0,1,1,0.062316586916683514
15,57,0.6929614208614419,0.611929335887972,0.901394871594138,0.29353020902159954,0.9310630856187708,0.8429995639767243,18,27,0,1,1,0.08785269175680455
16,58,0.9115294690023401,0.8117376335180763,0.9641518337692747,0.6916107800283067,0.9312343032236168,0.9858213753438902,,,1,0,0,0.0494295424476896
17,59,0.7962444810972402,0.7251519201910327,0.9668632069499189,0.5641450417582495,0.9311537231903748,0.9079642242220402,62,78,0,1,1,0.05832870574202431
18,60,0.6992596892393063,0.6057922580485022,0.8833321998760388,0.2895762394430461,0.9310830171486899,0.816741564520315,8,11,0,1,1,0.05552203338530093
19,61,0.8566927099380992,0.8283327565971166,0.9530511605651149,0.41737813028921295,0.9311985016025442,0.9770931290767904,,,1,0,0,0.052925812618805024
