run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.860774148247178,0.8207785195708264,0.9496628568943465,0.5271956597172404,0.9311895482852381,0.9729885353487816,,,1,0,0,0.055619418997537196
1,43,0.8967312145573904,0.8357459729467488,0.9950016229703271,0.7619923880906921,0.9311626813420031,0.9108160185412774,,,1,0,0,0.055205638120306655
2,44,0.8342312395962173,0.7424925308726096,0.9619622845858227,0.3769237528428327,0.931075044105095,0.9857766315627808,63,70,0,1,0,0.06061370848471337
3,45,0.9608645702622138,0.5952006862414136,0.9608645702622138,0.8546073859487533,0.9310690705664876,0.990392429236323,2,57,0,1,0,0.08733376688620653
4,46,0.8858087642635023,0.8040356020684205,0.9684795238410642,0.6686719370348048,0.931117882122149,0.9575364317250661,,,1,0,0,0.052114983108497714
5,47,0.8830305115216706,0.6331877100999589,0.9222254630481244,0.6519202099957745,0.9310989580508523,0.9805977859470532,27,76,0,1,0,0.09015700266969773
6,48,0.9590850388059429,0.6090815777629021,0.9590850388059429,0.8680338603624507,0.9311129028618296,0.9587838699259883,36,77,0,1,0,0.07002973611933472
7,49,0.8881768440719802,0.7705508181534846,0.9338493920147288,0.7035449379375983,0.9311188796412629,0.9564436341145901,47,55,0,1,0,0.057711693293743926
8,50,0.8904761821399524,0.7731256416806518,0.9597649811261446,0.7336004111866433,0.9311716400109162,0.9100264336737467,18,21,0,1,0,0.056718589579837
9,51,0.7260004926052661,0.6092583099714954,0.8921926263388,0.30901386248816665,0.9310680701221494,0.8106449549964293,17,30,0,1,1,0.05496364815362831
10,52,0.9076946706049214,0.6434800606281316,0.9303685609956296,0.6830280306734735,0.9310979634402686,0.990375614459506,33,71,0,1,0,0.07788756637618444
11,53,0.8512754496553265,0.7942423475815079,0.9943760276334122,0.6093828551137093,0.9311935273935306,0.8988149785836516,64,69,0,1,0,0.05049841699728885
12,54,0.8659336232231827,0.708022887354701,0.950211994164359,0.6412481267679524,0.9312014864727524,0.9651718260376565,12,36,0,1,0,0.06755681439693206
13,55,0.9756609447914972,0.8096539941108792,0.9929025190239555,0.9396089247720506,0.9311805938028135,0.8928402913221863,,,1,0,0,0.047245565954590396
14,56,0.8366579408522926,0.7364999273884706,0.9174907445317153,0.5832405344004802,0.931157705406503,0.9030480204591904,13,14,0,1,0,0.05404780465823866
15,57,0.6987176218903219,0.6325900140313814,0.9069377233474941,0.3170865448661777,0.9310879990012855,0.8431995607924176,31,44,0,1,1,0.08921534856947044
16,58,0.9231163638458334,0.8205206594198111,0.9680060518270311,0.7279352388939351,0.9312343032236168,0.9858318926979726,,,1,0,0,0.048581532803970595
17,59,0.8336896457359355,0.740004199740029,0.9761346469904115,0.6292246797880292,0.9311636757950565,0.912538100442411,62,78,0,1,0,0.055014881723698617
18,60,0.7048163424966674,0.6099890364898435,0.8838641564126442,0.31036193899072295,0.9310929799748293,0.8175754091261337,22,57,0,1,1,0.05489268966389016
19,61,0.868809165126575,0.8401608370033136,0.9618018591779817,0.452530537041055,0.9311985016025442,0.9771130868169763,,,1,0,0,0.05179064389871768
