run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,True,True,1.0,1.0,1.0,0,2,0.0,1,0,0.0,none,0,0,0
2,43,federation,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
3,44,federation,True,True,0.996,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
4,45,federation,True,True,1.0,1.0,1.0,0,2,0.0,0,0,0.0,none,0,0,0
5,46,federation,True,True,0.99,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
6,47,federation,True,True,0.999,1.0,1.0,0,1,0.25,4,1,0.0,none,0,0,0
7,48,federation,True,True,0.998,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
8,49,federation,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
9,50,federation,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
10,51,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
11,52,federation,True,True,0.991,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
12,53,federation,True,True,0.997,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
13,54,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
14,55,federation,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
15,56,federation,True,True,1.0,1.0,1.0,0,2,0.0,0,0,0.0,none,0,0,0
16,57,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
17,58,federation,True,True,1.0,1.0,1.0,0,2,0.0,0,0,0.0,none,0,0,0
18,59,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
19,60,federation,True,True,0.999,1.0,1.0,0,1,0.5,2,1,0.0,none,0,0,0
20,61,federation,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
21,62,federation,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
22,63,federation,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
23,64,federation,True,True,1.0,1.0,1.0,0,2,0.0,1,0,0.0,none,0,0,0
24,65,federation,True,True,1.0,1.0,1.0,0,2,0.0,0,0,0.0,none,0,0,0
25,66,federation,True,True,0.999,1.0,1.0,0,2,0.0,0,0,0.0,none,0,0,0
26,67,federation,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
27,68,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
28,69,federation,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
29,70,federation,True,True,1.0,1.0,1.0,0,2,0.0,1,0,0.0,none,0,0,0
30,71,federation,True,True,0.998,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
31,72,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
32,73,federation,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
33,74,federation,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
34,75,federation,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
35,76,federation,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
36,77,federation,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
37,78,federation,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
38,79,federation,True,True,0.999,1.0,1.0,0,1,0.2,5,1,0.0,none,0,0,0
