run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,True,True,0.713,1.0,1.0,0,2,0.967,0.083,12,1,0.0,none,0,0,0
2,43,federation,True,True,0.702,1.0,1.0,0,1,1.0,0.154,13,2,0.0,none,0,0,0
3,44,federation,True,True,0.715,1.0,1.0,0,1,1.0,0.583,12,7,0.0,none,0,0,0
4,45,federation,True,True,0.777,1.0,1.0,0,2,0.983,0.0,10,0,0.0,none,0,0,0
5,46,federation,True,True,0.725,1.0,1.0,0,1,1.0,0.167,12,2,0.0,none,0,0,0
6,47,federation,True,True,0.639,1.0,1.0,0,1,1.0,0.312,16,5,0.0,none,0,0,0
7,48,federation,True,True,0.796,1.0,1.0,0,1,1.0,0.1,10,1,0.0,none,0,0,0
8,49,federation,True,True,0.708,1.0,1.0,0,1,1.0,0.231,13,3,0.0,none,0,0,0
9,50,federation,True,True,0.75,1.0,1.0,0,1,1.0,0.0,11,0,0.0,none,0,0,0
10,51,federation,True,True,0.734,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
11,52,federation,True,True,0.789,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
12,53,federation,True,True,0.708,1.0,1.0,0,1,1.0,0.083,12,1,0.0,none,0,0,0
13,54,federation,True,True,0.787,1.0,1.0,0,1,1.0,0.0,10,0,0.0,none,0,0,0
14,55,federation,True,True,0.771,1.0,1.0,0,1,1.0,0.154,13,2,0.0,none,0,0,0
15,56,federation,True,True,0.723,1.0,1.0,0,2,0.984,0.0,10,0,0.0,none,0,0,0
16,57,federation,True,True,0.784,1.0,1.0,0,1,1.0,0.2,10,2,0.0,none,0,0,0
17,58,federation,True,True,0.795,1.0,1.0,0,2,0.983,0.0,10,0,0.0,none,0,0,0
18,59,federation,True,True,0.792,1.0,1.0,0,1,1.0,0.091,11,1,0.0,none,0,0,0
19,60,federation,True,True,0.654,1.0,1.0,0,1,1.0,0.267,15,4,0.0,none,0,0,0
20,61,federation,True,True,0.778,1.0,1.0,0,1,1.0,0.364,11,4,0.0,none,0,0,0
