run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,300,True,True,0.898,1.0,1.0,0,1,1.0,1.0,1,1,0.0,none,0,0,0
2,43,random,300,True,True,0.875,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
3,44,random,300,True,True,0.829,1.0,1.0,0,1,1.0,0.0,4,0,0.0,none,0,0,0
4,45,random,300,True,True,0.97,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
5,46,random,300,True,True,0.94,1.0,1.0,2,3,0.96,0.0,1,0,0.0,none,0,0,0
6,47,random,300,True,True,0.884,1.0,1.0,1,2,0.98,1.0,1,1,0.0,none,0,0,0
7,48,random,300,True,True,0.947,1.0,1.0,0,1,1.0,0.0,3,0,0.0,none,0,0,0
8,49,random,300,True,True,0.946,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
9,50,random,300,True,True,0.885,1.0,1.0,1,2,0.98,0.5,2,1,0.0,none,0,0,0
10,51,random,300,True,True,0.951,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
11,52,random,300,True,True,0.931,1.0,1.0,0,1,1.0,0.0,1,0,0.0,none,0,0,0
12,53,random,300,True,True,0.947,1.0,1.0,2,3,0.959,0.0,0,0,0.0,none,0,0,0
13,54,random,300,True,True,0.979,1.0,1.0,2,3,0.962,0.0,0,0,0.0,none,0,0,0
14,55,random,300,True,True,0.922,1.0,1.0,1,2,0.979,0.0,1,0,0.0,none,0,0,0
15,56,random,300,True,True,0.907,1.0,1.0,1,2,0.962,0.0,0,0,0.0,none,0,0,0
16,57,random,300,True,True,0.932,1.0,1.0,1,2,0.981,0.0,1,0,0.0,none,0,0,0
17,58,random,300,True,True,0.965,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
18,59,random,300,True,True,0.953,1.0,1.0,1,2,0.98,0.0,0,0,0.0,none,0,0,0
19,60,random,300,True,True,0.887,1.0,1.0,0,1,1.0,0.0,2,0,0.0,none,0,0,0
20,61,random,300,True,True,0.972,1.0,1.0,0,1,1.0,0.0,0,0,0.0,none,0,0,0
