run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,True,True,0.968,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
2,43,scale-free,True,True,0.953,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
3,44,scale-free,True,True,0.994,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
4,45,scale-free,True,True,0.952,1.0,1.0,0,1,0.25,12,3,0.0,none,0,0,0
5,46,scale-free,True,True,0.964,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
6,47,scale-free,True,True,0.933,1.0,1.0,0,1,0.154,13,2,0.0,none,0,0,0
7,48,scale-free,True,True,0.972,1.0,1.0,0,1,0.083,12,1,0.0,none,0,0,0
8,49,scale-free,True,True,0.981,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
9,50,scale-free,True,True,0.975,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
10,51,scale-free,True,True,0.978,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
11,52,scale-free,True,True,0.988,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
12,53,scale-free,True,True,0.976,1.0,1.0,0,1,0.0,14,0,0.0,none,0,0,0
13,54,scale-free,True,True,0.974,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
14,55,scale-free,True,True,0.926,1.0,1.0,0,1,0.154,13,2,0.0,none,0,0,0
15,56,scale-free,True,True,0.959,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
16,57,scale-free,True,True,0.986,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
17,58,scale-free,True,True,0.996,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
18,59,scale-free,True,True,0.997,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
19,60,scale-free,True,True,0.974,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
20,61,scale-free,True,True,0.952,1.0,1.0,0,1,0.154,13,2,0.0,none,0,0,0
21,62,scale-free,True,True,0.983,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
22,63,scale-free,True,True,0.938,1.0,1.0,0,1,0.077,13,1,0.0,none,0,0,0
23,64,scale-free,True,True,0.968,1.0,1.0,0,1,0.1,10,1,0.0,none,0,0,0
24,65,scale-free,True,True,0.953,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
25,66,scale-free,True,True,0.989,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
26,67,scale-free,True,True,0.921,1.0,1.0,0,1,0.182,11,2,0.0,none,0,0,0
27,68,scale-free,True,True,0.985,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
28,69,scale-free,True,True,0.871,1.0,1.0,0,1,0.4,15,6,0.0,none,0,0,0
29,70,scale-free,True,True,0.986,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
30,71,scale-free,True,True,0.993,1.0,1.0,0,1,0.0,11,0,0.0,none,0,0,0
31,72,scale-free,True,True,0.955,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
32,73,scale-free,True,True,0.963,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
33,74,scale-free,True,True,0.953,1.0,1.0,0,1,0.25,12,3,0.0,none,0,0,0
34,75,scale-free,True,True,0.98,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
35,76,scale-free,True,True,0.963,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
36,77,scale-free,True,True,0.946,1.0,1.0,0,1,0.077,13,1,0.0,none,0,0,0
37,78,scale-free,True,True,0.982,1.0,1.0,0,1,0.091,11,1,0.0,none,0,0,0
38,79,scale-free,True,True,0.843,1.0,1.0,0,1,0.25,16,4,0.0,none,0,0,0
39,80,scale-free,True,True,0.981,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
40,81,scale-free,True,True,0.973,1.0,1.0,0,1,0.0,10,0,0.0,none,0,0,0
