step,avg_trust,avg_disturbance,avg_stability,avg_cognitive_distortion,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.20755080994410635,0.890925127518402,0.1916205787738902,0.0,0.0,0.0,0.6400000000000001,0.6400000000000001,1.0,0.1
1,0.7415756210992238,0.21938344750558322,0.9098618562267262,0.21420539239387196,0.0599250936329588,0.0599250936329588,0.32958801498127344,0.35056179775280905,0.8,1.0,0.05
2,0.7232266759231696,0.22176044400816225,0.9134489518681607,0.21854959611630945,0.04983643862892903,0.19160859052766321,0.2842269947375907,0.27432797610581716,0.8,1.0,0.1
3,0.7072536848258171,0.24162712453593693,0.9107460018459241,0.2378562210428626,0.04487587324692619,0.15537098620959244,0.3436089482551366,0.25614419228834484,0.8,1.0,0.15
4,0.6906203481941476,0.234537508526287,0.9066282762677668,0.24014827784928552,0.05590918637084542,0.2117232294789971,0.2843976664381898,0.24796991771196772,0.8,0.95,0.05
5,0.6807943494940896,0.22818934359396734,0.8985861209588825,0.23256410977274733,0.07485812154172537,0.23279163649385087,0.30917521929649033,0.18317502266793345,0.8,0.95,0.05
6,0.6713403149919598,0.2234123763715568,0.8949772222951282,0.22479258724825674,0.06395949460076737,0.22293933109612052,0.28090084665691717,0.23220032764619497,0.8,0.95,0.1
7,0.6574498395506527,0.21924471766740053,0.8951227351976984,0.21881891154788463,0.058581910997861655,0.21808210864191432,0.20650743074520203,0.31682854961502205,0.8,0.95,0.05
8,0.6531442471354334,0.2163829274030737,0.8919622725010565,0.21550308425050502,0.06969046574353674,0.19180023110969394,0.2719610089642258,0.2577482941825435,0.7912000000000001,0.95,0.0
9,0.6402088658507402,0.22735318847035502,0.8885240884819284,0.22032867980444637,0.061614256504975304,0.22539512459118613,0.20800119002588216,0.2893254288779564,0.784336,0.9,0.1
10,0.6295106933683099,0.23054139275332575,0.8837257963606019,0.21923313683310558,0.06434455219582541,0.20771654089257222,0.22266671296272933,0.2842542739488731,0.77898208,0.9,0.1
11,0.618136041898137,0.2227176784878727,0.8836332695491373,0.2176343628130804,0.058959771014784036,0.19851685446458195,0.1801783690327323,0.3623450054879017,0.8,0.9,0.05
12,0.6133301808947293,0.2149961030654707,0.88039405424182,0.22047945123710777,0.0629530326870377,0.20198082848862278,0.20656790478243253,0.3196982340419071,0.7912000000000001,0.8,0.0
13,0.6135274861478381,0.1963866122423607,0.877033738665911,0.2121962598176154,0.06043398520183123,0.2025073386175673,0.22303528273539688,0.2807593934452047,0.7667360000000001,0.8,0.0
14,0.6010608346691023,0.21775198969259155,0.8751190408572024,0.20674409268702715,0.04592062315673352,0.21391933140733,0.13788061544018332,0.3411335099957532,0.7388540800000001,0.75,0.1
15,0.5913954611362638,0.21461237148345064,0.8722984033724792,0.20960312218285568,0.0732901191078315,0.1692338516760778,0.14596858191868956,0.34963154969740123,0.7381241024,0.8,0.1
16,0.5870397067787241,0.19780352081650934,0.8710907638686981,0.20992306393583515,0.053593718506516105,0.18057708559041832,0.1567521959871795,0.3540651023158861,0.7449881024,0.8,0.0
17,0.5796881728575933,0.20835204434116378,0.8660022106032013,0.2117454309507783,0.06476527087975706,0.19385136137254688,0.14624146373625707,0.317032623883439,0.721890719872,0.8,0.05
18,0.5722151793628332,0.22629437946998224,0.861645323521191,0.20505431195958476,0.04410720942643868,0.21757958916954084,0.15195547840107568,0.33970170703110486,0.75334398402816,0.8,0.1
19,0.5706738250727827,0.2263291866549785,0.853886805995294,0.2058529605308971,0.060270212224670675,0.22210386468003956,0.19834195224845558,0.26871019838879906,0.7494262275419649,0.75,0.05
20,0.5691450916333989,0.21163923082017363,0.8504390653326469,0.20503628366276455,0.05783322795599165,0.2346899040436338,0.17091320627407444,0.29391611920903266,0.7573524574827326,0.75,0.0
21,0.5691599628149516,0.21263374510974545,0.8474450083116537,0.2078068399244284,0.053996397701732646,0.22089629460191915,0.1820747485105447,0.2867853960223349,0.7437528368365315,0.75,0.05
22,0.56234744040639,0.21617640105256122,0.844287769864564,0.19236165559241022,0.05930379629280277,0.29071593430847664,0.12472952704435378,0.2828598750868613,0.7576091327324945,0.75,0.05
23,0.5575544036887183,0.20088633690629404,0.8445244473967278,0.19175864150730348,0.05724274314984432,0.256594007287867,0.11634287058157489,0.3212068050400595,0.7513864260593458,0.75,0.05
24,0.5505758176522233,0.21620814813018283,0.8408659406875355,0.20139559546456054,0.04777157613650902,0.24767114425773012,0.12264322446723135,0.2999954674648192,0.7180814123262896,0.8,0.1
25,0.5445740641086092,0.2326044115485988,0.8362052524459458,0.19828765428325384,0.0615431383016067,0.283623668777974,0.14106737476991965,0.2981018181504997,0.784336,0.75,0.1
26,0.5456131920772005,0.21976198529393506,0.8333138364782545,0.1927045682478752,0.06549247314944419,0.25099185081596703,0.16603501439395144,0.28766274164063743,0.77018208,0.75,0.0
27,0.5439329743684784,0.2186835456921119,0.834122937905485,0.20308158373106105,0.055132458009490994,0.1994270288596509,0.15170340264084847,0.34407913289000963,0.7503420224,0.75,0.05
28,0.5292725425795795,0.28048549178771154,0.8262060288765026,0.20648560197482033,0.0424649355057242,0.299849547114155,0.13792113865970929,0.3109643787204116,0.7912000000000001,0.7,0.25
29,0.5209634788844221,0.25690472164997546,0.8144562254457194,0.20411601795097845,0.10466804294468397,0.30780486498263443,0.13857017680985725,0.21375691526282434,0.7648,0.6,0.05
30,0.5142609740935815,0.2508756984996333,0.8065037106449824,0.2094388868323,0.07731429357951793,0.26743064471070466,0.1383498902597077,0.25231317145006976,0.7354080000000001,0.55,0.05
31,0.5108314516219308,0.24748812700063735,0.7992435356693316,0.20717976998939153,0.0696412660903228,0.30736373819173574,0.14830850076477028,0.2292045749531712,0.7545180800000001,0.55,0.05
32,0.5097266866917158,0.24179119292938567,0.7949725786464439,0.20598781263784965,0.050813484903659854,0.280278357644282,0.15942358136297868,0.2368726784890795,0.7273881024000001,0.55,0.05
33,0.5104396854376041,0.23126219817178062,0.7933514755362938,0.1985739463402052,0.05903528774851384,0.2930334334212349,0.1498976246692209,0.24030565416103045,0.742272,0.55,0.05
34,0.5113299377154605,0.22067174130353764,0.7933024064028065,0.194547194942516,0.057865742996685086,0.26792064666515264,0.13851472908222986,0.24128896125593244,0.70559008,0.55,0.05
35,0.5079643467442219,0.22502916862355202,0.7935544396670162,0.19854422722766657,0.05106286950506038,0.29274905748417773,0.11975807943030214,0.26113015358045977,0.72470016,0.55,0.05
36,0.505863824611281,0.23172530550518458,0.7903145905789881,0.18753588724441614,0.06296309336819543,0.3633578804366405,0.12188203285971044,0.2097329933354537,0.757936,0.55,0.1
