run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.7331246099732448,0.7331246099732448,0.9288732069256226,0.45348261721143185,0.4139205651010216,0.15930402213493566,0.44,44,,0,0,1,never_recovered,0.6952247152187767
1,43,0.6878580631984147,0.6784794421307885,0.8879081670181744,0.4128428129801416,0.6285950523354101,0.22733384982398094,0.29,12,24,0,1,1,ended_below_threshold,0.620286795576779
2,44,0.7183967033167253,0.6239263260509641,0.957225217552345,0.4779066085097733,0.23581521795598767,0.1559196243730473,0.55,55,,0,0,1,never_recovered,0.7272255257849716
3,45,0.7803009212676676,0.6813844918746219,0.9622840125837048,0.568821042372948,0.16747019706414462,0.11438657590168196,0.4,40,,0,0,1,never_recovered,0.7071272729600001
4,46,0.7521217131743736,0.6546668988827126,0.9767090617701639,0.49350293946939333,0.2024891720261885,0.16704866574308005,0.41,41,,0,0,1,never_recovered,0.6881426764544001
5,47,0.7337628049296887,0.6721988251560848,0.9161436111953349,0.46372217613420025,0.2562650364528683,0.09491208931895004,0.09,9,,0,0,1,never_recovered,0.6398428604731767
6,48,0.633924745674242,0.6326796012291992,0.9678586453211712,0.3410262527414877,0.27103055413906674,0.14549727774328924,0.28,28,,0,0,1,never_recovered,0.6804078284544001
7,49,0.7810133842677623,0.734806752645908,0.9366608677404329,0.5620875595280371,0.21896377650591878,0.14723731398883094,0.54,38,60,0,1,1,ended_below_threshold,0.7261491097849715
8,50,0.7867707916632288,0.72232603041106,0.9597464231296459,0.5511394965526575,0.11310676482826873,0.12683805132765447,0.3,30,,0,0,1,never_recovered,0.6650615014144
9,51,0.6826203935117282,0.6111525906654348,0.9392296158335842,0.4298509186049066,0.21757020047259082,0.18204139383149187,0.14,14,,0,0,1,never_recovered,0.678449434288425
10,52,0.7882265811220026,0.6689300441097686,0.9511962825160855,0.5400833070884804,0.2110382073172309,0.1292231832157565,0.55,55,,0,0,1,never_recovered,0.72654245248
11,53,0.7201635712700354,0.6956025567487493,0.9301606908425534,0.5065620998471153,0.25500877223042034,0.1499979604698214,0.43,43,,0,0,1,never_recovered,0.6980365209600001
12,54,0.6640880729306565,0.6620501501051402,0.9239416003289141,0.4041957691520339,0.2435007711330217,0.19787686653171982,0.12,12,,0,0,1,never_recovered,0.64705652992
13,55,0.7500875779894319,0.6578179066578459,0.9536223400247289,0.5003693295141489,0.25247435758160286,0.13604152048617096,0.37,37,,0,0,1,never_recovered,0.70963166848
14,56,0.656100955519899,0.6304095231431346,0.926854419201378,0.38399864563317254,0.2634986941730086,0.14211033471056972,0.29,29,,0,0,1,never_recovered,0.6597106649344
15,57,0.6181666306309405,0.6156060309230852,0.8990855855487785,0.32136659357826897,0.2788532693899143,0.126573320041362,0.18,4,15,0,1,1,ended_below_threshold,0.6549417664
16,58,0.7412521383021853,0.7045592419247922,0.9807482416301896,0.490601424800585,0.22335570961457338,0.12740704379279094,0.65,65,,0,0,1,never_recovered,0.7272130009344001
17,59,0.7273084152218519,0.564519215178656,0.9109271070921947,0.46196839007044677,0.19134437015511596,0.0835587930589169,0.25,25,,0,0,1,never_recovered,0.6549677427193715
18,60,0.6749550017114095,0.6679754854002653,0.9473143944073295,0.4189668487145716,0.22556819751286802,0.168285291099678,0.19,19,,0,0,1,never_recovered,0.68967326848
19,61,0.7215961070651558,0.6280874679327246,0.9655759175948068,0.4555238037139866,0.16580709778053904,0.07838397441130672,0.46,46,,0,0,1,never_recovered,0.70254212096
