step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.7597974009560763,0.20755080994410635,0.20755080994410635,0.8636041722254812,0.1916205787738902,0.1916205787738902,0.0,0.0,0.0,0.0,0.0,1.0,0.1
1,0.7157632600404968,0.7157632600404968,0.22824018967022583,0.22824018967022583,0.8632594835543509,0.2227659874321437,0.2227659874321437,0.0,0.0,0.0,0.0,0.0,1.0,0.05
2,0.6702540429378808,0.6702540429378808,0.23659853586525154,0.23659853586525154,0.8987238928906042,0.25326992134113335,0.25326992134113335,0.0,0.0,0.0,0.96,0.96,1.0,0.1
3,0.6717214765311258,0.6717214765311258,0.246424923186002,0.246424923186002,0.9097219965791359,0.27114487848717844,0.27114487848717844,0.0898876404494382,0.0898876404494382,0.4943820224719101,0.5258426966292135,1.1999999999999997,1.0,0.15
4,0.6903304938648728,0.6903304938648728,0.22941368660433184,0.22941368660433184,0.9084132450681169,0.2735876889279883,0.2735876889279883,0.127092292666855,0.127092292666855,0.6464579814514011,0.2993574332148888,1.2,1.0,0.05
5,0.7193439912480539,0.7193439912480539,0.2193363738196179,0.2193363738196179,0.9061892224999595,0.27218371857612167,0.27218371857612167,0.11505890799162792,0.11505890799162792,0.7842605676900305,0.18562161632671362,1.2,0.95,0.05
6,0.7262328124059072,0.7262328124059072,0.21364584171246478,0.21364584171246478,0.9068325830816196,0.2243692952479011,0.2243692952479011,0.08457563773568694,0.37970389632762225,0.5209239055138959,0.21479656042279488,1.2,0.95,0.1
7,0.7154359532955854,0.7154359532955854,0.21311217211009964,0.21311217211009964,0.917348310231812,0.1985057643146404,0.1985057643146404,0.057410514505937496,0.3849295699718517,0.30393303311021946,0.4537268824119913,1.2,0.95,0.05
8,0.6979590337559538,0.6979590337559538,0.2165921339027448,0.2165921339027448,0.9273810787219576,0.18306970158029165,0.18306970158029165,0.03535664370622567,0.39293780206034695,0.1930582848066971,0.5786472694267302,1.2,0.95,0.0
9,0.6776133145870551,0.6776133145870551,0.2297440623957987,0.2297440623957987,0.9363894031687285,0.1946961791760911,0.1946961791760911,0.04224635474683819,0.30640472160543253,0.16816042669355633,0.6698178031436604,1.1866293061894875,0.95,0.1
10,0.6649302955834877,0.6649302955834877,0.23310663867390652,0.23310663867390652,0.938733721384127,0.19771402147285072,0.19771402147285072,0.06605496970240854,0.26054955997986357,0.22602394377536209,0.621542385370166,1.1741708588278001,1.0,0.1
11,0.6739540249099338,0.6739540249099338,0.2202434129380511,0.2202434129380511,0.9343926291188358,0.20106055823965097,0.20106055823965097,0.10786999102964749,0.22471844498228694,0.4163039968148986,0.4176302745949247,1.1665227074217577,1.0,0.05
12,0.6849487440870848,0.6849487440870848,0.20730550250788174,0.20730550250788174,0.9293033802193783,0.20034295978953703,0.20034295978953703,0.11922967318073281,0.2737562899793446,0.438980618257969,0.32612748824210236,1.1580940696601487,1.0,0.0
13,0.6960533412903684,0.6960533412903684,0.18301601485918542,0.18301601485918542,0.9301878401329103,0.18899232657877169,0.18899232657877169,0.11680325371472919,0.2707515847837344,0.40984077549383297,0.3975568057794926,1.1949524197717891,1.0,0.0
14,0.6993103009733597,0.6993103009733597,0.20389885015047673,0.20389885015047673,0.9344631706639104,0.1810725469579203,0.1810725469579203,0.08527158723879265,0.28275527150097984,0.3518054801880103,0.4801676610722171,1.2,1.0,0.1
15,0.69712955533441,0.69712955533441,0.20967640837409038,0.20967640837409038,0.9401749068175654,0.1781605873218005,0.1781605873218005,0.04859340701042293,0.2733199740428846,0.30534672960839676,0.5727398893382957,1.2,1.0,0.1
16,0.6856076648331758,0.6856076648331758,0.19706606027520215,0.19706606027520215,0.9476039875387843,0.1695141853201247,0.1695141853201247,0.03855218927173548,0.34108626207458703,0.17890322179565915,0.6414583268580183,1.2,1.0,0.0
