run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9496893799596996,0.859629870006264,0.996849170701562,0.6118000971415026,0.37425077175979765,0.17741605931321328,1.0,,,1,0,0,,1.1734947596479897
1,43,0.8330771266556238,0.7955675600452241,0.996835712168384,0.5856182649693135,0.6046150822363221,0.2393465931054038,0.98,46,48,0,1,0,,1.1622396033857267
2,44,0.8757464809778401,0.8459244432249954,0.9864261741836289,0.5206869437607008,0.233037357965215,0.21882243550201672,1.0,,,1,0,0,,1.1731579203425895
3,45,0.9260402318104133,0.8671153036826589,0.9884761402496794,0.7628572687385746,0.1567056814138897,0.10388656859062663,1.0,,,1,0,0,,1.1736
4,46,0.9610103524506425,0.7596190904505509,0.9996115580112213,0.7249428006066861,0.18156085598573535,0.20056798488377736,0.87,44,57,0,1,0,,1.1428912412002652
5,47,0.9208334361945811,0.7886991666688346,0.9889288253475299,0.6460738708240371,0.19768778347899946,0.1044184219005714,0.97,29,32,0,1,0,,1.1708702046843265
6,48,0.9601181060178393,0.8388641691819195,0.9933314738179849,0.6570252414996658,0.23555999245553938,0.24693979267553726,1.0,,,1,0,0,,1.1735191201506088
7,49,0.9333776503717973,0.8547167747625433,0.9897789767295645,0.6015865096132753,0.26128147704401067,0.12531453876424173,1.0,,,1,0,0,,1.1734554530879533
8,50,0.9885170801114777,0.8574694964093537,0.9885170801114777,0.7643394550403798,0.10429999716581125,0.1500764679023685,1.0,,,1,0,0,,1.1736
9,51,0.8525178969481747,0.8075185775494035,0.9906072362184244,0.7046404138037131,0.23442754265594626,0.1690148567820197,1.0,,,1,0,0,,1.1733738492537436
10,52,0.9909111267503469,0.869087337571437,0.9966452956671735,0.758407602977437,0.18560627001725563,0.14422523986994618,1.0,,,1,0,0,,1.1736
11,53,0.9273551021517908,0.8572840048064759,0.9971082653340932,0.7205851606946619,0.17017233699842385,0.29508492965849825,1.0,,,1,0,0,,1.1723199341323602
12,54,0.8257952032260194,0.8079665415715958,0.9966397531247793,0.6465914481691412,0.2730972116443099,0.18465627880424182,1.0,,,1,0,0,,1.1729634890128362
13,55,0.956480358257337,0.8449513342059716,0.9993711012658968,0.6630460144583608,0.23324627040559381,0.19704380177081005,1.0,,,1,0,0,,1.1720912071823377
14,56,0.863792772849118,0.859670400096116,0.9919472025501384,0.718281550045309,0.2624047130178199,0.15827119845996185,1.0,,,1,0,0,,1.1724320152995469
15,57,0.8789054586448719,0.7806917231647059,0.9882170363028687,0.6025701130223259,0.21915623908025017,0.17184828863790585,0.95,5,10,0,1,0,,1.1513877146743576
16,58,0.9695367122300056,0.8678921828959792,0.9971071173771413,0.6849879359876667,0.20715705502217435,0.20278350641741325,1.0,,,1,0,0,,1.1722439361671446
17,59,0.9719175202365493,0.8024685208657396,0.991274818494329,0.7019666109362057,0.14162612103667166,0.1757085728988901,1.0,,,1,0,0,,1.1719203612330233
18,60,0.8662673528726355,0.8296395157789203,0.9911980388715882,0.7058174370588391,0.24284074789695784,0.12047811580754533,1.0,,,1,0,0,,1.1724257906614488
19,61,0.9362159122732004,0.8378275817998954,0.9917686795609153,0.6405781814975523,0.148899504044016,0.04878245779767142,1.0,,,1,0,0,,1.1736
