step,avg_trust,avg_disturbance,avg_stability,avg_cognitive_distortion,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.20755080994410635,0.8636041722254812,0.1916205787738902,0.0,0.0,0.0,0.0,0.0,1.0,0.1
1,0.7157632600404968,0.22824018967022583,0.8992858841954103,0.2227659874321437,0.0,0.0,0.0,0.8,0.8,1.0,0.05
2,0.7078463151489605,0.2239467065860737,0.9137077839805142,0.24000299368746192,0.07490636704119849,0.07490636704119849,0.4119850187265917,0.4382022471910113,1.0,1.0,0.1
3,0.7101398213797505,0.23785549535198328,0.9106033370645112,0.2585275499961667,0.1044896411131655,0.1044896411131655,0.5593316224613596,0.2316890953123094,1.0,1.0,0.15
4,0.7100330913155651,0.2300126852752689,0.9069363113417246,0.2492412186884451,0.07835378024227749,0.23025251441949268,0.4724406450989589,0.21895306023927086,1.0,1.0,0.05
5,0.6978941339295377,0.22402048318803894,0.9078353918215452,0.21811005435585606,0.0651344299687486,0.3621411059128002,0.28541951250845093,0.28730495161000025,1.0,0.95,0.05
6,0.687813583680285,0.2199841485692835,0.9108828818647685,0.20371321942474982,0.05858124632857192,0.3098672373974052,0.27144345653082164,0.3601080597432012,1.0,0.95,0.1
7,0.6820143384190368,0.21589848172919882,0.912309985448652,0.20014148055964384,0.06583763035680887,0.25478198370524036,0.29723357566110076,0.3711468102768499,0.9889999999999999,0.95,0.05
8,0.676786063383932,0.21316992634835094,0.9174786122803503,0.19678059190209024,0.07517251989969011,0.22365070982570862,0.27026807995970553,0.4309086903148957,1.0,0.95,0.0
9,0.6712110047213314,0.21894652710106288,0.9186940086454994,0.2124639829103915,0.09899448461784496,0.1795848002909202,0.285220314856569,0.42520040023466577,0.9889999999999999,0.95,0.1
10,0.6708049856277103,0.22424547546311083,0.9170379454824877,0.2146591302619115,0.07650038971004283,0.19722127980776352,0.34887127394592227,0.35782705653627134,0.98042,1.0,0.1
11,0.6700597130441523,0.2153537293938265,0.9114609711656169,0.20583309173459013,0.09172037638644889,0.27616575637103147,0.32750017243047724,0.2783412948120424,0.9737275999999999,0.95,0.05
12,0.6687582295365593,0.2040559568616958,0.9138384205889218,0.21177050518942794,0.09760769489906079,0.22157804181619958,0.2957996180904568,0.3850146451942828,1.0,0.95,0.0
13,0.6646870498338918,0.1851358489979134,0.9212128379280704,0.2083480827814809,0.08328597899087753,0.19110160937476733,0.23265252473853465,0.4819598868958205,0.9889999999999999,1.0,0.0
