run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9429851204474585,0.8525227266020815,0.9754003424075943,0.5922593226226742,0.3861322451161193,0.21629957516286388,1.0,,,1,0,0,,0.988
1,43,0.791819522432304,0.787386614386835,0.9855894436962792,0.3887339471987078,0.660570659359959,0.2760959101465803,0.95,46,50,0,1,1,ended_below_threshold,0.9766295199999999
2,44,0.8095844939817198,0.7824678670063594,0.9752843503171124,0.559983304502657,0.22799381403814192,0.2205841648260936,0.97,58,61,0,1,0,,0.981884
3,45,0.914926925622646,0.8496660295530877,0.9742685683485012,0.6338934181284797,0.16592790783907418,0.1553200118821202,1.0,,,1,0,0,,0.988
4,46,0.9239986036190431,0.6898603027473524,0.9886791970809966,0.6456894318578333,0.1888896648851545,0.191229251510115,0.85,43,58,0,1,0,,0.96219752
5,47,0.8723246028747413,0.7409198478729917,0.964043597542851,0.5681950027204734,0.20983244729370293,0.13525306400064327,0.85,11,13,0,1,0,,0.9615310255999999
6,48,0.889079703951406,0.752874214857857,0.9842414527962534,0.6029860306536373,0.25049471785558125,0.2986636731582738,0.8,30,50,0,1,0,,0.95559752
7,49,0.8503289297345353,0.7347428899529471,0.9834457953590796,0.640372885916363,0.24394224815751475,0.11786157802233221,0.69,40,55,0,1,0,,0.9370670256
8,50,0.9679338882712072,0.8030900725792445,0.9679338882712072,0.6658234409341736,0.10352146420771124,0.17113829392825058,1.0,,,1,0,0,,0.988
9,51,0.7862914901209723,0.6888135047606685,0.9334743531679859,0.6156964916151135,0.21596070015819252,0.16971960820295778,0.67,47,75,0,1,1,ended_below_threshold,0.929099719968
10,52,0.9163666792809183,0.8327530414657773,0.9763641681197299,0.5719292147460889,0.20089482228237732,0.12601754121016892,1.0,,,1,0,0,,0.988
11,53,0.8494350341276536,0.8309458673395995,0.9850304652844195,0.6320531053970506,0.24948203673998098,0.1893431494446406,1.0,,,1,0,0,,0.988
12,54,0.8020354689705633,0.8019584884123514,0.9418916486446923,0.46551211412813553,0.23459262229916994,0.2707589497809927,1.0,,,1,0,0,,0.988
13,55,0.8359352475862774,0.7479482799991571,0.9864719154972007,0.5915360162855707,0.24829459954089128,0.1776179570981229,0.83,53,70,0,1,0,,0.948786199968
14,56,0.8312708417172368,0.8018800882564805,0.9721039820841176,0.5714096985226709,0.27860181415231705,0.22039352480148794,1.0,,,1,0,0,,0.988
15,57,0.7983830572095586,0.7365082816774857,0.9636891732818502,0.6142390703540193,0.23236821930494816,0.1595518457112679,0.69,5,10,0,1,1,ended_below_threshold,0.9278965456
16,58,0.892022844205794,0.8221739267110303,0.9888901891692744,0.5713643378630863,0.19996575456887533,0.14438823981110244,1.0,,,1,0,0,,0.988
17,59,0.7872000289097751,0.7267997421662117,0.9739346909703358,0.5399794316415448,0.19099189909002948,0.07494801149333202,0.55,36,53,0,1,1,ended_below_threshold,0.8617076983965312
18,60,0.8032104464211746,0.7859527119187723,0.9827363421766181,0.6542900408233938,0.23627187484130163,0.1520060566998705,0.95,33,35,0,1,0,,0.9836
19,61,0.9094667884702778,0.7732909113269506,0.9846775631650301,0.5834843254366254,0.14993583929781532,0.11416441953217323,0.83,78,95,0,1,0,,0.9560815199999999
