step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.7276416428952582,0.20755080994410635,0.16871836290851008,0.8636041722254812,0.1916205787738902,0.18799544029195117,0.0,0.0,0.0,0.0,0.0,1.0,0.1
1,0.7157632600404968,0.7324942167684835,0.22824018967022583,0.25467337585103006,0.8632594835543509,0.2227659874321437,0.23359993341174579,0.0,0.0,0.0,0.0,0.0,1.0,0.05
2,0.6702540429378808,0.6754854014568477,0.23659853586525154,0.24307896850289556,0.8959198028409485,0.25326992134113335,0.2604557363509793,0.0,0.0,0.0,0.8,0.8,1.0,0.1
3,0.6491530853510247,0.6715370584059411,0.2477173934139209,0.2530963434635759,0.9030896222861029,0.2630245781012292,0.26456179288076237,0.07490636704119849,0.15917602996254682,0.24344569288389512,0.5224719101123596,1.0,1.0,0.15
4,0.6368393569371185,0.6621658341967128,0.23485316509076082,0.2576856384927243,0.8983078658760443,0.24355563972102723,0.2388018198789958,0.08761200398236382,0.3077958882982506,0.24894579977704367,0.35564630794234187,0.9999999999999998,0.95,0.05
5,0.6441647478371074,0.6521877230416588,0.22224801214481418,0.2534439244824799,0.8902760025684394,0.2373256052366796,0.24847084634594027,0.11987555976648016,0.2271780010979066,0.39973502104508996,0.2532114180905233,1.0,0.95,0.05
6,0.6478593651225931,0.6659315083889042,0.21182442582734556,0.21518227689723668,0.8854971919973927,0.21408529225070816,0.17242411321523174,0.11945307616564523,0.32012065056822553,0.3328901681206345,0.22753610514549472,1.0,0.95,0.1
7,0.6514969582396146,0.6418249990820132,0.2050934328771083,0.23105153806737203,0.8881892039705296,0.20466994233296512,0.19116491869353464,0.11925396811201856,0.2681381803727595,0.297577029009073,0.3150308225061489,1.0,0.95,0.05
8,0.6581880775292646,0.6647627457133335,0.19973510207261386,0.1977373127078872,0.8883244186262201,0.18680394444882817,0.21207326163004794,0.12690954305350494,0.3251485033012226,0.31657431378102036,0.23136763986425204,1.0,0.95,0.0
9,0.6681840454892819,0.6387388027930647,0.2126518874979003,0.2375171034065578,0.8865542022023742,0.1889928709882892,0.14884658099403486,0.08990091126605479,0.3366212150421745,0.38241088791517686,0.19106698577659376,1.0,0.95,0.1
10,0.6783498779842533,0.6534112028917998,0.22152178700757585,0.20269725745887207,0.8842968477326714,0.17617774079710197,0.15646251611776157,0.07010752532030792,0.3701167239465802,0.414330273283609,0.14544547744950287,1.0,0.95,0.1
11,0.6873474109441877,0.7093267605322017,0.21740288806018757,0.2299014882854852,0.8861257745254865,0.17567198041573612,0.18505869013663573,0.06985658830249676,0.34208974540415515,0.40290075697625605,0.174152909317092,0.9890000000000001,0.95,0.05
12,0.6913657836037606,0.6851824398649652,0.20893614460196516,0.23469997273823612,0.8915206394457493,0.18710769760438892,0.1625866565283156,0.08673116572769234,0.2708682216044081,0.3790551985016252,0.2633454141662743,1.0,0.95,0.0
13,0.6939737644841103,0.6581970585737532,0.18410944833044585,0.2136241854073023,0.8990948858902815,0.17757423905861552,0.1922096579609395,0.11057707419304408,0.3010749824635522,0.3280740555485552,0.2602738877948485,1.0,0.9,0.0
14,0.690150098205951,0.7017461525047315,0.20041664926813843,0.2137839298610565,0.9006472567319918,0.16287608956888305,0.18409568649256758,0.12254746543881925,0.3904334651981566,0.25608855177645296,0.23093051758657115,1.0,0.9,0.1
15,0.6954088210806015,0.6961761198190165,0.1990299757464929,0.17874303835782707,0.9029990682504154,0.15984273463865017,0.18597644249979137,0.10558349598298748,0.35872387788219023,0.32012740741479406,0.21556521872002823,1.0,0.9,0.1
16,0.7044957419872427,0.7021184532245408,0.18615917529129078,0.18068206765376452,0.9042965813262901,0.15193183624739953,0.13758048830094555,0.08856628297004215,0.38463401581408146,0.3691612063099999,0.15763849490587648,1.0,0.9,0.0
17,0.7080525461050057,0.7021673224643472,0.19535792200590402,0.17277466155741333,0.9046212336311308,0.1512848759807466,0.12254993225829532,0.09581350970657593,0.38810368614248725,0.3349619310923606,0.18112087305857616,1.0,0.9,0.05
18,0.7108998835497263,0.6955124194289414,0.21468189171502328,0.27298270756939286,0.9070888016332846,0.14951208498126012,0.1568270814876849,0.07444528389729269,0.347442819074399,0.350594332912069,0.2165175641162393,0.9890000000000001,0.9,0.1
19,0.70928723405149,0.7329697208075565,0.2156266928394106,0.20911012314520389,0.9109251440063433,0.159305642400873,0.16808205365259926,0.1064253341088629,0.2974750182660141,0.3262448738386585,0.25885477378646443,0.9890000000000001,0.95,0.05
20,0.709481301494809,0.7034131229056242,0.19658171887265388,0.19431013429989244,0.9140064109428186,0.16695330077760845,0.16498590484793355,0.11713882998995628,0.29046426081741783,0.32887298420227395,0.252523924990352,0.9890000000000001,0.95,0.0
21,0.7044855208817323,0.7040335740541803,0.1858762154148613,0.18514268443780257,0.916704090743797,0.17086042585262523,0.17312591005533098,0.1835194827875381,0.27702821490116636,0.26659622208860523,0.27285608022269026,1.0,0.95,0.05
22,0.7081969516962523,0.6578982026901332,0.19313858934089465,0.20287460799487186,0.919164585165112,0.17166986162418066,0.18168737158960635,0.10367411247574221,0.2501161415565276,0.3512663122776202,0.28394343369011,0.9890000000000001,0.95,0.05
23,0.7120819520311155,0.741916575777079,0.17866979447842093,0.1574010931372382,0.9207562580710414,0.17451033074950456,0.24566632033685587,0.12290514454098814,0.2720346175313971,0.34550536017762246,0.23997487774999232,0.98042,0.95,0.05
24,0.7148888093107224,0.7489856988054154,0.1964193222990475,0.2065217606265301,0.921222625338111,0.17979930058444674,0.19138789014340227,0.0886198244657209,0.3101957499466919,0.35494378281176775,0.24624064277581942,1.0,0.95,0.1
25,0.7178975010825481,0.7007100466970895,0.2159807766987792,0.1896422261429606,0.9179758545228685,0.18057891003701293,0.20381939419385442,0.0873260655926975,0.297211547813997,0.43954901967834326,0.1759133669149622,1.0,0.95,0.1
26,0.7101409723664491,0.7142464275315941,0.20873529988101072,0.1836428036449819,0.9188074821579191,0.16512224321404653,0.12964035440240074,0.05536921912076147,0.4029953510894875,0.27917995894166214,0.26245547084808896,1.0,0.95,0.0
27,0.7077695678982266,0.7060098073410377,0.2099221029989299,0.23094529943698272,0.9228607998002237,0.17427999056025226,0.16106582610609527,0.05549655252321967,0.28189868443493704,0.31884671863694736,0.3327580444048958,0.9889999999999999,0.95,0.05
28,0.6963289021193445,0.6921906694890765,0.26566523318395097,0.26669173112239614,0.9175780709553445,0.18767206628220018,0.15556959486055041,0.0987668337186161,0.28463523875371793,0.35450901774913196,0.262088909778534,1.0,0.95,0.25
29,0.6859436302736484,0.6435625968836096,0.2522059608098117,0.20405994742977568,0.9161154389799296,0.19307424720640073,0.20422565456078115,0.08264938401037748,0.27722487971321674,0.3088819915449527,0.331243744731453,1.0,0.95,0.05
30,0.6730678361006539,0.6436085234702007,0.24997742969911502,0.23034179802464855,0.9109419337462032,0.1895087581719203,0.219728658420438,0.076521634737015,0.35126185714051666,0.26427363734857073,0.3079428707738976,1.0,0.95,0.05
31,0.6632985235168738,0.6300303294945474,0.23671741820849332,0.26537674477117584,0.906226425999298,0.18756788650099604,0.1637781041326798,0.13932263479671206,0.3250958552199845,0.25743061331930167,0.2781508966640017,1.0,0.9,0.05
32,0.6680166821057646,0.6720183498063175,0.2247647737879083,0.22360805507583997,0.898005840211842,0.18486921543287302,0.21996649174354016,0.12035148701435354,0.335033702502315,0.352977395277863,0.19163741520546843,1.0,0.9,0.05
33,0.6750535840079689,0.6793784787486763,0.21600784092537118,0.2200301966824854,0.8942745227229411,0.17510808079643464,0.1609437614417749,0.0863561864615088,0.3687165218296973,0.3507557403248068,0.19417155138398712,1.0,1.0,0.05
34,0.6790280842615617,0.683333208532493,0.2048657930191559,0.2148669685851501,0.8972556903367087,0.1762322888897807,0.20567550210830063,0.1211009783576319,0.2833372133122339,0.33846038037860326,0.24610142795153092,0.9890000000000001,1.0,0.05
35,0.6801773132279876,0.685106133659417,0.20522224132773603,0.15837787386890023,0.8975164345662779,0.18427834901369844,0.17284180258458987,0.13853337352012945,0.29221730985660715,0.32069624433247046,0.24855307229079288,1.0,1.0,0.05
36,0.6773350829508491,0.7450464507488916,0.20870026883060983,0.23009856230397677,0.9017498906167436,0.18675861203687283,0.18655879375031376,0.12800193946490782,0.25472240698265186,0.29381783274604706,0.32345782080639324,1.0,0.95,0.1
37,0.6776207957013362,0.7123824178345983,0.19908795767849707,0.19144132885456203,0.9027653060727457,0.18776069004693943,0.20547930705268538,0.1400059185913698,0.2776320795479254,0.3209067916528082,0.2614552102078965,1.0,0.95,0.05
38,0.6838242444249845,0.6884581877575177,0.19166228261826998,0.18331562069738588,0.9058398492745467,0.18875932595612188,0.20698605898718148,0.12081519786894435,0.2389253291709354,0.3589856478562757,0.2812738251038445,1.0,0.95,0.0
39,0.6835648212512191,0.6861251766968139,0.19151043358065448,0.20431634138836655,0.904370689685509,0.1670443475621663,0.1721627373601333,0.1440292182770387,0.37925686247435664,0.2623192687467014,0.2143946505019032,1.0,0.9,0.05
40,0.6909304947059266,0.7021177693591811,0.20890607821697152,0.21552069285983505,0.9021537509215198,0.17339760856651382,0.16864850093942962,0.12362982511549067,0.3100462879465544,0.36022043831522843,0.2061034486227264,1.0,0.95,0.1
41,0.6920205242604982,0.7144433677732367,0.21533222823444342,0.23295599903991077,0.9013069481136398,0.17370055284450753,0.14684106555552084,0.13018379753831735,0.31322797896333643,0.342065301251556,0.20352292224679025,0.9889999999999999,0.95,0.1
42,0.6802981127648257,0.6536504012478668,0.26806528605827484,0.2756569267341326,0.8955909525377305,0.18239544777952915,0.1892434321790681,0.13115996395138213,0.3191141808305865,0.311162252036121,0.2275636031819103,0.9889999999999999,0.9,0.25
43,0.6696995963296701,0.6987324223542611,0.24804538036591053,0.26057350079397545,0.8935168296675512,0.1771781343067778,0.2174495364186575,0.09271061992064236,0.3841192163377182,0.2589560263227838,0.26421413741885563,1.0,0.9,0.05
44,0.6619146479851793,0.6325986232903892,0.2665213274869893,0.3005067766118672,0.8881798187642408,0.17127769347092328,0.17385346167152796,0.12274859176441685,0.3411663497262799,0.3042589253626439,0.23182613314665934,1.0,0.95,0.2
45,0.6573909826918803,0.6511996609446642,0.2789124022451171,0.2691668697571266,0.881809935991523,0.1938401484905392,0.21177215516452058,0.13728671994358527,0.2946296209189428,0.35197981764495,0.21610384149252188,1.0,0.9,0.2
46,0.6529569483566939,0.6723509213233452,0.25358761239473737,0.23454685043829238,0.8800068660002085,0.19861210441788546,0.19303796374541113,0.14906117801003343,0.25449279215218606,0.3184663379606486,0.2559796918771319,0.978,0.85,0.05
47,0.6632755946078742,0.6898538630299906,0.23172521278778307,0.21852016868971624,0.8774332551851802,0.19692353994760317,0.19731889561629723,0.13631976641786464,0.2884034772136793,0.39747622302158564,0.17780053334687038,1.0,0.8,0.05
48,0.6699338040202693,0.6429947175918974,0.20914106893017745,0.19261098460297857,0.8774561710476192,0.17947404106405884,0.18802352234996145,0.1117674487562081,0.3583741062129689,0.33864344875395835,0.1912149962768646,1.0,0.8,0.0
49,0.6745473763700937,0.6673287391624213,0.20035167131667225,0.23256834386619002,0.8821748528395951,0.17011942412716913,0.1747381857416952,0.11934117203790329,0.3384670493982477,0.31152087578535187,0.21967090277849716,0.9889999999999999,0.8,0.05
50,0.6743714670678551,0.6429933670610013,0.20318956931222534,0.1963730014504372,0.8869624998680274,0.16164457627433504,0.18667582201773358,0.1056795495086543,0.3493832428738435,0.27750986462040755,0.23684734299709462,0.9694200000000001,0.85,0.05
51,0.6856392436546693,0.7027652517239869,0.19477289742960258,0.1824986905942745,0.8903517274568212,0.16133272833853982,0.18416596667156065,0.10852625513654954,0.3125802201862793,0.3750825908462933,0.1928109338308778,0.9889999999999999,0.85,0.0
52,0.6885220919630057,0.6541516393458526,0.2204811168759883,0.25171732959427046,0.8929431410050949,0.16094183270068724,0.1603629122477275,0.0973262101757561,0.3510048968364172,0.3283570536198068,0.22331183936801985,1.0,0.85,0.15
53,0.6941731060068623,0.679076784769449,0.20903441068605852,0.18404807362611036,0.8933726086564338,0.16264985039613755,0.17224104096137097,0.11765277505696063,0.3486064722619197,0.36163885428211895,0.16110189839900066,0.9890000000000001,0.85,0.0
54,0.6917105169067532,0.7159366859240478,0.21358557745783183,0.24446862715084286,0.8980565395917536,0.16653204799264384,0.19702306190540292,0.09437802444683101,0.3599568296806531,0.29078264290909833,0.2548825029634175,1.0,0.9,0.0
55,0.6870968579779675,0.7158858132406357,0.2301562199222474,0.2219652444836187,0.8973496856793555,0.17335074253137378,0.19682899972589804,0.16589081675311668,0.32037991513806463,0.31139710454743563,0.20233216356138306,1.0,0.9,0.15
56,0.6873943121638815,0.7323481799237526,0.22946001922922893,0.2621379988861483,0.8941727575001999,0.18821365352530728,0.13216262982515214,0.16811638077209218,0.26324916645464114,0.3818160474299415,0.17581840534332516,0.9889999999999999,0.9,0.1
57,0.686401004060109,0.72268357527352,0.21507048770272466,0.22283023243042047,0.8934334118898992,0.17137981080860176,0.17288334403395084,0.12847476056288848,0.3749912223168508,0.30688665391446573,0.18964736320579498,1.0,0.95,0.05
58,0.6879157828301603,0.6820847620370927,0.19555717455769653,0.18533168769902922,0.8984521178902691,0.17081025489638588,0.19466438043825418,0.1070727616017872,0.3248562429539319,0.29590502182181166,0.2721659736224692,1.0,0.9,0.0
59,0.6927352155649377,0.7240747687197995,0.17377178579582547,0.15830309815123383,0.9043224612720735,0.17555671691405347,0.1701751894929409,0.1415361438586991,0.22759365895198166,0.31415415277164366,0.3057160444176755,0.9890000000000001,0.9,0.0
