run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9164368748447319,0.8312357045067218,0.9895604480454642,0.6328764566897028,0.3744367880851303,0.18196959999031675,1.0,,,1,0,0,,0.978
1,43,0.8390795348673209,0.7666261322535759,0.9757040171164328,0.6004493659731817,0.6475983762486834,0.2572598657636853,0.95,45,50,0,1,0,,0.971884
2,44,0.8680575306572388,0.7888610874595294,0.9713804928191595,0.6107591371440061,0.23891470550314808,0.17802813798952538,0.97,58,61,0,1,0,,0.9758
3,45,0.9611558649976849,0.8559113085308094,0.977177071682894,0.7354035339293227,0.12166482962074719,0.24879692631837536,1.0,,,1,0,0,,0.978
4,46,0.9247573468297022,0.702858463603119,0.9961124819293978,0.6926998634700132,0.17102843434775042,0.2349643720766274,0.87,41,54,0,1,0,,0.9736
5,47,0.9522598587382167,0.7229985002188555,0.9832633188925198,0.6821105704442777,0.21837966910855885,0.13889297428055594,0.77,10,33,0,1,0,,0.9674839999999999
6,48,0.9053714976774749,0.7951031141048747,0.9735308865952533,0.6207572383909644,0.21996522492648388,0.18917432365887007,0.98,31,33,0,1,0,,0.9758
7,49,0.9539766439123537,0.8053186081522864,0.9657872938121966,0.6875204699230303,0.21755417379738815,0.18524104352656784,1.0,,,1,0,0,,0.978
8,50,0.9544838580058628,0.80998984341642,0.9695086248597794,0.8132685417154513,0.08307867827224566,0.1715210137684382,1.0,,,1,0,0,,0.978
9,51,0.8638491133738301,0.7352501237595807,0.9651760629577242,0.6013159995156843,0.1869454091856777,0.2283252025318612,0.86,39,41,0,1,0,,0.9692000000000001
10,52,0.987023037734261,0.8662856850900044,0.9914854522212652,0.713443311847298,0.19357317866130977,0.13286886820006824,1.0,,,1,0,0,,0.978
11,53,0.8669398860346541,0.8097791352385603,0.9817134118046094,0.510029795306304,0.21728964548604798,0.23901853276468543,1.0,,,1,0,0,,0.978
12,54,0.8349111473728215,0.7581148904381266,0.9947159719519153,0.5500596296834949,0.30393888617009734,0.24892353181713106,0.94,13,19,0,1,0,,0.9736
13,55,0.948874958462666,0.7378025351131381,0.9889836405621324,0.7061916470935138,0.264310728518146,0.2680666232329705,0.89,49,60,0,1,0,,0.9736
14,56,0.833831403208821,0.833831403208821,0.9773696893330182,0.6427701648391211,0.2454726489521216,0.1583089816305459,1.0,,,1,0,0,,0.978
15,57,0.7540467966881254,0.749241560313941,0.9789001401482051,0.5464903642034145,0.18594137032310534,0.22509861101330655,0.86,4,10,0,1,1,ended_below_threshold,0.9736
16,58,0.9261101706668401,0.8356768167211656,0.9860029125693364,0.7367510359433219,0.2231042016991336,0.13621518479327416,1.0,,,1,0,0,,0.978
17,59,0.9681342980020166,0.7759924484584617,0.9760287783113286,0.8038204838183144,0.17187349181158879,0.12579521958091672,0.94,36,40,0,1,0,,0.969684
18,60,0.8645708020485868,0.8145912199901539,0.9630194977605173,0.6687634406100184,0.17575924734832848,0.2790610097653371,1.0,,,1,0,0,,0.978
19,61,0.9730397010618991,0.8082554824673526,0.9761646979728719,0.7209414347997275,0.13870707610865418,0.1240954475063919,1.0,,,1,0,0,,0.978
