step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.7597974009560763,0.7597974009560763,0.20755080994410635,0.20755080994410635,0.891910727518402,0.1916205787738902,0.1916205787738902,0.0,0.0,0.0,0.8,0.8,1.0,0.1
1,0.7157632600404968,0.7157632600404968,0.22824018967022583,0.22824018967022583,0.9175706833443268,0.2227659874321437,0.2227659874321437,0.0,0.0,0.0,0.6240000000000001,0.6240000000000001,1.0,0.05
2,0.6959364597070813,0.6959364597070813,0.22948318235567317,0.22948318235567317,0.9235320685499149,0.2457678175787938,0.2457678175787938,0.04144905910635828,0.04144905910635828,0.29014341374450797,0.4216464680427755,0.7946880000000001,1.0,0.1
3,0.6747246953310557,0.6747246953310557,0.25061222705517705,0.25061222705517705,0.9166647963901424,0.2646237155736244,0.2646237155736244,0.03233026610295946,0.10827963319156704,0.27757818286339436,0.3607223178420792,0.7789104,1.0,0.15
4,0.6619512717975226,0.6619512717975226,0.24820351979915403,0.24820351979915403,0.9074740504626895,0.27291708670088805,0.27291708670088805,0.01973326135488204,0.13317661979103007,0.3319383223325716,0.31782986372151634,0.8026780671999999,0.95,0.05
5,0.649323428073298,0.649323428073298,0.24172071562755396,0.24172071562755396,0.9013629235775553,0.2701011068169718,0.2701011068169718,0.03741238010291045,0.15970865976080947,0.30556316871128736,0.36043208889699263,0.863116297472,0.95,0.05
6,0.638631047397743,0.638631047397743,0.23713379723364497,0.23713379723364497,0.898989322756584,0.2719621496838677,0.2719621496838677,0.03333520322088591,0.13358603232245692,0.28508340017730693,0.42142334830751016,0.87342798402816,0.95,0.1
7,0.6217061321953551,0.6217061321953551,0.23340291332621838,0.23340291332621838,0.8976688698838851,0.27000490389516674,0.27000490389516674,0.029163686013392316,0.11890757554400636,0.21321964020832426,0.4929953257762419,0.8542862275419647,0.95,0.05
8,0.6073475003811268,0.6073475003811268,0.23240967117999728,0.23240967117999728,0.8927610111108732,0.26679389971699413,0.26679389971699413,0.030401215435186268,0.12206625873941221,0.21142466427354606,0.45157591903458805,0.8154680574827327,0.95,0.0
9,0.6012228432521706,0.6012228432521706,0.2430986954030367,0.2430986954030367,0.8857837704134177,0.2681860712346106,0.2681860712346106,0.029471595319915344,0.16388936911686905,0.26991403015755616,0.39340736224219086,0.8566823568365314,0.9,0.1
10,0.592093544681617,0.592093544681617,0.24500293441212923,0.24500293441212923,0.8804019588358252,0.26658883362094,0.26658883362094,0.04657903795944168,0.15705396956103684,0.2462750468017088,0.4229671456778127,0.8728752,0.9,0.1
11,0.5844921422202901,0.5844921422202901,0.23616838663394762,0.23616838663394762,0.8752892624818005,0.26034788681725934,0.26034788681725934,0.04639374644975452,0.17779234733052773,0.23263293174864916,0.40894850247106856,0.8657675279999999,0.85,0.05
12,0.5878414069380029,0.5878414069380029,0.23052410899010295,0.23052410899010295,0.8734429432211366,0.27006704516087265,0.27006704516087265,0.029324336892757524,0.1369520577792621,0.31115480701333625,0.4369887983146441,0.91442,0.8,0.0
13,0.5826777499929683,0.5826777499929683,0.21294650660121364,0.21294650660121364,0.8694913992541211,0.2542855510055534,0.2542855510055534,0.01969055459150822,0.1985508786987082,0.21421959531624196,0.38836657139354164,0.8208276,0.8,0.0
14,0.5826197652643206,0.5826197652643206,0.23336064627623565,0.23336064627623565,0.8704803613767018,0.25594024472051585,0.25594024472051585,0.02298013387946813,0.13116845498048896,0.26603291540585583,0.47900129573418715,0.8991828,0.8,0.1
15,0.5732187199568864,0.5732187199568864,0.2309236406241555,0.2309236406241555,0.8679914732582604,0.24391200460533796,0.24391200460533796,0.0358359467141013,0.18933303723040112,0.18596648053997752,0.44029959151552,0.8514350559999999,0.75,0.1
16,0.565757073027568,0.565757073027568,0.21305974996863392,0.21305974996863392,0.8664560464598983,0.23404913121562024,0.23404913121562024,0.0327627402989199,0.21912977798197786,0.16155185347189185,0.43297910008721036,0.84642347184,0.75,0.0
17,0.5644601511382048,0.5644601511382048,0.22468563584655069,0.22468563584655069,0.8639221923829925,0.2361200637311866,0.2361200637311866,0.022016715829940782,0.17868643516309352,0.2080054876430923,0.4240940893638735,0.8328027279999999,0.7,0.05
18,0.5590289089393975,0.5590289089393975,0.24169637965897386,0.24169637965897386,0.8532057451302645,0.2226318661281504,0.2226318661281504,0.027519244498112726,0.2644107692894687,0.19556313980970935,0.3054378462427092,0.79293099984,0.7,0.1
19,0.5570986059196001,0.5570986059196001,0.24177799852041032,0.24177799852041032,0.8452064766074294,0.22375230217156677,0.22375230217156677,0.034741156792563524,0.2250685001784542,0.21476083831597997,0.31542055658820234,0.7899910518752,0.7,0.05
20,0.5658576250801961,0.5658576250801961,0.22591649248104217,0.22591649248104217,0.8424674486649891,0.2228654037066001,0.2228654037066001,0.04259831495409727,0.25929145085708594,0.263490682698223,0.32982233591804977,0.895202784427456,0.7,0.0
21,0.5669599386526448,0.5669599386526448,0.22691951263549298,0.22691951263549298,0.8404872617458915,0.19822688213399425,0.19822688213399425,0.023922508334783116,0.3891028297267135,0.20601878521514966,0.29895404857676944,0.9179981718534156,0.7,0.05
22,0.5583629745451928,0.5583629745451928,0.2331677410890535,0.2331677410890535,0.8400225713189174,0.18158093541181558,0.18158093541181558,0.013902629435935562,0.38566155575946215,0.12641076148749167,0.3263360273627749,0.8523109740456641,0.65,0.05
23,0.5467566100251936,0.5467566100251936,0.22058431218231084,0.22058431218231084,0.8418420068753839,0.186717442885304,0.186717442885304,0.009578189190870728,0.29959802995970813,0.08333551291407537,0.3934349558509639,0.7859466879156181,0.65,0.05
24,0.5405131539084367,0.5405131539084367,0.2354330147012606,0.2354330147012606,0.8372871587337329,0.19702895993557332,0.19702895993557332,0.015708671325481767,0.3371395446170778,0.13388558564891703,0.3441813264085235,0.830915128,0.65,0.1
25,0.5283913578864243,0.5283913578864243,0.25546686360993326,0.25546686360993326,0.8324785817630659,0.1910279664374439,0.1910279664374439,0.00904200198996599,0.38432592999351334,0.10919671141404326,0.3591312284424774,0.8616958718400001,0.7,0.1
26,0.5186545635830004,0.5186545635830004,0.24628421614877563,0.24628421614877563,0.8297206799040879,0.18974385044333433,0.18974385044333433,0.005256383076675511,0.3165783394168732,0.10378351079729045,0.3779369467443609,0.8035551800352,0.65,0.0
27,0.5212149496118612,0.5212149496118612,0.23699323702512318,0.23699323702512318,0.826527144972388,0.20296923320752844,0.20296923320752844,0.0411554419632611,0.2513670616421024,0.17601090196978364,0.3535244348523089,0.822057840427456,0.65,0.05
28,0.5090339353119254,0.5090339353119254,0.2942598732532916,0.2942598732532916,0.8183813050668916,0.2024497454317661,0.2024497454317661,0.0401899536045982,0.3948652616670618,0.14403752471782344,0.3461831318505166,0.92527587184,0.6,0.25
29,0.496116834570398,0.496116834570398,0.27827650521295916,0.27827650521295916,0.8070698379668759,0.2078724386157838,0.2078724386157838,0.042748057833313105,0.3280886789494825,0.1195582990410686,0.2863201442113358,0.7767151800352,0.55,0.05
30,0.49162489976344387,0.49162489976344387,0.26072158067343054,0.26072158067343054,0.7977373389758089,0.21878571376484027,0.21878571376484027,0.09006078227323115,0.2638547645200775,0.1547211081402562,0.28092612949389123,0.7895627844274561,0.55,0.05
31,0.4904342986165853,0.4904342986165853,0.255304409859416,0.255304409859416,0.7900919893786849,0.2160635583229936,0.2160635583229936,0.06264039409865957,0.3462816607307234,0.16335249761908485,0.2571682475515321,0.8294428,0.55,0.05
32,0.48424502830265403,0.48424502830265403,0.24664604637228793,0.24664604637228793,0.7828877488148114,0.21453241777300147,0.21453241777300147,0.06516942023002334,0.33497202421975036,0.12511355357947931,0.23356278597074703,0.758817784,0.5,0.05
33,0.4922904851709699,0.4922904851709699,0.23739270588012426,0.23739270588012426,0.78144725249914,0.20882063894241226,0.20882063894241226,0.05474618267988658,0.32095482089287736,0.1930059722827391,0.25793575214449693,0.826642728,0.5,0.05
