run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.8712236535971916,0.7114787489863595,0.93954023975053,0.4524567308129974,0.40647228509424577,0.19384814982107992,0.62,44,82,0,1,0,,0.8504412345034708
1,43,0.724077458307778,0.6597719097851414,0.9219904816244046,0.3454377244073362,0.6794783314549148,0.23461685898409734,0.46,12,25,0,1,1,ended_below_threshold,0.7607306263037913
2,44,0.7024975767779,0.672004138255549,0.9779298174507255,0.4659670705350764,0.2400396620451632,0.1775796002385572,0.56,56,,0,0,1,never_recovered,0.8111136876403472
3,45,0.7659840270299991,0.6689880327060368,0.9734614420851337,0.5729869647702488,0.1845071806063157,0.09655505299268942,0.66,66,,0,0,1,never_recovered,0.875305239968
4,46,0.8676608816907464,0.5609162380845543,0.9925477182671156,0.6486907493316486,0.2151406851109567,0.21327307828426179,0.47,41,94,0,1,0,,0.759018018084002
5,47,0.7691767595906497,0.6332161193233349,0.9222400000000001,0.5139185043159487,0.251160325715781,0.12064804118688169,0.09,9,,0,0,1,never_recovered,0.6530517161656724
6,48,0.8383750046737606,0.6669957637384417,0.9645215956808626,0.5093888384098552,0.2715709749269207,0.22549894843665147,0.47,28,76,0,1,0,,0.7673852344486944
7,49,0.758019474825478,0.671536925192815,0.9431053931417893,0.5004589779168672,0.26799882450277207,0.12834663755849232,0.43,37,81,0,1,1,ended_below_threshold,0.8030900584285312
8,50,0.9602899467028227,0.6457757149189326,0.9737104441466973,0.6379148088776991,0.11391316222092585,0.16692002131554495,0.43,29,86,0,1,0,,0.7534815376164109
9,51,0.732878208903543,0.6038175262022752,0.9539492346085899,0.5777049705927623,0.27051925605432237,0.17173600968211192,0.15,15,,0,0,1,never_recovered,0.7758569452234708
10,52,0.7837524463180718,0.6739613118108804,0.9382124893571823,0.5359573198643213,0.21166205652949344,0.1156243704536105,0.22,22,,0,0,1,never_recovered,0.7508001065863072
11,53,0.7306444823746421,0.7184745895932594,0.9646466495331506,0.5333921364479463,0.2826830243688389,0.16239737477776012,0.51,44,78,0,1,1,ended_below_threshold,0.8164783311680001
12,54,0.6969796071682234,0.6467263110414962,0.9321624693931129,0.5143295012386019,0.34234169272529075,0.21661374925744353,0.23,11,36,0,1,1,ended_below_threshold,0.737807948416
13,55,0.7596628097574255,0.6864815883709734,0.9854047610508996,0.5265507214260507,0.2830535020821312,0.12708683723686284,0.32,32,,0,0,1,never_recovered,0.7594662340832165
14,56,0.7395040175706933,0.6537445228751615,0.9478028634451064,0.5521571286619886,0.3098302802389195,0.14439322633734886,0.55,55,,0,0,1,never_recovered,0.860320265568
15,57,0.6523921645156592,0.5531987587386746,0.896340177367965,0.3948076477244014,0.264241779375507,0.10659277811567631,0.04,4,,0,0,1,never_recovered,0.6504135410901705
16,58,0.8607430127933469,0.6664296188756289,0.9890223970649892,0.5162072431357609,0.21862430718191378,0.15720112555244176,0.64,54,90,0,1,0,,0.8535448111680001
17,59,0.7741905364161653,0.5705392266992388,0.9468125414850035,0.5244557245490395,0.19199551600941775,0.06644450119630002,0.26,26,,0,0,1,never_recovered,0.719562160563307
18,60,0.696339246262073,0.6694830906136029,0.928795864194261,0.467513120611993,0.29573247037411754,0.18706281067645777,0.42,17,40,0,1,1,ended_below_threshold,0.7720978092128089
19,61,0.7570152789163349,0.680853097376089,0.9674797609486264,0.5030822005625364,0.1653736865477664,0.06506056837143795,0.53,53,,0,0,1,never_recovered,0.8436431072312144
