run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.7215613856114244,0.7215613856114244,0.9382344415667845,0.44052960405076974,0.41338531743691337,0.1462659807846331,0.43,43,,0,0,1,never_recovered,0.8554596000000001
1,43,0.6416900002603977,0.6416900002603977,0.8922833652253382,0.3152542916235379,0.5710344838614273,0.18834741475039485,0.08,8,,0,0,1,never_recovered,0.7809413855680001
2,44,0.6517245457951533,0.6107488775831095,0.940828132798248,0.35349187124145914,0.16518896723106916,0.13612820880604254,0.16,16,,0,0,1,never_recovered,0.7428382921543073
3,45,0.7233626609488152,0.6644699443867527,0.9520039697546469,0.45895506958774307,0.14109800607123102,0.06841035845312478,0.16,16,,0,0,1,never_recovered,0.791913780416
4,46,0.7393116987529516,0.6025999639360726,0.9483980804771843,0.4745698351335868,0.1925319843302564,0.14567996605022138,0.32,32,,0,0,1,never_recovered,0.7781577917383072
5,47,0.6861292190238577,0.5748577607847696,0.9222400000000001,0.40055799963227245,0.26257880794618216,0.07535413653945486,0.07,7,,0,0,1,never_recovered,0.7292103323914708
6,48,0.6467383653582177,0.6433297312661923,0.9351043768728802,0.34675129646170993,0.23265632312891027,0.11649835661041641,0.21,21,,0,0,1,never_recovered,0.7846358655679999
7,49,0.713007166901638,0.6352024170490841,0.9222400000000001,0.4365437138247132,0.21611515649840948,0.10549144089177909,0.09,9,,0,0,1,never_recovered,0.755039585472
8,50,0.7535022675883651,0.647934055949565,0.9335774599227539,0.5030213204729512,0.11029144402584365,0.11259744070657128,0.12,12,,0,0,1,never_recovered,0.6975364564171066
9,51,0.6256160842043818,0.536178355397454,0.9354178029495024,0.3245274329516422,0.17322955809947954,0.10073066339681232,0.1,10,,0,0,1,never_recovered,0.7534013943965313
10,52,0.8709608764259266,0.6946184212875646,0.9353469130945585,0.5554446573101116,0.20978452329152844,0.12894345883369018,0.39,22,47,0,1,0,,0.8213841168
11,53,0.6660883422548208,0.6625369493030652,0.9126952973675457,0.3721283454996613,0.2107225643318088,0.08061933708758649,0.24,24,,0,0,1,never_recovered,0.7642057536
12,54,0.6618157221464964,0.6606926269688914,0.9302070449244936,0.357687134609112,0.1528724897107677,0.16735996104755016,0.16,10,41,0,1,1,ended_below_threshold,0.7765741824
13,55,0.6638288447601821,0.5967460438552943,0.9282645320560815,0.37345197750730225,0.2568110143391342,0.11662147236550444,0.31,31,,0,0,1,never_recovered,0.8005729984312144
14,56,0.6562631783199642,0.6448363650551899,0.9379327479001607,0.36127023225517907,0.23591340716486295,0.10626573734474551,0.21,21,,0,0,1,never_recovered,0.785258331168
15,57,0.6139563812876487,0.5958984100400838,0.8936034336646224,0.3065993465705834,0.22881991456089945,0.0927673317870387,0.05,5,,0,0,1,never_recovered,0.7266023930183073
16,58,0.7457842414178194,0.6735443328523731,0.9408171018977298,0.4801088643630836,0.19595833326745038,0.09881678348216104,0.25,25,,0,0,1,never_recovered,0.7510057436083473
17,59,0.7466540207006749,0.579367101426547,0.916521930524626,0.4885802323652362,0.19023179593685755,0.0659091898246864,0.22,22,,0,0,1,never_recovered,0.7779911983992143
18,60,0.6806404193964075,0.6482700659013549,0.9428911277664194,0.3918804195686524,0.17629660127915794,0.11441683596478525,0.17,17,,0,0,1,never_recovered,0.8050263167680001
19,61,0.737526696001551,0.6379456257518571,0.9331332971531723,0.47817981855386554,0.16387710988949739,0.06458103514097616,0.18,18,,0,0,1,never_recovered,0.7822397168
