run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9573021152233914,0.8289406865360746,0.9874799978233623,0.6382807908808963,0.3974764715656832,0.20736270824385,1.0,,,1,0,0,,0.968
1,43,0.8418756618637734,0.7473321229330432,0.9836343527198842,0.46033323583728186,0.6861300756706572,0.26693033440890707,0.8,2,15,0,1,0,,0.9369430400000001
2,44,0.8074073195250291,0.7630496529449726,0.9624418611524963,0.3924516579297088,0.2917340383357742,0.23356316739918176,0.95,59,64,0,1,0,,0.9566295199999999
3,45,0.8787536039847823,0.8334774932384956,0.977565442274624,0.7461127039310788,0.18323711516702348,0.26372475371141224,1.0,,,1,0,0,,0.968
4,46,0.9536853508984555,0.7090321837170207,0.9927718261058163,0.6664998452967754,0.18833953338540435,0.2245765225980428,0.81,42,61,0,1,0,,0.9221460512
5,47,0.8831565613243095,0.7388954045295456,0.9646219079855117,0.5260011007953929,0.2518870199257414,0.12112738505766868,0.72,11,39,0,1,0,,0.9336990256
6,48,0.9039759403165687,0.7523385060258287,0.9788293590099706,0.6162403825086875,0.19839703695739072,0.19439652692858989,0.94,30,36,0,1,0,,0.9614
7,49,0.8902308715258865,0.7900239426757127,0.9684813669666407,0.6850125994393226,0.23475625511543216,0.22171883625094008,0.98,51,53,0,1,0,,0.968
8,50,0.9632274944820945,0.827298256258652,0.9762362765392608,0.7312758743600679,0.10729130429463025,0.13822475503590761,1.0,,,1,0,0,,0.968
9,51,0.7892563861827891,0.7115341545323055,0.9679516676392599,0.6041161862504858,0.15104338363022568,0.2214737682021805,0.68,17,22,0,1,1,ended_below_threshold,0.943052
10,52,0.9842047101102521,0.8560248143071778,0.9936055157144209,0.6998332837901782,0.18703197758456094,0.16331366751466453,1.0,,,1,0,0,,0.968
11,53,0.8688875307242802,0.8164467876730486,0.9778140731623358,0.6377416888518326,0.23027492618046871,0.196637472098721,1.0,,,1,0,0,,0.968
12,54,0.8039725320216639,0.6901171483673101,0.9727414018425197,0.56857943603778,0.21890550285259996,0.2703220679521192,0.63,14,40,0,1,0,,0.8537939563763471
13,55,0.9412128180013596,0.7262744880195866,0.9866259784206413,0.5742628195307833,0.26776369468505856,0.21658646651479516,0.8,47,61,0,1,0,,0.9358990255999999
14,56,0.8135484854874987,0.8135484854874987,0.9808138384899147,0.6329627750503822,0.26666452545835906,0.3283948458858491,1.0,,,1,0,0,,0.968
15,57,0.7859059640184972,0.6841774848873239,0.9675135122314341,0.6632190632840776,0.24889425634985607,0.16275174842776252,0.48,2,14,0,1,1,ended_below_threshold,0.864107291168
16,58,0.8977089795325224,0.8330174076179916,0.992295920733993,0.6752158770979251,0.18410741748346404,0.2009226112434278,1.0,,,1,0,0,,0.968
17,59,0.9800412213988406,0.7144485655798208,0.9800412213988406,0.6892278994195422,0.17538023667603014,0.16702127847935455,0.77,5,9,0,1,0,,0.9000712984605311
18,60,0.8404772845510751,0.8118213329128674,0.992702293749202,0.5998890711377795,0.22577183740172566,0.1650812878518246,1.0,,,1,0,0,,0.968
19,61,0.9436004402223437,0.747067056555757,0.9682391899958566,0.6089547013283302,0.14377728062287953,0.11216114565443652,0.92,59,61,0,1,0,,0.9496519999999999
