run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9116139155432392,0.8408674236685015,0.9824181011876203,0.5591378395702021,0.38234411874651936,0.19311310192651546,1.0,,,1,0,0,,0.978
1,43,0.7945972062460198,0.755576334070928,0.9823515425820613,0.5448147838124332,0.6219077896298079,0.25771966344180575,0.83,45,61,0,1,1,ended_below_threshold,0.9408267528605312
2,44,0.848769504331758,0.7285856767151138,0.975534523600274,0.5159052347195546,0.23799840343292783,0.2629875573417373,0.82,58,76,0,1,0,,0.9316562728605312
3,45,0.8796430995557251,0.8232512039265981,0.9764876327456972,0.7112251209534077,0.1638454040316964,0.13141352165434023,1.0,,,1,0,0,,0.978
4,46,0.9278377653181721,0.7341638079229831,0.9950959305962118,0.6767776540783749,0.1881051114130991,0.2226379576132328,0.87,43,56,0,1,0,,0.9520150256
5,47,0.9068166564127298,0.7129549056862464,0.9781425373219399,0.6721993549159159,0.23334445954770044,0.12118611964868434,0.69,10,41,0,1,0,,0.9277460512000001
6,48,0.8694540017078499,0.6958993189440653,0.9903650052619963,0.6688287255370846,0.2813471224528668,0.27830246339130293,0.66,31,65,0,1,0,,0.9070627455679999
7,49,0.8833329545407075,0.7595334226546134,0.9744144442740693,0.6528704180722747,0.26509306402680755,0.11530100224076427,0.95,50,55,0,1,0,,0.971884
8,50,0.9467731052626864,0.8018224092693934,0.9747252701907464,0.7286230010399717,0.10689829523148166,0.1321397909268958,1.0,,,1,0,0,,0.978
9,51,0.7719425611011459,0.7184612213003396,0.9801452577337632,0.6465614192458056,0.2363308320513554,0.23279383631825404,0.66,17,24,0,1,1,ended_below_threshold,0.94951352
10,52,0.979873734972299,0.8348472654215094,0.993326240848641,0.6890318496938248,0.18998454472482376,0.23698684706901957,1.0,,,1,0,0,,0.978
11,53,0.8705375398120226,0.8371996752457699,0.9847408097078569,0.659347095428639,0.1908921637022123,0.32316411903301717,1.0,,,1,0,0,,0.978
12,54,0.7729068919468657,0.7230257442155408,0.9898863922283282,0.5578760144758106,0.2921631510624271,0.30618059699254596,0.89,13,22,0,1,1,ended_below_threshold,0.9559310255999999
13,55,0.917430969126875,0.7460354025055579,0.993372766213976,0.6105235259684743,0.25165611047448133,0.23728315610575507,0.81,50,69,0,1,0,,0.936586199968
14,56,0.8158953971693779,0.8081557650734429,0.9806087884220993,0.6604055484312822,0.2749796256986717,0.1820688884547248,1.0,,,1,0,0,,0.978
15,57,0.745760062030552,0.657186092763681,0.9460187935809877,0.5733529918249824,0.25559388396342336,0.14734496950160553,0.39,4,18,0,1,1,ended_below_threshold,0.858631276768
16,58,0.935490554889866,0.8178403391382975,0.9894204584164785,0.6312624899313278,0.21700352232927017,0.22551991502929486,1.0,,,1,0,0,,0.978
17,59,0.9684317535837977,0.7451680026879683,0.9747656178467415,0.6686565238598378,0.163177484121935,0.15750095780922124,0.73,26,31,0,1,0,,0.9246915711999999
18,60,0.8272330938799048,0.7602470000502143,0.9738492343219797,0.6242856286900924,0.25235782041880567,0.16378332134357554,0.95,32,37,0,1,0,,0.969684
19,61,0.7842294049011106,0.7621024947126874,0.98150491653087,0.5404429835414379,0.16509865007607558,0.048166364916223746,0.79,79,,0,0,1,never_recovered,0.9270663872312143
