run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.6026028262882116,0.6026028262882116,0.9789429408603372,0.2651713082403251,0.41405139765854193,0.3243444677613268,0.44,44,,0,0,1,never_recovered,0.6079115875738956
1,43,0.6075373572269359,0.6075373572269359,0.9593387889096264,0.3101135119469475,0.6062292481638945,0.34396273757784446,0.41,41,,0,0,1,never_recovered,0.6176000598034806
2,44,0.6384504325524065,0.6082306940858588,0.9854517897818674,0.4171374517630684,0.18925267536612456,0.22573556395659206,0.56,56,,0,0,1,never_recovered,0.7457650696972559
3,45,0.7536443513476647,0.5989906323585835,0.9802984976554475,0.584718699593918,0.1798375633820468,0.1662322674233871,0.67,67,,0,0,1,never_recovered,0.8330453263036302
4,46,0.84633627410223,0.6419303036116379,0.9981622322121867,0.4510438465370398,0.20737246954445981,0.3626431796156614,0.64,41,77,0,1,0,,0.7936537879052652
5,47,0.6782046926643109,0.6774466682800907,0.9222400000000001,0.3846889270128101,0.24402362355097826,0.2821900640844834,0.11,11,,0,0,1,never_recovered,0.5036129048218351
6,48,0.7241736053150358,0.6493995619180596,0.9917396393258524,0.48030639085669924,0.29954815392482076,0.23291512615669172,0.29,29,,0,0,1,never_recovered,0.6045007773337382
7,49,0.678912595821575,0.6450907706468483,0.9737098105672307,0.49378966803121394,0.2523267216868573,0.33279184857750754,0.38,38,,0,0,1,never_recovered,0.6057571989846963
8,50,0.884686297099454,0.7078697423280355,0.9800647481039381,0.421785757280737,0.11390271279947717,0.34456701411394575,0.7,31,61,0,1,0,,0.8354896329966056
9,51,0.6152218407673826,0.6035655287537294,0.9512086647931093,0.3208091638578581,0.2306907604686211,0.1478109435922031,0.34,34,,0,0,1,never_recovered,0.6593980196982159
10,52,0.6976025031934474,0.6723312622961425,0.9819218776641234,0.40113659890129105,0.2092856329536169,0.309709864230438,0.56,56,,0,0,1,never_recovered,0.6859708772467602
11,53,0.630368164007622,0.57793987305024,0.9896252382515972,0.3751522672304666,0.200702049660938,0.26340748722478613,0.44,44,,0,0,1,never_recovered,0.5813475458348766
12,54,0.7060589071197717,0.6302124975901667,0.9641996182391055,0.5050374181386945,0.19277861279155833,0.2805339909005519,0.57,57,,0,0,1,never_recovered,0.7568795332641003
13,55,0.6891538118301762,0.615882801865799,0.9950155880204387,0.4100586310010217,0.2567372636499434,0.2633947038344383,0.34,34,,0,0,1,never_recovered,0.6376981603794901
14,56,0.7136593633042886,0.5834276147053375,0.9868307966043498,0.4769175754260686,0.24408154110213873,0.27862842539868193,0.55,55,,0,0,1,never_recovered,0.7344229168788334
15,57,0.6717276355423724,0.5374875862374889,0.9773992810599164,0.4102933057948524,0.23500646563234737,0.22690764791161847,0.43,43,,0,0,1,never_recovered,0.6245634741436014
16,58,0.7247785574380813,0.5995163932631862,0.9958377713936812,0.5828373973430154,0.2508975444834026,0.3302707958621815,0.66,66,,0,0,1,never_recovered,0.7686602145797714
17,59,0.7454899070212733,0.6437000938341371,0.9722794579939119,0.47978421603736016,0.19039583090456327,0.15673666272586434,0.27,27,,0,0,1,never_recovered,0.6059291762808426
18,60,0.6704557170637131,0.6645660214367218,0.9868444687810137,0.424573658698092,0.27202367619128615,0.14965725165915109,0.79,26,39,0,1,1,ended_below_threshold,0.935862745568
19,61,0.7060425547974694,0.6327063931196696,0.9928241096384998,0.4297795574944846,0.16286726077312147,0.1475843675775233,0.54,54,,0,0,1,never_recovered,0.7333917658475148
