step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.760060808088282,0.760060808088282,0.2009186955187566,0.2009186955187566,0.8637978457681228,0.19826833857264176,0.19826833857264176,0.0,0.0,0.0,0.0,0.0,1.0,0.05
1,0.7203952932865162,0.7203952932865162,0.19980254933072866,0.19980254933072866,0.888504710470974,0.22410201884822162,0.22410201884822162,0.0,0.0,0.0,0.4800000000000001,0.4800000000000001,1.0,0.0
2,0.68179407587065,0.68179407587065,0.2443752984551173,0.2443752984551173,0.9071727619565797,0.24283037634093735,0.24283037634093735,0.06617977528089887,0.06617977528089887,0.08617977528089887,0.5886606741573035,0.8072000000000001,1.0,0.15
3,0.673841573666093,0.673841573666093,0.24271394706347368,0.24271394706347368,0.9071056138134411,0.24969828669217234,0.24969828669217234,0.11155128491906374,0.11155128491906374,0.3805974302639311,0.35229999989794136,0.9560000000000001,1.0,0.1
4,0.678055034935139,0.678055034935139,0.2118073933730961,0.2118073933730961,0.9004205738764284,0.23313903744092648,0.23313903744092648,0.15915914343651022,0.20979205482891525,0.4178058867105848,0.19124291502398977,0.978,1.0,0.0
5,0.680784042466607,0.680784042466607,0.19820765262783513,0.19820765262783513,0.896707147198771,0.21814321890709487,0.21814321890709487,0.13806062572881989,0.24994919546115552,0.36871989946999545,0.18827027934002916,0.945,1.0,0.05
6,0.6791991631700239,0.6791991631700239,0.20243154713732497,0.20243154713732497,0.8961945849630911,0.20607078925954267,0.20607078925954267,0.10046556574390753,0.2846674652675892,0.30806985552162536,0.21879711346687788,0.9119999999999999,1.0,0.05
7,0.6755361380348168,0.6755361380348168,0.18693195736536988,0.18693195736536988,0.9068960304171279,0.202991196367101,0.202991196367101,0.06782039581580548,0.21227722271170113,0.2454048359553354,0.419497545517158,0.945,1.0,0.0
8,0.6659727120252497,0.6659727120252497,0.18196365951554488,0.18196365951554488,0.9187082414303684,0.19934823917667716,0.19934823917667716,0.068029026027041,0.23620272777259244,0.17637666362658033,0.5083915825737862,0.9890000000000001,1.0,0.0
9,0.6617692344726803,0.6617692344726803,0.19691519641313726,0.19691519641313726,0.9212753347783309,0.207271069461046,0.207271069461046,0.07827329681717382,0.1811246858216252,0.2457231777811466,0.42887883958005435,0.9339999999999999,1.0,0.1
10,0.6536921170082778,0.6536921170082778,0.19655200787850774,0.19655200787850774,0.9244800011749085,0.2105549921568553,0.2105549921568553,0.07695510687201672,0.1559390269564879,0.2145850804017877,0.48652078576970775,0.9339999999999999,1.0,0.0
11,0.647064946738171,0.647064946738171,0.1828504775332705,0.1828504775332705,0.927571027520157,0.20627991906787252,0.20627991906787252,0.07624424108557773,0.18963085180348135,0.19398686888233213,0.5071380382286088,0.967,1.0,0.0
12,0.6365894222819581,0.6365894222819581,0.21009333079221565,0.21009333079221565,0.9251546070134904,0.20739954194712285,0.20739954194712285,0.07826496999433004,0.203619082231359,0.18637685562770806,0.4657390921466028,0.9339999999999999,1.0,0.1
13,0.6264688054164264,0.6264688054164264,0.22182168305739802,0.22182168305739802,0.9205138082294223,0.21317056234039516,0.21317056234039516,0.07270820081433452,0.1758886076837012,0.19215451780475076,0.4712486736972135,0.9119999999999999,1.0,0.05
14,0.6206547138661553,0.6206547138661553,0.20785043822947932,0.20785043822947932,0.9216629959046772,0.21641404660145486,0.21641404660145486,0.05275333641090517,0.13888422646333315,0.20170428919995956,0.562658147925802,0.9560000000000001,1.0,0.0
15,0.6164705392490082,0.6164705392490082,0.21024606847950894,0.21024606847950894,0.9155313755515555,0.21834802046149515,0.21834802046149515,0.07711044499627495,0.21013147344137367,0.21919765168848332,0.438560429873868,0.945,1.0,0.05
16,0.6159107825686334,0.6159107825686334,0.2188926414930307,0.2188926414930307,0.9032381877458591,0.20796991925928926,0.20796991925928926,0.07863012022177027,0.3123149271607677,0.24062578750477215,0.31342916511268987,0.945,1.0,0.1
17,0.6247879827056002,0.6247879827056002,0.2081467215888794,0.2081467215888794,0.8952974627766428,0.19742774065389182,0.19742774065389182,0.09607299096798862,0.29000434580787143,0.30391325923973017,0.27700940398440976,0.967,1.0,0.05
18,0.6309686487084971,0.6309686487084971,0.19122412343728806,0.19122412343728806,0.8965710742202446,0.20184937481382711,0.20184937481382711,0.07189946061879857,0.21225118976988772,0.27939791731326946,0.3704514322980442,0.9339999999999999,1.0,0.0
19,0.6320636751345987,0.6320636751345987,0.18709141764612763,0.18709141764612763,0.9002545181344945,0.2009245603690227,0.2009245603690227,0.07212043002231848,0.20453625485671156,0.22810413009853256,0.41823918502243734,0.923,1.0,0.0
