step,avg_trust,avg_trust_filtered,avg_disturbance,avg_disturbance_filtered,avg_stability,avg_cognitive_distortion,avg_cognitive_distortion_filtered,avg_disturbance_damping,avg_cognitive_filtering,avg_trust_recovery,avg_reinforcement,avg_intervention_total,stability_share,shock_share
0,0.8237974009560762,0.8237974009560762,0.20755080994410635,0.20755080994410635,0.8747145722254814,0.1916205787738902,0.1916205787738902,0.0,0.0,0.0,0.0,0.0,1.0,0.1
1,0.8405470521169829,0.8405470521169829,0.22824018967022583,0.22824018967022583,0.8929214378588288,0.2227659874321437,0.2227659874321437,0.0,0.0,0.0,0.0,0.0,1.0,0.05
2,0.8522988958176064,0.8522988958176064,0.23659853586525154,0.23659853586525154,0.9229034352583568,0.25326992134113335,0.25326992134113335,0.0,0.0,0.0,0.8,0.8,1.0,0.1
3,0.869997354068507,0.869997354068507,0.25633920810248056,0.25633920810248056,0.9413409164431468,0.2242103831732701,0.2242103831732701,0.018726591760299623,0.4119850187265917,0.018726591760299623,0.550561797752809,1.0,1.0,0.15
4,0.906635162402319,0.906635162402319,0.25182364985213995,0.25182364985213995,0.9547007799097564,0.19637798851195262,0.19637798851195262,0.017683591712890533,0.5005211874245874,0.06831650310529559,0.41347871775722644,1.0,1.0,0.05
5,0.9460412227489241,0.9460412227489241,0.24706314526569467,0.24706314526569467,0.9666387883365595,0.18434787687595686,0.18434787687595686,0.026535772773045353,0.48193119526159656,0.12252421900587404,0.369008812959484,1.0,1.0,0.05
6,0.9720782479193714,0.9720782479193714,0.23485817171534734,0.23485817171534734,0.9759563865562821,0.1910971367082342,0.1910971367082342,0.055698988102257554,0.3140039982457857,0.1260027759585559,0.5042942376934009,1.0,1.0,0.1
7,0.9830385657656796,0.9830385657656796,0.22762067580801731,0.22762067580801731,0.9826885983205231,0.20202046616095454,0.20202046616095454,0.060329599864558846,0.2101202878934349,0.0975081178602284,0.6320419943817779,1.0,1.0,0.05
8,0.9879891988417306,0.9879891988417306,0.2289778599704948,0.2289778599704948,0.9875357907907766,0.1943887602862769,0.1943887602862769,0.0305117770024065,0.27457166638218305,0.07418218462052184,0.6207343719948886,1.0,1.0,0.0
9,0.9930921288644123,0.9930921288644123,0.24001174444459034,0.24001174444459034,0.9910257693693593,0.19420812400743598,0.19420812400743598,0.03237011469784272,0.3365746097683471,0.05476399419361085,0.5762912813401992,1.0,1.0,0.1
