run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.9999999999999988,0.8821129915251814,0.9999999999999988,0.9885490442805701,0.41405211659062496,0.21002180887442387,1.0,,,1,0,0,,0.978
1,43,0.9999999999999984,0.8499427164268628,0.9999999999999984,0.9085156263053875,0.710323511251989,0.2608797703871417,1.0,,,1,0,0,,0.978
2,44,0.9999999907825777,0.8748816978073887,0.9999999985711534,1.0,0.1759795849932493,0.2592052984327081,1.0,,,1,0,0,,0.978
3,45,0.999999999999999,0.8782257036826588,0.999999999999999,1.0,0.1353247852835724,0.09968707882539568,1.0,,,1,0,0,,0.978
4,46,0.9999999998806358,0.8772718322445684,0.9999999998806358,1.0,0.21294007475984764,0.19182186785324518,1.0,,,1,0,0,,0.978
5,47,0.9999999999992231,0.8774590665833499,0.9999999999992231,1.0,0.2631970614983572,0.08922198283485863,1.0,,,1,0,0,,0.978
6,48,0.999999999999999,0.8794827731055597,0.999999999999999,1.0,0.27384710420675706,0.30720046616214064,1.0,,,1,0,0,,0.978
7,49,0.999999999999999,0.8788628314925023,0.999999999999999,1.0,0.2651191208531812,0.1692704569243211,1.0,,,1,0,0,,0.978
8,50,0.9999999999999315,0.8784206630509437,0.9999999999999315,1.0,0.1124965880841649,0.18392684213804222,1.0,,,1,0,0,,0.978
9,51,0.9999999989152081,0.8777969775870166,0.9999999989152081,1.0,0.1505214614177706,0.15766848273991158,1.0,,,1,0,0,,0.978
10,52,0.999999999999999,0.8801977375714368,0.999999999999999,1.0,0.21167373478716173,0.16373111656298367,1.0,,,1,0,0,,0.978
11,53,0.9999999999999976,0.8728962628421554,0.9999999999999976,1.0,0.24721557680616513,0.13077373524031038,1.0,,,1,0,0,,0.978
12,54,0.9998273935002586,0.8799874914033775,0.9999999999999853,1.0,0.3018088391272021,0.26892155454396854,1.0,,,1,0,0,,0.978
13,55,0.9999999999999989,0.8734015231557845,0.9999999999999989,1.0,0.27378904635985546,0.14152216807589263,1.0,,,1,0,0,,0.978
14,56,0.9999999999999989,0.8761045294069928,0.9999999999999989,1.0,0.231871919954916,0.1775144923544953,1.0,,,1,0,0,,0.978
15,57,0.9999999999749487,0.8515575794127561,0.9999999999749487,1.0,0.25040832261004503,0.20540228179857248,1.0,,,1,0,0,,0.978
16,58,0.9999999905330769,0.8790025828959792,0.9999999999050716,1.0,0.25104251710651954,0.18309573999366147,1.0,,,1,0,0,,0.978
17,59,0.9999996823995936,0.8594152180825154,0.9999999999916128,1.0,0.1909804690619793,0.09831872955615427,1.0,,,1,0,0,,0.978
18,60,0.999999999999999,0.8766737576703058,0.999999999999999,1.0,0.1805851037019038,0.17117499387105795,1.0,,,1,0,0,,0.978
19,61,0.9999999999999989,0.8749243586636537,0.9999999999999989,1.0,0.1662473562245821,0.06323382160512492,1.0,,,1,0,0,,0.978
