run_index,seed,final_stability,min_stability,max_stability,final_trust,final_disturbance,final_cognitive_distortion,stability_rate,first_breach_step,recovery_step,stable_run,recovered_run,failure_case,failure_reason,avg_intervention_utilization
0,42,0.927136055619952,0.8408674236685015,0.9856899240048601,0.6935869015312461,0.37809174454155015,0.19969554520032473,1.0,,,1,0,0,,0.978
1,43,0.8282215429309017,0.7829790000233954,0.9877700999978009,0.5925749726331668,0.6523823362972926,0.25508681580968706,0.95,45,50,0,1,0,,0.969684
2,44,0.8554924696010122,0.7971576416296867,0.9660016020830388,0.5415368030557626,0.17435572356015427,0.28863970818056534,0.99,59,60,0,1,0,,0.9758
3,45,0.9052183240909784,0.8354065079806295,0.9763062728722262,0.6911606509197612,0.14406960594306334,0.17145532511955242,1.0,,,1,0,0,,0.978
4,46,0.9300427583845464,0.7446897053615821,0.9944682043353387,0.7119295148060295,0.16843606858501428,0.21571450117103416,0.89,43,54,0,1,0,,0.9603310255999999
5,47,0.9091317908391271,0.720917733077986,0.971799119634518,0.7295639749793624,0.23350808876560725,0.09473640789725281,0.74,11,15,0,1,0,,0.95171352
6,48,0.8988650987687726,0.7835152934028908,0.9903650052619963,0.700215425748511,0.25492060656318605,0.3030207440678349,0.96,30,34,0,1,0,,0.969684
7,49,0.902838715478128,0.825199490906045,0.9846610532955175,0.6573630574667166,0.2301123156580138,0.1989654557060951,1.0,,,1,0,0,,0.978
8,50,0.9609242865194989,0.8073910099646587,0.9805533562716849,0.7827320607701327,0.09643609840405569,0.14813731929657403,1.0,,,1,0,0,,0.978
9,51,0.843740167408108,0.7533112916096877,0.9642783199662741,0.6579376526823701,0.20690938690362606,0.22367382632252325,0.77,16,20,0,1,0,,0.94865904
10,52,0.9747399141763781,0.8485608924426579,0.9845359158395669,0.7718335716825481,0.18604890081791892,0.1434768782007823,1.0,,,1,0,0,,0.978
11,53,0.8660154527810301,0.8316228322510362,0.9834659827134086,0.6549781259041012,0.15964578947464905,0.1958582714426765,1.0,,,1,0,0,,0.978
12,54,0.8570755360317249,0.7356977060469143,0.9930278439625703,0.5823571816154249,0.3000660328983755,0.2761288580216436,0.93,14,21,0,1,0,,0.971884
13,55,0.9314453354663051,0.7749165361477418,0.9890730750215816,0.6929536736781614,0.23740792922526543,0.18304958597164966,0.93,52,59,0,1,0,,0.969684
14,56,0.8217504131721681,0.8159031835703586,0.9830513026996308,0.6655159283095268,0.2737234187395191,0.18142131851574453,1.0,,,1,0,0,,0.978
15,57,0.833001449187095,0.7474282472003279,0.9794507252691675,0.6843335001880546,0.20947537214001855,0.16949417501126945,0.85,4,14,0,1,0,,0.9445605456
16,58,0.9194373701590917,0.843807000284307,0.9849573442058827,0.6614191773620753,0.18296928086051198,0.13495085173249655,1.0,,,1,0,0,,0.978
17,59,0.9573064243665079,0.7677185541640409,0.9774033138058629,0.6855451306480308,0.1398857639996217,0.15715776858937605,0.87,37,42,0,1,0,,0.96222952
18,60,0.8539126903248073,0.7851669605363365,0.9737883399048822,0.614932398338996,0.22092921885344105,0.17066234271169206,0.96,33,37,0,1,0,,0.9603310255999999
19,61,0.9634187453998896,0.8027725032353648,0.9736676676722971,0.7017050930340535,0.1485471491268824,0.08854164138971664,1.0,,,1,0,0,,0.978
