topology,chain_length,k_D,k_C,k_T,run_index,seed,failure_rate,cascade_depth,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes
chain,20,0.05,0.05,0.0,0,42,0.1,19,4,1,19,1
chain,20,0.05,0.05,0.0,1,43,0.1,19,4,1,19,1
chain,20,0.05,0.05,0.0,2,44,0.1,19,4,1,19,1
chain,20,0.05,0.05,0.0,3,45,0.1,19,4,1,19,1
chain,20,0.05,0.05,0.0,4,46,0.1,18,4,1,18,1|1
chain,20,0.05,0.05,0.0,5,47,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,6,48,0.05,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,7,49,0.05,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,8,50,0.05,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,9,51,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,10,52,0.1,18,4,1,18,1|1|1
chain,20,0.05,0.05,0.0,11,53,0.05,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,12,54,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,13,55,0.1,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.0,14,56,0.15,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.0,15,57,0.15,19,5,1,19,1|1
chain,20,0.05,0.05,0.0,16,58,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.0,17,59,0.1,19,7,1,19,1|1
chain,20,0.05,0.05,0.0,18,60,0.15,19,6,1,19,1|1
chain,20,0.05,0.05,0.0,19,61,0.15,19,6,1,19,1|1
chain,20,0.05,0.05,0.02,0,42,0.15,19,4,1,19,1|1
chain,20,0.05,0.05,0.02,1,43,0.15,19,4,1,19,1|1
chain,20,0.05,0.05,0.02,2,44,0.15,19,3,1,19,1|1
chain,20,0.05,0.05,0.02,3,45,0.15,19,3,1,19,1|1
chain,20,0.05,0.05,0.02,4,46,0.15,18,4,1,18,1|1|1
chain,20,0.05,0.05,0.02,5,47,0.15,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,6,48,0.1,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,7,49,0.15,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,8,50,0.1,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,9,51,0.15,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,10,52,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.02,11,53,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.02,12,54,0.1,19,4,1,19,1|1
chain,20,0.05,0.05,0.02,13,55,0.1,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,14,56,0.15,19,4,1,19,1|1|1
chain,20,0.05,0.05,0.02,15,57,0.1,19,5,1,19,1|1
chain,20,0.05,0.05,0.02,16,58,0.1,19,4,1,19,1|1
