topology,chain_length,k_D,k_C,k_T,runs,steps,avg_failure_rate,avg_time_to_collapse,propagated_runs,propagation_share,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_behavior
chain,20,0.05,0.05,0.0,20,200,0.1,4.4,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|18|19|19|19|19|19|19|19|19|19,19|19|19|19|18|19|19|19|19|19|18|19|19|19|19|19|19|19|19|19,expands_far
chain,20,0.05,0.05,0.02,20,200,0.1275,4.25,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|18|19|19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|18|19|19,expands_far
chain,20,0.05,0.05,0.05,20,200,0.0975,4.15,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|18|19|19|19|19|19|19|19|19|19,19|19|19|19|18|19|19|19|19|19|18|19|19|19|19|19|19|19|19|19,expands_far
chain,20,0.05,0.1,0.0,20,200,0.125,4.15,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,expands_far
chain,20,0.05,0.1,0.02,20,200,0.13999999999999999,4.15,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,expands_far
chain,20,0.05,0.1,0.05,20,200,0.18,4.1,20,1.0,1.0,19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,19|19|19|19|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,expands_far
chain,50,0.05,0.05,0.0,20,200,0.10500000000000001,4.4,20,1.0,1.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
chain,50,0.05,0.05,0.02,20,200,0.128,4.25,20,1.0,1.0,49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
chain,50,0.05,0.05,0.05,20,200,0.121,4.15,20,1.0,1.05,49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
chain,50,0.05,0.1,0.0,20,200,0.166,4.15,20,1.0,1.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
chain,50,0.05,0.1,0.02,20,200,0.165,4.15,20,1.0,1.0,49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|48|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
chain,50,0.05,0.1,0.05,20,200,0.18,4.1,20,1.0,1.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,expands_far
