topology,run_index,seed,k_D,k_C,k_T,failure_rate,cascade_depth,time_to_collapse,propagated
chain,0,42,0.05,0.05,0.0,0.4,3,12,1
chain,1,43,0.05,0.05,0.0,0.2,0,10,0
chain,2,44,0.05,0.05,0.0,0.0,0,10,0
chain,3,45,0.05,0.05,0.0,0.2,0,10,0
chain,4,46,0.05,0.05,0.0,0.0,0,10,0
chain,5,47,0.05,0.05,0.0,0.2,4,16,1
chain,6,48,0.05,0.05,0.0,0.2,3,16,1
chain,7,49,0.05,0.05,0.0,0.2,2,16,1
chain,8,50,0.05,0.05,0.0,0.4,4,12,1
chain,9,51,0.05,0.05,0.0,0.4,3,12,1
chain,10,52,0.05,0.05,0.0,0.4,4,12,1
chain,11,53,0.05,0.05,0.0,0.6,4,4,1
chain,12,54,0.05,0.05,0.0,0.4,2,4,1
chain,13,55,0.05,0.05,0.0,0.2,1,4,1
chain,14,56,0.05,0.05,0.0,0.2,1,4,1
chain,15,57,0.05,0.05,0.0,0.2,0,5,0
chain,16,58,0.05,0.05,0.0,0.0,0,4,0
chain,17,59,0.05,0.05,0.0,0.0,0,24,0
chain,18,60,0.05,0.05,0.0,0.0,0,9,0
chain,19,61,0.05,0.05,0.0,0.0,0,10,0
chain,0,42,0.05,0.05,0.02,0.4,3,12,1
chain,1,43,0.05,0.05,0.02,0.4,2,10,1
chain,2,44,0.05,0.05,0.02,0.0,0,10,0
chain,3,45,0.05,0.05,0.02,0.0,0,10,0
chain,4,46,0.05,0.05,0.02,0.0,0,10,0
chain,5,47,0.05,0.05,0.02,0.2,4,16,1
chain,6,48,0.05,0.05,0.02,0.2,3,16,1
chain,7,49,0.05,0.05,0.02,0.2,2,16,1
chain,8,50,0.05,0.05,0.02,0.4,4,12,1
chain,9,51,0.05,0.05,0.02,0.2,0,12,0
chain,10,52,0.05,0.05,0.02,0.2,4,12,1
chain,11,53,0.05,0.05,0.02,0.4,4,4,1
chain,12,54,0.05,0.05,0.02,0.4,3,4,1
chain,13,55,0.05,0.05,0.02,0.4,2,4,1
chain,14,56,0.05,0.05,0.02,0.4,1,4,1
chain,15,57,0.05,0.05,0.02,0.2,0,5,0
chain,16,58,0.05,0.05,0.02,0.0,0,4,0
chain,17,59,0.05,0.05,0.02,0.0,0,27,0
chain,18,60,0.05,0.05,0.02,0.0,0,9,0
chain,19,61,0.05,0.05,0.02,0.2,3,10,1
chain,0,42,0.05,0.05,0.05,0.2,1,11,1
chain,1,43,0.05,0.05,0.05,0.2,0,10,0
chain,2,44,0.05,0.05,0.05,0.0,0,10,0
chain,3,45,0.05,0.05,0.05,0.0,0,10,0
chain,4,46,0.05,0.05,0.05,0.0,0,10,0
chain,5,47,0.05,0.05,0.05,0.2,4,16,1
chain,6,48,0.05,0.05,0.05,0.2,3,15,1
chain,7,49,0.05,0.05,0.05,0.2,2,15,1
chain,8,50,0.05,0.05,0.05,0.4,4,12,1
chain,9,51,0.05,0.05,0.05,0.2,3,12,1
chain,10,52,0.05,0.05,0.05,0.4,4,12,1
chain,11,53,0.05,0.05,0.05,0.4,4,4,1
chain,12,54,0.05,0.05,0.05,0.4,3,4,1
chain,13,55,0.05,0.05,0.05,0.4,2,4,1
chain,14,56,0.05,0.05,0.05,0.4,1,4,1
chain,15,57,0.05,0.05,0.05,0.2,0,5,0
chain,16,58,0.05,0.05,0.05,0.0,0,4,0
chain,17,59,0.05,0.05,0.05,0.0,0,26,0
chain,18,60,0.05,0.05,0.05,0.2,4,9,1
chain,19,61,0.05,0.05,0.05,0.0,0,9,0
chain,0,42,0.05,0.05,0.1,0.2,1,11,1
chain,1,43,0.05,0.05,0.1,0.2,1,10,1
chain,2,44,0.05,0.05,0.1,0.0,0,10,0
chain,3,45,0.05,0.05,0.1,0.2,2,8,1
chain,4,46,0.05,0.05,0.1,0.0,0,10,0
chain,5,47,0.05,0.05,0.1,0.2,4,15,1
chain,6,48,0.05,0.05,0.1,0.2,3,15,1
chain,7,49,0.05,0.05,0.1,0.4,4,12,1
chain,8,50,0.05,0.05,0.1,0.4,3,6,1
chain,9,51,0.05,0.05,0.1,0.4,2,12,1
chain,10,52,0.05,0.05,0.1,0.4,3,12,1
chain,11,53,0.05,0.05,0.1,0.2,4,4,1
chain,12,54,0.05,0.05,0.1,0.4,3,4,1
chain,13,55,0.05,0.05,0.1,0.2,2,4,1
chain,14,56,0.05,0.05,0.1,0.2,1,4,1
chain,15,57,0.05,0.05,0.1,0.4,2,4,1
chain,16,58,0.05,0.05,0.1,0.0,0,4,0
chain,17,59,0.05,0.05,0.1,0.0,0,26,0
chain,18,60,0.05,0.05,0.1,0.2,4,9,1
chain,19,61,0.05,0.05,0.1,0.2,3,9,1
chain,0,42,0.05,0.1,0.0,0.2,1,5,1
chain,1,43,0.05,0.1,0.0,0.2,0,10,0
chain,2,44,0.05,0.1,0.0,0.0,0,10,0
chain,3,45,0.05,0.1,0.0,0.0,0,10,0
chain,4,46,0.05,0.1,0.0,0.0,0,10,0
chain,5,47,0.05,0.1,0.0,0.2,4,16,1
chain,6,48,0.05,0.1,0.0,0.2,3,15,1
chain,7,49,0.05,0.1,0.0,0.2,2,15,1
chain,8,50,0.05,0.1,0.0,0.4,4,11,1
chain,9,51,0.05,0.1,0.0,0.2,3,12,1
chain,10,52,0.05,0.1,0.0,0.4,4,12,1
chain,11,53,0.05,0.1,0.0,0.6,4,4,1
chain,12,54,0.05,0.1,0.0,0.6,3,4,1
chain,13,55,0.05,0.1,0.0,0.4,2,4,1
chain,14,56,0.05,0.1,0.0,0.4,1,4,1
chain,15,57,0.05,0.1,0.0,0.2,0,5,0
chain,16,58,0.05,0.1,0.0,0.0,0,4,0
chain,17,59,0.05,0.1,0.0,0.0,0,24,0
chain,18,60,0.05,0.1,0.0,0.2,4,9,1
chain,19,61,0.05,0.1,0.0,0.2,3,8,1
chain,0,42,0.05,0.1,0.02,0.2,1,5,1
chain,1,43,0.05,0.1,0.02,0.4,2,10,1
chain,2,44,0.05,0.1,0.02,0.2,1,10,1
chain,3,45,0.05,0.1,0.02,0.0,0,10,0
chain,4,46,0.05,0.1,0.02,0.0,0,10,0
chain,5,47,0.05,0.1,0.02,0.2,4,16,1
chain,6,48,0.05,0.1,0.02,0.2,3,15,1
chain,7,49,0.05,0.1,0.02,0.2,2,16,1
chain,8,50,0.05,0.1,0.02,0.4,4,6,1
chain,9,51,0.05,0.1,0.02,0.4,3,12,1
chain,10,52,0.05,0.1,0.02,0.4,4,12,1
chain,11,53,0.05,0.1,0.02,0.6,4,4,1
chain,12,54,0.05,0.1,0.02,0.6,3,4,1
chain,13,55,0.05,0.1,0.02,0.4,2,4,1
chain,14,56,0.05,0.1,0.02,0.4,1,4,1
chain,15,57,0.05,0.1,0.02,0.2,0,5,0
chain,16,58,0.05,0.1,0.02,0.0,0,4,0
chain,17,59,0.05,0.1,0.02,0.0,0,28,0
chain,18,60,0.05,0.1,0.02,0.2,4,9,1
chain,19,61,0.05,0.1,0.02,0.2,3,8,1
chain,0,42,0.05,0.1,0.05,0.4,2,5,1
chain,1,43,0.05,0.1,0.05,0.6,2,10,1
chain,2,44,0.05,0.1,0.05,0.0,0,10,0
chain,3,45,0.05,0.1,0.05,0.0,0,10,0
chain,4,46,0.05,0.1,0.05,0.0,0,10,0
chain,5,47,0.05,0.1,0.05,0.2,4,15,1
chain,6,48,0.05,0.1,0.05,0.4,3,15,1
chain,7,49,0.05,0.1,0.05,0.2,2,16,1
chain,8,50,0.05,0.1,0.05,0.4,4,6,1
chain,9,51,0.05,0.1,0.05,0.6,3,12,1
chain,10,52,0.05,0.1,0.05,0.4,4,12,1
chain,11,53,0.05,0.1,0.05,0.6,4,4,1
chain,12,54,0.05,0.1,0.05,0.4,3,4,1
chain,13,55,0.05,0.1,0.05,0.4,2,4,1
chain,14,56,0.05,0.1,0.05,0.6,4,4,1
chain,15,57,0.05,0.1,0.05,0.2,0,4,0
chain,16,58,0.05,0.1,0.05,0.0,0,4,0
chain,17,59,0.05,0.1,0.05,0.0,0,28,0
chain,18,60,0.05,0.1,0.05,0.2,4,9,1
chain,19,61,0.05,0.1,0.05,0.2,3,8,1
chain,0,42,0.05,0.1,0.1,0.2,2,5,1
chain,1,43,0.05,0.1,0.1,0.2,1,10,1
chain,2,44,0.05,0.1,0.1,0.2,0,9,0
chain,3,45,0.05,0.1,0.1,0.0,0,8,0
chain,4,46,0.05,0.1,0.1,0.0,0,10,0
chain,5,47,0.05,0.1,0.1,0.2,4,15,1
chain,6,48,0.05,0.1,0.1,0.2,3,12,1
chain,7,49,0.05,0.1,0.1,0.4,4,11,1
chain,8,50,0.05,0.1,0.1,0.4,3,5,1
chain,9,51,0.05,0.1,0.1,0.6,3,12,1
chain,10,52,0.05,0.1,0.1,0.6,4,12,1
chain,11,53,0.05,0.1,0.1,0.6,4,4,1
chain,12,54,0.05,0.1,0.1,0.4,3,4,1
chain,13,55,0.05,0.1,0.1,0.2,2,4,1
chain,14,56,0.05,0.1,0.1,0.4,1,4,1
chain,15,57,0.05,0.1,0.1,0.2,0,4,0
chain,16,58,0.05,0.1,0.1,0.0,0,4,0
chain,17,59,0.05,0.1,0.1,0.0,0,32,0
chain,18,60,0.05,0.1,0.1,0.2,4,8,1
chain,19,61,0.05,0.1,0.1,0.2,3,7,1
chain,0,42,0.05,0.15,0.0,0.2,1,5,1
chain,1,43,0.05,0.15,0.0,0.2,0,10,0
chain,2,44,0.05,0.15,0.0,0.2,0,10,0
chain,3,45,0.05,0.15,0.0,0.2,0,9,0
chain,4,46,0.05,0.15,0.0,0.2,3,7,1
chain,5,47,0.05,0.15,0.0,0.6,4,15,1
chain,6,48,0.05,0.15,0.0,0.2,3,12,1
chain,7,49,0.05,0.15,0.0,0.2,2,11,1
chain,8,50,0.05,0.15,0.0,0.6,4,6,1
chain,9,51,0.05,0.15,0.0,0.2,0,12,0
chain,10,52,0.05,0.15,0.0,0.2,4,6,1
chain,11,53,0.05,0.15,0.0,0.4,4,4,1
chain,12,54,0.05,0.15,0.0,0.6,3,4,1
chain,13,55,0.05,0.15,0.0,0.4,2,4,1
chain,14,56,0.05,0.15,0.0,0.6,4,4,1
chain,15,57,0.05,0.15,0.0,0.2,0,4,0
chain,16,58,0.05,0.15,0.0,0.2,2,4,1
chain,17,59,0.05,0.15,0.0,0.0,0,20,0
chain,18,60,0.05,0.15,0.0,0.4,4,8,1
chain,19,61,0.05,0.15,0.0,0.2,3,7,1
chain,0,42,0.05,0.15,0.02,0.6,3,5,1
chain,1,43,0.05,0.15,0.02,0.4,2,9,1
chain,2,44,0.05,0.15,0.02,0.2,0,10,0
chain,3,45,0.05,0.15,0.02,0.0,0,9,0
chain,4,46,0.05,0.15,0.02,0.4,3,7,1
chain,5,47,0.05,0.15,0.02,0.2,4,14,1
chain,6,48,0.05,0.15,0.02,0.2,3,15,1
chain,7,49,0.05,0.15,0.02,0.4,4,10,1
chain,8,50,0.05,0.15,0.02,0.2,1,5,1
chain,9,51,0.05,0.15,0.02,0.8,4,12,1
chain,10,52,0.05,0.15,0.02,0.6,4,6,1
chain,11,53,0.05,0.15,0.02,0.8,4,4,1
chain,12,54,0.05,0.15,0.02,0.6,3,4,1
chain,13,55,0.05,0.15,0.02,0.4,2,4,1
chain,14,56,0.05,0.15,0.02,0.4,1,4,1
chain,15,57,0.05,0.15,0.02,0.4,3,4,1
chain,16,58,0.05,0.15,0.02,0.2,2,4,1
chain,17,59,0.05,0.15,0.02,0.0,0,20,0
chain,18,60,0.05,0.15,0.02,0.2,4,8,1
chain,19,61,0.05,0.15,0.02,0.2,3,7,1
chain,0,42,0.05,0.15,0.05,0.2,1,5,1
chain,1,43,0.05,0.15,0.05,0.4,1,9,1
chain,2,44,0.05,0.15,0.05,0.4,4,10,1
chain,3,45,0.05,0.15,0.05,0.2,0,7,0
chain,4,46,0.05,0.15,0.05,0.0,0,7,0
chain,5,47,0.05,0.15,0.05,0.2,4,14,1
chain,6,48,0.05,0.15,0.05,0.4,3,9,1
chain,7,49,0.05,0.15,0.05,0.2,2,9,1
chain,8,50,0.05,0.15,0.05,0.6,4,5,1
chain,9,51,0.05,0.15,0.05,0.6,3,12,1
chain,10,52,0.05,0.15,0.05,0.6,4,6,1
chain,11,53,0.05,0.15,0.05,0.6,4,4,1
chain,12,54,0.05,0.15,0.05,0.6,3,4,1
chain,13,55,0.05,0.15,0.05,0.2,2,4,1
chain,14,56,0.05,0.15,0.05,0.4,1,4,1
chain,15,57,0.05,0.15,0.05,0.4,3,4,1
chain,16,58,0.05,0.15,0.05,0.0,0,3,0
chain,17,59,0.05,0.15,0.05,0.2,1,19,1
