topology,k_D,k_C,k_T,runs,avg_failure_rate,avg_cascade_depth,avg_time_to_collapse,propagated_runs,propagation_share,near_threshold
chain,0.05,0.05,0.0,20,0.21000000000000002,1.55,10.2,11,0.55,1
chain,0.05,0.05,0.02,20,0.21000000000000002,1.75,10.35,12,0.6,1
chain,0.05,0.05,0.05,20,0.2,1.75,10.1,12,0.6,1
chain,0.05,0.05,0.1,20,0.22000000000000003,2.1,9.45,16,0.8,1
chain,0.05,0.1,0.0,20,0.23000000000000004,1.9,9.6,13,0.65,1
chain,0.05,0.1,0.02,20,0.26,2.05,9.6,15,0.75,1
chain,0.05,0.1,0.05,20,0.29,2.2,9.5,14,0.7,1
chain,0.05,0.1,0.1,20,0.26,2.05,9.0,14,0.7,1
chain,0.05,0.15,0.0,20,0.3,2.15,8.1,14,0.7,1
chain,0.05,0.15,0.02,20,0.36,2.5,8.05,17,0.85,1
chain,0.05,0.15,0.05,20,0.32999999999999996,2.35,7.5,17,0.85,1
chain,0.05,0.15,0.1,20,0.32999999999999996,2.45,7.45,16,0.8,1
chain,0.05,0.2,0.0,20,0.41,2.5,6.75,16,0.8,1
chain,0.05,0.2,0.02,20,0.39,2.5,6.6,17,0.85,1
chain,0.05,0.2,0.05,20,0.39,2.3,6.65,16,0.8,1
chain,0.05,0.2,0.1,20,0.38,2.65,6.5,18,0.9,1
chain,0.1,0.05,0.0,20,0.4,2.65,9.05,17,0.85,1
chain,0.1,0.05,0.02,20,0.39,2.6,8.75,19,0.95,1
chain,0.1,0.05,0.05,20,0.35,2.5,8.5,18,0.9,1
chain,0.1,0.05,0.1,20,0.39,2.5,8.55,17,0.85,1
chain,0.1,0.1,0.0,20,0.45,2.95,7.75,20,1.0,0
chain,0.1,0.1,0.02,20,0.43,2.7,7.8,18,0.9,1
chain,0.1,0.1,0.05,20,0.44000000000000006,2.85,7.65,18,0.9,1
chain,0.1,0.1,0.1,20,0.45999999999999996,2.8,7.25,20,1.0,0
chain,0.1,0.15,0.0,20,0.52,3.2,6.75,20,1.0,0
chain,0.1,0.15,0.02,20,0.45999999999999996,3.2,6.75,20,1.0,0
chain,0.1,0.15,0.05,20,0.47000000000000003,2.95,6.75,19,0.95,1
chain,0.1,0.15,0.1,20,0.48,2.8,6.6,17,0.85,1
chain,0.1,0.2,0.0,20,0.5700000000000001,3.2,5.95,20,1.0,0
chain,0.1,0.2,0.02,20,0.58,3.35,5.95,20,1.0,0
chain,0.1,0.2,0.05,20,0.54,3.2,5.95,20,1.0,0
chain,0.1,0.2,0.1,20,0.5700000000000001,3.35,6.05,20,1.0,0
chain,0.15,0.05,0.0,20,0.5700000000000001,3.2,7.45,20,1.0,0
chain,0.15,0.05,0.02,20,0.52,2.95,7.4,20,1.0,0
chain,0.15,0.05,0.05,20,0.55,3.1,7.35,19,0.95,1
chain,0.15,0.05,0.1,20,0.49000000000000005,2.95,7.3,19,0.95,1
chain,0.15,0.1,0.0,20,0.6100000000000001,3.4,6.5,20,1.0,0
chain,0.15,0.1,0.02,20,0.5700000000000001,3.25,6.55,20,1.0,0
chain,0.15,0.1,0.05,20,0.6100000000000001,3.3,6.55,19,0.95,1
chain,0.15,0.1,0.1,20,0.63,3.5,6.5,20,1.0,0
chain,0.15,0.15,0.0,20,0.7100000000000001,3.5,5.95,20,1.0,0
chain,0.15,0.15,0.02,20,0.6100000000000001,3.35,5.95,20,1.0,0
chain,0.15,0.15,0.05,20,0.62,3.45,5.9,20,1.0,0
chain,0.15,0.15,0.1,20,0.62,3.35,5.9,19,0.95,1
chain,0.15,0.2,0.0,20,0.67,3.45,5.65,20,1.0,0
chain,0.15,0.2,0.02,20,0.7100000000000001,3.55,5.7,20,1.0,0
chain,0.15,0.2,0.05,20,0.67,3.45,5.8,20,1.0,0
chain,0.15,0.2,0.1,20,0.6799999999999999,3.55,5.7,20,1.0,0
chain,0.2,0.05,0.0,20,0.6900000000000001,3.5,6.55,20,1.0,0
chain,0.2,0.05,0.02,20,0.6799999999999999,3.6,6.5,20,1.0,0
chain,0.2,0.05,0.05,20,0.6599999999999999,3.45,6.4,20,1.0,0
chain,0.2,0.05,0.1,20,0.62,3.75,6.35,20,1.0,0
chain,0.2,0.1,0.0,20,0.77,3.55,5.9,20,1.0,0
chain,0.2,0.1,0.02,20,0.78,3.65,5.85,20,1.0,0
chain,0.2,0.1,0.05,20,0.76,3.7,5.95,20,1.0,0
chain,0.2,0.1,0.1,20,0.76,3.55,5.95,20,1.0,0
chain,0.2,0.15,0.0,20,0.79,3.75,5.6,20,1.0,0
chain,0.2,0.15,0.02,20,0.76,3.5,5.55,20,1.0,0
chain,0.2,0.15,0.05,20,0.75,3.55,5.55,20,1.0,0
chain,0.2,0.15,0.1,20,0.7300000000000001,3.8,5.6,20,1.0,0
chain,0.2,0.2,0.0,20,0.89,3.95,5.15,20,1.0,0
chain,0.2,0.2,0.02,20,0.8400000000000001,3.7,5.15,20,1.0,0
chain,0.2,0.2,0.05,20,0.8300000000000001,3.85,5.15,20,1.0,0
chain,0.2,0.2,0.1,20,0.77,3.75,5.15,20,1.0,0
