run_index,seed,scenario,avg_final_stability,avg_stability_rate,node_failures,node_recoveries,stability_variance
0,42,coupled,0.8591186791792635,0.9279999999999999,1,3,0.0023353715115571544
1,43,coupled,0.8410713650190781,0.8160000000000001,1,5,0.0014439542502471178
2,44,coupled,0.8646333809757982,0.858,0,4,0.00044903793652570145
3,45,coupled,0.8620720634661255,0.8560000000000001,0,5,0.0010372760575939474
4,46,coupled,0.8852671000479783,0.8140000000000001,0,5,0.0006856036783030112
5,47,coupled,0.8684050945420388,0.744,1,5,0.002498171801949311
6,48,coupled,0.8861722265265692,0.8300000000000001,1,4,0.004661279857345637
7,49,coupled,0.8745682170311614,0.8460000000000001,1,3,0.005383441003871949
8,50,coupled,0.8587618019801544,0.85,2,3,0.006238717786188689
9,51,coupled,0.8490300048000806,0.8640000000000001,1,3,0.0045355555170075255
10,52,coupled,0.8407033062238977,0.9359999999999999,2,2,0.005066825637761586
11,53,coupled,0.8007435082259395,0.866,3,3,0.0028414377935625968
12,54,coupled,0.834303209230751,0.874,2,3,0.005042065475749368
13,55,coupled,0.8582771318321758,0.792,2,3,0.007188760520263144
14,56,coupled,0.8445523628730397,0.786,2,3,0.0036064416461772104
15,57,coupled,0.8652659802719649,0.8140000000000001,1,4,0.006379196662609615
16,58,coupled,0.9092125107460515,0.8400000000000001,0,4,0.0013371268231002526
17,59,coupled,0.9076484652757507,0.8380000000000001,0,4,0.0017357322517707388
18,60,coupled,0.8671254232562026,0.898,1,4,0.004293262006659444
19,61,coupled,0.9101649649943365,0.924,0,3,0.0006685400868584319
