run_index,seed,scenario,avg_final_stability,avg_stability_rate,node_failures,node_recoveries,stability_variance
0,42,isolated,0.8892222299794881,0.966,0,3,0.00164368585849714
1,43,isolated,0.8856212511202329,0.9359999999999999,0,4,0.0014225002403760254
2,44,isolated,0.8997499633875468,0.942,0,4,0.0005990144168387042
3,45,isolated,0.907405388576094,0.9179999999999999,0,3,5.712717901814043e-05
4,46,isolated,0.9203592689828224,0.922,0,3,0.0005269174779769275
5,47,isolated,0.8975200497707586,0.9,0,3,0.0021713201433083713
6,48,isolated,0.9162216363276425,0.9460000000000001,0,2,0.0022313262006379815
7,49,isolated,0.9040678191427783,0.9480000000000001,0,1,0.003492849476603744
8,50,isolated,0.9004990716301478,0.942,0,2,0.0030918412367534286
9,51,isolated,0.8890193900564078,0.932,0,3,0.003211120985899787
10,52,isolated,0.8902053303631481,0.9720000000000001,0,2,0.0030431286182288036
11,53,isolated,0.8621323020307393,0.944,0,3,0.0014430442178494087
12,54,isolated,0.8728166872201901,0.944,0,3,0.0019826462796234496
13,55,isolated,0.8925868071401496,0.932,0,3,0.002997351962134096
14,56,isolated,0.8818796102763236,0.9460000000000001,0,2,0.0025937115601679813
15,57,isolated,0.9054136340554833,0.9359999999999999,0,3,0.00282982233301399
16,58,isolated,0.9281572804116879,0.9259999999999999,0,3,0.0016050260931293853
17,59,isolated,0.9318379663264705,0.9400000000000001,0,2,0.0015948978569925436
18,60,isolated,0.9269305570863026,0.978,0,2,0.0014416437877438463
19,61,isolated,0.9486398887164189,0.986,0,1,0.00015673828998286532
