topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.06,0,42,0.0,0.3469387755102041,49,20,4,1,49,4|3|2|2|1|2|4|2|4|3|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.06,1,43,0.0,0.30612244897959184,46,20,5,1,46,3|4|5|1|2|4|2|3|3|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.06,2,44,0.0,0.30612244897959184,47,20,4,1,47,2|4|5|1|2|4|2|4|3|5|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.06,3,45,0.0,0.3469387755102041,46,27,4,1,46,1|3|2|2|1|2|4|2|4|3|5|1|3,network_wide,49
chain,50,0.01,0.02,0.0,0.06,4,46,0.0,0.32653061224489793,49,27,4,1,49,3|5|1|2|4|2|4|3|5|1|3,network_wide,49
chain,50,0.01,0.02,0.0,0.06,5,47,0.0,0.32653061224489793,48,20,5,1,48,3|5|1|2|4|2|3|3|5|1|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.06,6,48,0.0,0.32653061224489793,47,20,4,1,47,3|2|2|1|2|4|2|4|3|5|1|3|2,network_wide,49
chain,50,0.01,0.02,0.0,0.06,7,49,0.0,0.3469387755102041,46,20,4,1,46,2|2|2|1|2|4|2|3|3|5|1|3|3,network_wide,49
chain,50,0.01,0.02,0.0,0.06,8,50,0.0,0.3469387755102041,45,20,4,1,45,1|2|2|1|2|4|2|3|3|5|1|3|4,network_wide,49
chain,50,0.01,0.02,0.0,0.06,9,51,0.0,0.2857142857142857,44,20,5,1,44,5|1|2|4|2|4|3|5|1|3|5,network_wide,49
chain,50,0.01,0.02,0.0,0.06,10,52,0.0,0.2857142857142857,43,20,5,1,43,5|1|2|4|2|4|3|5|1|3|6,network_wide,49
chain,50,0.01,0.02,0.0,0.06,11,53,0.0,0.30612244897959184,42,20,4,1,42,4|1|2|4|2|3|3|5|1|3|7,network_wide,49
chain,50,0.01,0.02,0.0,0.06,12,54,0.0,0.30612244897959184,46,20,5,1,46,2|1|2|4|2|4|3|5|1|3|4|3,network_wide,49
chain,50,0.01,0.02,0.0,0.06,13,55,0.0,0.32653061224489793,45,20,5,1,45,2|1|2|4|2|3|3|5|1|3|4|4,network_wide,49
chain,50,0.01,0.02,0.0,0.06,14,56,0.0,0.30612244897959184,39,20,5,1,39,1|1|2|4|2|3|3|5|1|3|10,network_wide,49
chain,50,0.01,0.02,0.0,0.06,15,57,0.0,0.30612244897959184,43,20,15,1,43,1|2|4|2|3|3|5|1|3|4|6,network_wide,49
chain,50,0.01,0.02,0.0,0.06,16,58,0.0,0.2857142857142857,42,20,15,1,42,1|2|4|2|4|3|5|1|3|4|7,network_wide,49
chain,50,0.01,0.02,0.0,0.06,17,59,0.0,0.2857142857142857,41,20,15,1,41,2|4|2|3|3|5|1|3|4|8,network_wide,49
chain,50,0.01,0.02,0.0,0.06,18,60,0.0,0.2653061224489796,40,20,15,1,40,2|4|2|4|3|5|1|3|4|9,network_wide,49
chain,50,0.01,0.02,0.0,0.06,19,61,0.0,0.2653061224489796,34,20,15,1,34,1|4|2|3|3|5|1|3|15,network_wide,49
chain,50,0.01,0.02,0.0,0.07,0,42,0.0,0.2857142857142857,47,20,4,1,47,4|4|2|2|1|2|4|2|4|9|2,network_wide,49
