topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.06,20,200,49.0,1.0,0.0,7.1,6.4,49,49|46|47|46|49|48|47|46|45|44|43|42|46|45|39|43|42|41|40|34,49|46|47|46|49|48|47|46|45|44|43|42|46|45|39|43|42|41|40|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.07,20,200,49.0,1.0,0.0,7.4,10.05,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.08,20,200,49.0,0.6,0.0,12.3,10.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.09,20,200,49.0,0.35,0.0,21.65,11.45,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.06,20,200,49.0,1.0,0.0,7.0,7.75,49,47|46|49|48|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34,47|46|49|48|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.07,20,200,49.0,1.0,0.0,7.25,10.05,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.08,20,200,49.0,0.85,0.0,7.6,9.4,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.09,20,200,49.0,0.0,0.0,23.05,12.8,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
star,50,0.01,0.02,0.0,0.06,20,200,49.0,1.0,0.0,7.05,8.0,49,47|46|45|48|49|48|47|46|45|44|43|42|41|40|39|38|37|41|35|34,47|46|45|48|49|48|47|46|45|44|43|42|41|40|39|38|37|41|35|34,hub_localized:20,expands_far
star,50,0.01,0.02,0.0,0.07,20,200,49.0,0.95,0.0,7.35,9.8,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,hub_localized:20,expands_far
