topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.075,0,42,0.0,0.24489795918367346,47,19,4,1,47,4|4|5|1|2|4|2|4|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.075,1,43,0.0,0.2653061224489796,46,19,5,1,46,3|3|5|1|2|4|2|4|10|3,network_wide,49
chain,50,0.01,0.02,0.0,0.075,2,44,0.0,0.2653061224489796,45,19,4,1,45,2|3|5|1|2|4|2|4|10|4,network_wide,49
chain,50,0.01,0.02,0.0,0.075,3,45,0.0,0.2653061224489796,44,19,4,1,44,1|3|5|1|2|4|2|4|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.075,4,46,0.0,0.2653061224489796,49,19,4,1,49,3|5|1|2|4|2|4|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.075,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|2|4|2|4|10|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.075,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|2|4|2|4|10|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.075,7,49,0.0,0.24489795918367346,46,19,5,1,46,2|5|1|2|4|2|4|10|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.075,8,50,0.0,0.24489795918367346,45,19,5,1,45,1|5|1|2|4|2|4|10|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.075,9,51,0.0,0.22448979591836735,44,19,5,1,44,5|1|2|4|2|4|10|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.075,10,52,0.0,0.22448979591836735,43,19,6,1,43,5|1|2|4|2|4|10|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.075,11,53,0.0,0.22448979591836735,42,19,5,1,42,4|1|2|4|2|4|10|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.075,12,54,0.0,0.22448979591836735,41,19,6,1,41,3|1|2|4|2|4|10|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.075,13,55,0.0,0.22448979591836735,40,19,5,1,40,2|1|2|4|2|4|10|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.075,14,56,0.0,0.22448979591836735,39,19,5,1,39,1|1|2|4|2|4|10|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.075,15,57,0.0,0.20408163265306123,38,19,16,1,38,1|2|4|2|4|10|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.075,16,58,0.0,0.20408163265306123,37,19,16,1,37,1|2|4|2|4|10|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.075,17,59,0.0,0.1836734693877551,36,19,16,0,36,2|4|2|4|10|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.075,18,60,0.0,0.1836734693877551,35,19,16,0,35,2|4|2|4|10|5|14,network_wide,49
chain,50,0.01,0.02,0.0,0.075,19,61,0.0,0.1836734693877551,34,19,16,0,34,1|4|2|4|10|5|15,network_wide,49
chain,50,0.01,0.02,0.0,0.076,0,42,0.0,0.24489795918367346,47,19,4,1,47,4|4|5|1|7|2|4|1|8|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,1,43,0.0,0.2653061224489796,46,19,5,1,46,3|3|5|1|7|2|4|1|8|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,2,44,0.0,0.2653061224489796,45,19,4,1,45,2|3|5|1|7|2|4|1|8|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,3,45,0.0,0.24489795918367346,44,19,4,1,44,1|4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,4,46,0.0,0.2653061224489796,49,19,4,1,49,3|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|7|2|4|1|8|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|7|2|4|1|8|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,7,49,0.0,0.24489795918367346,46,19,5,1,46,2|5|1|7|2|4|1|8|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,8,50,0.0,0.24489795918367346,45,19,5,1,45,1|5|1|7|2|4|1|8|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,9,51,0.0,0.22448979591836735,44,19,5,1,44,5|1|7|2|4|1|8|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,10,52,0.0,0.22448979591836735,43,19,6,1,43,5|1|7|2|4|1|8|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,11,53,0.0,0.22448979591836735,42,19,5,1,42,4|1|7|2|4|1|8|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,12,54,0.0,0.22448979591836735,41,19,6,1,41,3|1|7|2|4|1|8|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.076,13,55,0.0,0.22448979591836735,40,19,5,1,40,2|1|7|2|4|1|8|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.076,14,56,0.0,0.22448979591836735,39,19,5,1,39,1|1|7|2|4|1|8|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.076,15,57,0.0,0.20408163265306123,38,19,16,1,38,1|7|2|4|1|8|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.076,16,58,0.0,0.20408163265306123,37,19,16,1,37,1|7|2|4|1|8|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.076,17,59,0.0,0.1836734693877551,36,19,16,0,36,7|2|4|1|8|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.076,18,60,0.0,0.1836734693877551,35,19,16,0,35,7|2|4|1|8|5|14,network_wide,49
chain,50,0.01,0.02,0.0,0.076,19,61,0.0,0.1836734693877551,34,19,16,0,34,6|2|4|1|8|5|15,network_wide,49
chain,50,0.01,0.02,0.0,0.078,0,42,0.0,0.22448979591836735,47,19,4,1,47,4|4|5|1|10|4|1|8|2,network_wide,49
chain,50,0.01,0.02,0.0,0.078,1,43,0.0,0.24489795918367346,46,19,5,1,46,3|4|5|1|7|2|4|1|8|3,network_wide,49
chain,50,0.01,0.02,0.0,0.078,2,44,0.0,0.24489795918367346,45,19,4,1,45,2|4|5|1|7|2|4|1|8|4,network_wide,49
chain,50,0.01,0.02,0.0,0.078,3,45,0.0,0.24489795918367346,44,19,4,1,44,1|4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.078,4,46,0.0,0.24489795918367346,49,19,4,1,49,4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.078,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|7|2|4|1|8|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.078,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|7|2|4|1|8|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.078,7,49,0.0,0.22448979591836735,46,19,5,1,46,2|5|1|10|4|1|8|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.078,8,50,0.0,0.24489795918367346,45,19,5,1,45,1|5|1|7|2|4|1|8|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.078,9,51,0.0,0.22448979591836735,44,19,5,1,44,5|1|7|2|4|1|8|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.078,10,52,0.0,0.20408163265306123,43,19,16,1,43,7|7|2|4|1|8|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.078,11,53,0.0,0.22448979591836735,42,19,5,1,42,4|1|7|2|4|1|8|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.078,12,54,0.0,0.22448979591836735,41,19,6,1,41,3|1|7|2|4|1|8|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.078,13,55,0.0,0.22448979591836735,40,19,5,1,40,2|1|7|2|4|1|8|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.078,14,56,0.0,0.22448979591836735,39,19,5,1,39,1|1|7|2|4|1|8|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.078,15,57,0.0,0.20408163265306123,38,19,16,1,38,1|7|2|4|1|8|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.078,16,58,0.0,0.20408163265306123,37,19,16,1,37,1|7|2|4|1|8|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.078,17,59,0.0,0.1836734693877551,36,19,16,0,36,7|2|4|1|8|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.078,18,60,0.0,0.1836734693877551,35,19,16,0,35,7|2|4|1|8|5|14,network_wide,49
chain,50,0.01,0.02,0.0,0.078,19,61,0.0,0.1836734693877551,34,19,16,0,34,6|2|4|1|8|5|15,network_wide,49
chain,50,0.01,0.02,0.0,0.08,0,42,0.0,0.20408163265306123,47,19,4,1,47,4|4|5|1|10|4|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.08,1,43,0.0,0.22448979591836735,46,19,5,1,46,3|4|5|1|7|2|4|10|3,network_wide,49
chain,50,0.01,0.02,0.0,0.08,2,44,0.0,0.22448979591836735,45,19,4,1,45,2|4|5|1|7|2|4|10|4,network_wide,49
chain,50,0.01,0.02,0.0,0.08,3,45,0.0,0.22448979591836735,44,19,4,1,44,1|4|5|1|7|2|4|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.08,4,46,0.0,0.22448979591836735,49,19,5,1,49,4|5|1|7|2|4|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.08,5,47,0.0,0.22448979591836735,48,19,5,1,48,3|5|1|7|2|4|10|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.08,6,48,0.0,0.22448979591836735,47,19,4,1,47,3|5|1|7|2|4|10|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.08,7,49,0.0,0.20408163265306123,46,19,5,1,46,2|5|1|10|4|10|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.08,8,50,0.0,0.20408163265306123,45,19,5,1,45,1|5|1|10|4|10|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.08,9,51,0.0,0.20408163265306123,44,19,5,1,44,5|1|7|2|4|10|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.08,10,52,0.0,0.1836734693877551,43,19,16,0,43,7|7|2|4|10|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.08,11,53,0.0,0.1836734693877551,42,19,5,0,42,4|1|10|4|10|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.08,12,54,0.0,0.1836734693877551,41,19,6,0,41,3|1|10|4|10|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.08,13,55,0.0,0.20408163265306123,40,19,6,1,40,2|1|7|2|4|10|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.08,14,56,0.0,0.20408163265306123,39,19,5,1,39,1|1|7|2|4|10|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.08,15,57,0.0,0.1836734693877551,38,19,16,0,38,1|7|2|4|10|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.08,16,58,0.0,0.1836734693877551,37,19,16,0,37,1|7|2|4|10|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.08,17,59,0.0,0.14285714285714285,36,19,57,0,36,10|4|10|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.08,18,60,0.0,0.14285714285714285,35,19,57,0,35,10|4|10|5|14,network_wide,49
