topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.075,20,200,49.0,0.85,0.0,7.6,10.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.076,20,200,49.0,0.85,0.0,7.6,9.4,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.078,20,200,49.0,0.85,0.0,8.1,9.6,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.08,20,200,49.0,0.6,0.0,12.3,10.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.082,20,200,49.0,0.55,0.0,13.4,10.85,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.084,20,200,49.0,0.25,0.0,14.5,11.65,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.085,20,200,49.0,0.1,0.0,16.95,12.0,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.075,20,200,49.0,0.85,0.0,7.4,10.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.076,20,200,49.0,0.85,0.0,7.45,10.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.078,20,200,49.0,0.95,0.0,7.6,9.4,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
