topology,chain_length,k_D,k_C,k_T,activation_threshold,propagation_exponent,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,0,42,0.0,0.22448979591836735,47,20,4,1,47,3|4|5|1|2|4|2|4|1|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,1,43,0.0,0.24489795918367346,46,20,5,1,46,2|3|5|1|2|4|2|4|1|10|3,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,2,44,0.0,0.24489795918367346,45,20,4,1,45,2|3|5|1|2|4|2|4|1|10|4,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,3,45,0.0,0.24489795918367346,44,20,4,1,44,1|3|5|1|2|4|2|4|1|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,4,46,0.0,0.24489795918367346,49,26,4,1,49,3|5|1|2|4|2|4|1|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,5,47,0.0,0.22448979591836735,48,20,5,1,48,3|5|1|2|4|2|4|1|10|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,6,48,0.0,0.22448979591836735,47,20,4,1,47,3|5|1|2|4|2|4|1|10|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,7,49,0.0,0.22448979591836735,46,20,5,1,46,1|5|1|2|4|2|4|1|10|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,8,50,0.0,0.22448979591836735,45,20,5,1,45,1|5|1|2|4|2|4|1|10|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,9,51,0.0,0.20408163265306123,44,20,5,1,44,5|1|2|4|2|4|1|10|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,10,52,0.0,0.20408163265306123,43,20,6,1,43,4|1|2|4|2|4|1|10|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,11,53,0.0,0.20408163265306123,42,20,5,1,42,3|1|2|4|2|4|1|10|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,12,54,0.0,0.20408163265306123,41,20,5,1,41,3|1|2|4|2|4|1|10|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,13,55,0.0,0.20408163265306123,40,20,5,1,40,1|1|2|4|2|4|1|10|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,14,56,0.0,0.20408163265306123,39,20,5,1,39,1|1|2|4|2|4|1|10|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,15,57,0.0,0.1836734693877551,38,20,15,0,38,1|2|4|2|4|1|10|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,16,58,0.0,0.1836734693877551,37,20,15,0,37,1|2|4|2|4|1|10|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,17,59,0.0,0.16326530612244897,36,20,16,0,36,2|4|2|4|1|10|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,18,60,0.0,0.16326530612244897,35,20,16,0,35,2|4|2|4|1|10|5|14,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,19,61,0.0,0.16326530612244897,34,20,15,0,34,1|4|2|4|1|10|5|15,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,20,62,0.0,0.14285714285714285,33,20,16,0,33,4|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,21,63,0.0,0.16326530612244897,49,20,15,0,49,4|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,22,64,0.0,0.1836734693877551,49,20,1,0,49,3|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,23,65,0.0,0.1836734693877551,48,20,3,0,48,2|2|4|1|10|5|16|1,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,24,66,0.0,0.1836734693877551,47,20,3,0,47,1|2|4|1|10|5|16|2,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,25,67,0.0,0.16326530612244897,46,20,1,0,46,2|4|1|10|5|16|3,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,26,68,0.0,0.16326530612244897,45,20,1,0,45,1|4|1|10|5|16|4,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,27,69,0.0,0.16326530612244897,44,20,1,0,44,1|4|1|10|5|16|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,28,70,0.0,0.16326530612244897,49,20,1,0,49,4|1|10|5|16|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,29,71,0.0,0.1836734693877551,49,20,3,0,49,3|1|10|5|16|5,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,30,72,0.0,0.1836734693877551,48,20,1,0,48,2|1|10|5|16|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,31,73,0.0,0.1836734693877551,47,20,3,0,47,2|1|10|5|16|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,32,74,0.0,0.16326530612244897,46,20,1,0,46,1|10|5|16|6|3,network_wide,49
chain,50,0.01,0.02,0.0,0.25,2.0,0.06,33,75,0.0,0.16326530612244897,45,20,1,0,45,1|10|5|16|5|4,network_wide,49
