topology,node_count,k_D,k_C,k_T,activation_threshold,propagation_exponent,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.2,3.0,0.06,50,200,49.0,0.46,0.0,4.58,13.62,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,network_wide:50,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.062,50,200,49.0,0.46,0.0,4.62,13.64,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,network_wide:50,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.064,50,200,49.0,0.3,0.0,4.68,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.066,50,200,49.0,0.3,0.0,4.68,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.068,50,200,49.0,0.3,0.0,6.1,14.34,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:14|network_wide:36,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.07,50,200,49.0,0.18,0.0,8.2,14.62,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:6|network_wide:44,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.072,50,200,49.0,0.0,0.0,8.66,14.62,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:8|network_wide:42,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.074,50,200,49.0,0.0,0.0,9.72,14.62,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:8|network_wide:42,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.076,50,200,49.0,0.0,0.0,14.22,15.18,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:10|network_wide:40,expands_far
chain,50,0.01,0.03,0.0,0.2,3.0,0.06,50,200,49.0,0.46,0.0,4.58,13.62,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,network_wide:50,expands_far
