topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.05,20,200,49.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.1,20,200,49.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.05,20,200,49.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.1,20,200,49.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
star,50,0.01,0.02,0.0,0.05,20,200,49.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
star,50,0.01,0.02,0.0,0.1,20,200,49.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
star,50,0.01,0.03,0.0,0.05,20,200,49.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
star,50,0.01,0.03,0.0,0.1,20,200,49.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
random-sparse,50,0.01,0.02,0.0,0.05,20,200,117.9,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
random-sparse,50,0.01,0.02,0.0,0.1,20,200,117.9,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
random-sparse,50,0.01,0.03,0.0,0.05,20,200,117.9,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
random-sparse,50,0.01,0.03,0.0,0.1,20,200,117.9,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,network_wide:20,expands_far
fully-connected,50,0.01,0.02,0.0,0.05,20,200,1225.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
fully-connected,50,0.01,0.02,0.0,0.1,20,200,1225.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
fully-connected,50,0.01,0.03,0.0,0.05,20,200,1225.0,1.0,1.0,0.65,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
fully-connected,50,0.01,0.03,0.0,0.1,20,200,1225.0,1.0,1.0,0.0,0.0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49|49,hub_localized:20,expands_far
