topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.076,0,42,0.0,0.24489795918367346,47,19,4,1,47,3|4|5|1|7|2|4|1|8|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,1,43,0.0,0.2653061224489796,46,19,5,1,46,2|3|5|1|7|2|4|1|8|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,2,44,0.0,0.2653061224489796,45,19,4,1,45,2|3|5|1|7|2|4|1|8|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,3,45,0.0,0.24489795918367346,44,19,4,1,44,1|4|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,4,46,0.0,0.2653061224489796,49,19,4,1,49,3|5|1|7|2|4|1|8|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|7|2|4|1|8|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|7|2|4|1|8|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,7,49,0.0,0.24489795918367346,46,19,5,1,46,1|5|1|7|2|4|1|8|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,8,50,0.0,0.24489795918367346,45,19,5,1,45,1|5|1|7|2|4|1|8|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,9,51,0.0,0.22448979591836735,44,19,5,1,44,5|1|7|2|4|1|8|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,10,52,0.0,0.22448979591836735,43,19,6,1,43,4|1|7|2|4|1|8|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,11,53,0.0,0.22448979591836735,42,19,5,1,42,3|1|7|2|4|1|8|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,12,54,0.0,0.22448979591836735,41,19,6,1,41,3|1|7|2|4|1|8|5|8,network_wide,49
chain,50,0.01,0.02,0.0,0.076,13,55,0.0,0.22448979591836735,40,19,5,1,40,1|1|7|2|4|1|8|5|9,network_wide,49
chain,50,0.01,0.02,0.0,0.076,14,56,0.0,0.22448979591836735,39,19,5,1,39,1|1|7|2|4|1|8|5|10,network_wide,49
chain,50,0.01,0.02,0.0,0.076,15,57,0.0,0.20408163265306123,38,19,16,1,38,1|7|2|4|1|8|5|11,network_wide,49
chain,50,0.01,0.02,0.0,0.076,16,58,0.0,0.20408163265306123,37,19,16,1,37,1|7|2|4|1|8|5|12,network_wide,49
chain,50,0.01,0.02,0.0,0.076,17,59,0.0,0.1836734693877551,36,19,16,0,36,7|2|4|1|8|5|13,network_wide,49
chain,50,0.01,0.02,0.0,0.076,18,60,0.0,0.1836734693877551,35,19,16,0,35,7|2|4|1|8|5|14,network_wide,49
chain,50,0.01,0.02,0.0,0.076,19,61,0.0,0.1836734693877551,34,19,16,0,34,6|2|4|1|8|5|15,network_wide,49
chain,50,0.01,0.02,0.0,0.076,20,62,0.0,0.1836734693877551,33,19,16,0,33,5|2|4|1|8|5|16,network_wide,49
chain,50,0.01,0.02,0.0,0.076,21,63,0.0,0.1836734693877551,32,19,16,0,32,4|2|4|1|8|5|17,network_wide,49
chain,50,0.01,0.02,0.0,0.076,22,64,0.0,0.20408163265306123,49,19,1,1,49,3|2|4|1|8|5|17,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,23,65,0.0,0.20408163265306123,48,19,3,1,48,2|2|4|1|8|5|17|1,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,24,66,0.0,0.20408163265306123,47,19,3,1,47,1|2|4|1|8|5|17|2,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,25,67,0.0,0.1836734693877551,46,19,1,0,46,2|4|1|8|5|17|3,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,26,68,0.0,0.1836734693877551,45,19,1,0,45,1|4|1|8|5|17|4,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,27,69,0.0,0.1836734693877551,44,19,1,0,44,1|4|1|8|5|17|5,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,28,70,0.0,0.16326530612244897,43,19,1,0,43,4|1|8|5|17|6,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,29,71,0.0,0.1836734693877551,48,19,3,0,48,3|1|8|5|17|5|1,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,30,72,0.0,0.20408163265306123,48,19,1,1,48,2|1|8|5|17|5|1,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,31,73,0.0,0.20408163265306123,47,19,3,1,47,2|1|8|5|17|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,32,74,0.0,0.1836734693877551,46,19,1,0,46,1|8|5|17|6|3,core_weighted,49
chain,50,0.01,0.02,0.0,0.076,33,75,0.0,0.1836734693877551,45,19,1,0,45,1|8|5|17|5|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,34,76,0.0,0.16326530612244897,44,19,1,0,44,1|8|5|17|5|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,35,77,0.0,0.14285714285714285,43,19,1,0,43,1|8|5|17|5|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,36,78,0.0,0.12244897959183673,42,19,1,0,42,9|5|17|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,37,79,0.0,0.14285714285714285,49,19,1,0,49,9|5|17|5|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,38,80,0.0,0.14285714285714285,48,19,28,0,48,7|5|17|5|7|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,39,81,0.0,0.14285714285714285,47,19,1,0,47,6|5|17|5|7|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,40,82,0.0,0.14285714285714285,46,19,3,0,46,5|5|17|5|7|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,41,83,0.0,0.14285714285714285,45,19,1,0,45,5|5|17|5|7|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,42,84,0.0,0.14285714285714285,44,19,3,0,44,3|5|17|5|7|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,43,85,0.0,0.14285714285714285,43,19,1,0,43,2|5|17|5|7|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,44,86,0.0,0.14285714285714285,42,19,3,0,42,2|5|17|5|7|7,network_wide,49
chain,50,0.01,0.02,0.0,0.076,45,87,0.0,0.14285714285714285,41,19,1,0,41,5|17|5|7|8,network_wide,49
chain,50,0.01,0.02,0.0,0.076,46,88,0.0,0.12244897959183673,40,8,4,0,40,5|17|5|7|9,network_wide,49
chain,50,0.01,0.02,0.0,0.076,47,89,0.0,0.10204081632653061,39,8,3,0,39,5|17|5|7|10,network_wide,49
chain,50,0.01,0.02,0.0,0.076,48,90,0.0,0.12244897959183673,49,8,1,0,49,4|17|5|7|10,network_wide,49
chain,50,0.01,0.02,0.0,0.076,49,91,0.0,0.12244897959183673,48,8,1,0,48,3|17|5|7|10|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,50,92,0.0,0.12244897959183673,47,8,1,0,47,2|17|5|7|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,51,93,0.0,0.14285714285714285,49,9,1,0,49,2|17|5|7|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,52,94,0.0,0.14285714285714285,48,8,1,0,48,1|17|5|7|10|2|1,network_wide,49
chain,50,0.01,0.02,0.0,0.076,53,95,0.0,0.12244897959183673,47,8,4,0,47,17|5|7|10|2|2,network_wide,49
chain,50,0.01,0.02,0.0,0.076,54,96,0.0,0.12244897959183673,46,8,1,0,46,16|5|7|10|2|3,network_wide,49
chain,50,0.01,0.02,0.0,0.076,55,97,0.0,0.12244897959183673,45,8,1,0,45,15|5|7|10|2|4,network_wide,49
chain,50,0.01,0.02,0.0,0.076,56,98,0.0,0.12244897959183673,44,8,1,0,44,15|5|7|10|2|5,network_wide,49
chain,50,0.01,0.02,0.0,0.076,57,99,0.0,0.12244897959183673,43,8,4,0,43,14|5|7|10|2|6,network_wide,49
chain,50,0.01,0.02,0.0,0.076,58,100,0.0,0.14285714285714285,49,12,1,0,49,13|5|7|10|2|6,network_wide,49
