topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.076,100,200,49.0,0.36,0.0,6.6,12.65,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:10|network_wide:90,expands_far
chain,50,0.01,0.02,0.0,0.077,100,200,49.0,0.31,0.0,7.07,13.11,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:23|network_wide:77,expands_far
chain,50,0.01,0.02,0.0,0.078,100,200,49.0,0.31,0.0,7.19,13.27,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:23|network_wide:77,expands_far
chain,50,0.01,0.02,0.0,0.079,100,200,49.0,0.23,0.0,7.22,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|49|46|47|46|49|48|49|48|47|49|48,core_weighted:20|network_wide:80,expands_far
chain,50,0.01,0.02,0.0,0.08,100,200,49.0,0.2,0.0,8.59,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|49|48|47|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|49|48,core_weighted:18|network_wide:82,expands_far
chain,50,0.01,0.02,0.0,0.081,100,200,49.0,0.16,0.0,8.81,13.5,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,core_weighted:17|network_wide:83,expands_far
chain,50,0.01,0.02,0.0,0.082,100,200,49.0,0.15,0.0,9.22,13.52,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|45|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,core_weighted:17|network_wide:83,expands_far
chain,50,0.01,0.02,0.0,0.083,100,200,49.0,0.07,0.0,9.26,13.74,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|42|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|47|42|45|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|48,core_weighted:18|network_wide:82,expands_far
chain,50,0.01,0.02,0.0,0.084,100,200,49.0,0.07,0.0,9.68,13.74,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|47|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|47|48|47|46|45,core_weighted:18|network_wide:82,expands_far
chain,50,0.01,0.02,0.0,0.085,100,200,49.0,0.03,0.0,10.18,13.74,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|46|45|44|43,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|46|45|44|43,core_weighted:17|network_wide:83,expands_far
