topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.05,0,42,0.0,0.3469387755102041,47,11,4,1,47,4|3|2|2|1|2|4|1|4|3|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.05,1,43,0.0,0.32653061224489793,46,11,4,1,46,3|4|5|1|2|4|1|3|3|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.05,2,44,0.0,0.32653061224489793,49,11,4,1,49,2|4|5|1|2|4|1|4|3|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.05,3,45,0.0,0.32653061224489793,48,11,4,1,48,1|4|5|1|2|4|1|4|3|5|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.05,4,46,0.0,0.3469387755102041,49,28,4,1,49,3|5|1|2|4|1|4|3|5|3|1,network_wide,49
chain,50,0.01,0.02,0.0,0.05,5,47,0.0,0.32653061224489793,48,11,4,1,48,3|5|1|2|4|1|4|3|5|3|1|1,network_wide,49
chain,50,0.01,0.02,0.0,0.05,6,48,0.0,0.32653061224489793,47,11,4,1,47,3|5|1|2|4|1|4|3|5|3|1|2,network_wide,49
chain,50,0.01,0.02,0.0,0.05,7,49,0.0,0.3673469387755102,46,11,4,1,46,2|2|2|1|2|4|1|3|3|5|3|1|3,network_wide,49
chain,50,0.01,0.02,0.0,0.05,8,50,0.0,0.3469387755102041,45,11,4,1,45,1|2|2|1|2|4|1|4|3|5|3|1|4,network_wide,49
chain,50,0.01,0.02,0.0,0.05,9,51,0.0,0.30612244897959184,44,11,5,1,44,5|1|2|4|1|4|3|5|3|1|5,network_wide,49
chain,50,0.01,0.02,0.0,0.05,10,52,0.0,0.32653061224489793,48,11,5,1,48,5|1|2|4|1|4|3|5|3|1|4|1,network_wide,49
