topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.05,20,200,49.0,1.0,0.0,6.9,5.75,49,47|46|49|48|49|48|47|46|45|44|48|47|46|45|44|43|42|41|40|39,47|46|49|48|49|48|47|46|45|44|48|47|46|45|44|43|42|41|40|39,network_wide:20,expands_far
chain,50,0.01,0.02,0.0,0.1,20,200,49.0,0.0,0.0,50.75,13.6,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.05,20,200,49.0,1.0,0.0,6.8,5.7,49,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|49|40|39,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|49|40|39,network_wide:20,expands_far
chain,50,0.01,0.03,0.0,0.1,20,200,49.0,0.0,0.0,48.7,13.25,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
star,50,0.01,0.02,0.0,0.05,20,200,49.0,1.0,0.0,6.9,6.3,49,47|48|49|48|49|48|47|46|45|44|43|47|41|45|44|43|42|41|48|39,47|48|49|48|49|48|47|46|45|44|43|47|41|45|44|43|42|41|48|39,hub_localized:20,expands_far
star,50,0.01,0.02,0.0,0.1,20,200,49.0,0.0,0.0,48.7,13.75,49,46|45|45|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|45|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,hub_localized:20,expands_far
star,50,0.01,0.03,0.0,0.05,20,200,49.0,1.0,0.0,6.85,6.0,49,49|48|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|48|47,49|48|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|48|47,hub_localized:20,expands_far
star,50,0.01,0.03,0.0,0.1,20,200,49.0,0.0,0.0,41.05,13.05,49,46|45|45|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|45|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,hub_localized:20,expands_far
random-sparse,50,0.01,0.02,0.0,0.05,20,200,117.9,1.0,0.0,6.95,5.45,49,49|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|48|47,49|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|48|47,network_wide:20,expands_far
random-sparse,50,0.01,0.02,0.0,0.1,20,200,117.9,0.0,0.0,50.75,13.55,49,46|45|44|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|44|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
random-sparse,50,0.01,0.03,0.0,0.05,20,200,117.9,1.0,0.0,6.8,5.7,49,49|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|49|48,49|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|49|48,network_wide:20,expands_far
random-sparse,50,0.01,0.03,0.0,0.1,20,200,117.9,0.0,0.0,48.65,13.75,49,46|45|44|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|44|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,network_wide:20,expands_far
fully-connected,50,0.01,0.02,0.0,0.05,20,200,1225.0,1.0,0.0,6.95,5.45,49,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|49|49|48,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|49|49|48,hub_localized:20,expands_far
fully-connected,50,0.01,0.02,0.0,0.1,20,200,1225.0,0.0,0.0,48.8,13.25,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,hub_localized:20,expands_far
fully-connected,50,0.01,0.03,0.0,0.05,20,200,1225.0,1.0,0.0,6.8,5.8,49,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|49|39,47|46|49|48|49|48|47|46|45|49|48|47|46|45|44|43|42|41|49|39,hub_localized:20,expands_far
fully-connected,50,0.01,0.03,0.0,0.1,20,200,1225.0,0.0,0.0,48.7,13.25,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34,hub_localized:20,expands_far
