topology,node_count,k_D,k_C,k_T,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.02,0.02,0.02,20,200,49.0,1.0,0.03,4.45,2.3,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
chain,50,0.02,0.03,0.02,20,200,49.0,1.0,0.072,4.45,2.35,49,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
chain,50,0.02,0.05,0.02,20,200,49.0,1.0,0.11399999999999999,4.45,1.1,49,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|49|49|49|48,49|48|49|49|49|48|47|48|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
star,50,0.02,0.02,0.02,20,200,49.0,1.0,0.020999999999999998,4.45,3.4,49,49|48|49|48|49|48|47|46|49|49|48|47|48|45|46|49|49|49|49|48,49|48|49|48|49|48|47|46|49|49|48|47|48|45|46|49|49|49|49|48,hub_localized:20,expands_far
star,50,0.02,0.03,0.02,20,200,49.0,1.0,0.020999999999999998,4.45,3.15,49,49|48|49|48|49|48|47|46|49|49|48|49|48|45|46|49|49|49|49|48,49|48|49|48|49|48|47|46|49|49|48|49|48|45|46|49|49|49|49|48,hub_localized:20,expands_far
star,50,0.02,0.05,0.02,20,200,49.0,1.0,0.025,4.45,3.25,49,49|48|49|49|49|48|47|46|49|49|48|49|48|45|46|49|48|49|49|48,49|48|49|49|49|48|47|46|49|49|48|49|48|45|46|49|48|49|49|48,hub_localized:20,expands_far
random-sparse,50,0.02,0.02,0.02,20,200,117.9,1.0,0.072,4.4,1.85,49,49|49|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,49|49|49|49|49|48|47|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
random-sparse,50,0.02,0.03,0.02,20,200,117.9,1.0,0.08,4.4,1.55,49,49|49|49|49|49|48|49|46|49|49|48|49|49|49|49|49|49|49|49|48,49|49|49|49|49|48|49|46|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
random-sparse,50,0.02,0.05,0.02,20,200,117.9,1.0,0.101,4.35,1.4,49,49|49|49|49|49|48|49|48|49|49|48|49|49|49|49|49|49|49|49|48,49|49|49|49|49|48|49|48|49|49|48|49|49|49|49|49|49|49|49|48,network_wide:20,expands_far
fully-connected,50,0.02,0.02,0.02,20,200,1225.0,1.0,0.312,3.25,8.75,49,42|49|49|48|47|46|45|44|46|45|41|40|39|38|37|36|38|41|49|48,42|49|49|48|47|46|45|44|46|45|41|40|39|38|37|36|38|41|49|48,hub_localized:20,expands_far
fully-connected,50,0.02,0.03,0.02,20,200,1225.0,1.0,0.314,3.25,8.7,49,42|49|49|48|47|46|45|44|46|45|41|40|39|38|37|36|38|41|49|48,42|49|49|48|47|46|45|44|46|45|41|40|39|38|37|36|38|41|49|48,hub_localized:20,expands_far
fully-connected,50,0.02,0.05,0.02,20,200,1225.0,1.0,0.32,3.25,8.55,49,42|49|49|48|47|46|45|44|47|45|41|40|39|38|37|36|38|41|49|48,42|49|49|48|47|46|45|44|47|45|41|40|39|38|37|36|38|41|49|48,hub_localized:20,expands_far
