disturbance_level,coupling_delay,trust_coupling,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
0.2,0,0.0,0,42,0.974541903977092,0.5910206552201372,1.0,0.11,0,1,0,0,0.787443682127569,0.33433870045296465,1,1,-0.5264414524266544,0.32030893916495445,0
0.2,0,0.0,1,43,0.8557209559475851,0.5476120033668981,0.98,0.1,0,1,1,0,0.6130998984419838,0.27922370901887983,1,1,0.23633586338295828,0.31496255115031874,1
0.2,0,0.0,2,44,0.8976935433300932,0.6118705125959513,1.0,0.2,0,1,0,0,0.7335951987487106,0.3808795530130106,1,1,0.5232745948705928,0.31117161225211065,0
0.2,0,0.0,3,45,0.984087777186308,0.7462761940135764,1.0,0.14,0,1,0,0,0.8265889622425506,0.5606748921371902,1,1,0.5166266296175178,0.3161841979499421,0
0.2,0,0.0,4,46,0.9505516009193555,0.5157240809324648,0.97,0.1,0,1,1,0,0.7986180773188813,0.2588752105523124,1,1,0.3459085437421716,0.2787614507702694,1
0.2,0,0.0,5,47,0.9331039117539649,0.49556913546387255,1.0,0.11,0,1,0,0,0.7631611723035854,0.20547903896305414,1,1,-0.23795576388806117,0.33212651674444954,0
0.2,0,0.0,6,48,0.925921406670708,0.66521645824972,1.0,0.11,0,1,0,0,0.7663598839441037,0.44484096492879377,1,1,0.6096492622009109,0.3720639078385816,0
0.2,0,0.0,7,49,0.9440540401085222,0.5389864694769687,1.0,0.09,0,1,0,0,0.7727364319899784,0.27640446121125306,1,1,0.2788845560555201,0.2968776554765794,0
0.2,0,0.0,8,50,0.9645686657182956,0.3637191682026202,1.0,0.11,0,1,0,0,0.8291559531314809,0.030747208373894094,1,1,0.5434694026760325,0.3847284388100343,0
0.2,0,0.0,9,51,0.8449638194183234,0.42224555192763785,0.87,0.08,0,1,1,0,0.7225705404772789,0.077528173986791,1,1,0.6687816197641596,0.37218041689104536,1
0.2,0,0.0,10,52,0.9990031593611636,0.5558541255446041,1.0,0.2,0,1,0,1,0.8613253406350148,0.30009463408391357,1,1,0.13170486927496508,0.3050052665645964,0
0.2,0,0.0,11,53,0.9259541633265124,0.7278277585317773,1.0,0.18,0,1,0,0,0.7739365365742283,0.5504707634108226,1,1,0.07642978731785852,0.29669484254480827,0
0.2,0,0.0,12,54,0.8842747512469324,0.7286736445638757,1.0,0.33,0,1,0,1,0.6960499919837301,0.5263182445727456,1,1,0.11397304065551557,0.21569912509041214,0
0.2,0,0.0,13,55,0.9494931020413371,0.7208654071727343,1.0,0.17,0,1,0,1,0.7922165010914738,0.5475079856447636,1,1,0.33438499067067595,0.2137361655605119,0
0.2,0,0.0,14,56,0.8857530523635592,0.5653027387705825,1.0,0.08,0,1,0,0,0.7265368563187479,0.2747202248313265,1,1,-0.040121497213028594,0.3049390086492975,0
0.2,0,0.0,15,57,0.883479528897924,0.6842789458472468,1.0,0.2,0,1,0,1,0.7687100695088052,0.47247153212984844,1,1,-0.10550064319683385,0.20981267365707368,0
0.2,0,0.0,16,58,0.994136235657904,0.5962259950759526,1.0,0.14,0,1,0,0,0.8382454258093271,0.3830293819411051,1,1,0.3538225575925046,0.3807806575475398,0
0.2,0,0.0,17,59,0.9988369359678121,0.646874056379814,1.0,0.06,0,1,0,0,0.8973221049630669,0.4461978248505888,1,1,0.07182113090698368,0.28949529654792233,0
0.2,0,0.0,18,60,0.826601171798225,0.34840032467416016,1.0,0.23,0,1,0,0,0.677054545241432,0.0,1,1,0.37626297075728343,0.31855352713760615,0
0.2,0,0.0,19,61,0.9974398784213062,0.6119556280539901,1.0,0.18,0,1,0,0,0.8553981224192064,0.37951290362274204,1,1,0.4523820912896022,0.3348661805837592,0
0.2,0,0.01,0,42,0.9908539620340728,0.6793146536115765,1.0,0.13,0,1,0,0,0.8724436477417634,0.47915102089202805,1,1,-0.815178606015327,0.26779685397849096,0
0.2,0,0.01,1,43,0.9079698331522876,0.6385662339375245,1.0,0.11,0,1,0,0,0.6835987867894204,0.42638302553870305,1,1,0.20361723078766936,0.2626219748563863,0
0.2,0,0.01,2,44,0.9161926639637543,0.6932519319215155,1.0,0.21,0,1,0,0,0.7620058448425223,0.5139845706890875,1,1,0.4900531879570823,0.26914901920668444,0
0.2,0,0.01,3,45,0.9967340043524238,0.824668649552496,1.0,0.31,0,0,0,1,0.9067256593950734,0.6791173749040412,1,0,0.35534600618843637,0.2729770285938801,0
0.2,0,0.01,4,46,0.963569438832039,0.6026009216793193,1.0,0.23,0,1,0,1,0.8123865348528766,0.4013287243866932,1,1,0.30691647785118287,0.22543443708143168,0
0.2,0,0.01,5,47,0.9617474114974038,0.5731837693047281,1.0,0.12,0,1,0,0,0.7913375853351153,0.333804880073552,1,1,-0.20361592643828866,0.2840444825288162,0
0.2,0,0.01,6,48,0.9552672433390316,0.740074341640947,1.0,0.12,0,1,0,0,0.795636495524629,0.5699765093709186,1,1,0.6701224505277674,0.3438727844115597,0
0.2,0,0.01,7,49,0.9599049278144435,0.6224470344785303,1.0,0.29,0,1,0,1,0.7982040932201906,0.41366871793678084,1,1,0.36346854500033715,0.24968895403349617,0
0.2,0,0.01,8,50,0.9659726415651382,0.38855037768533535,1.0,0.14,0,1,0,0,0.8327552827496213,0.08945195620355728,1,1,0.6331481791731823,0.35192041633503984,0
0.2,0,0.01,9,51,0.8580703619230681,0.49213775562579054,0.89,0.1,0,1,1,0,0.735616163800582,0.1906470618088801,1,1,0.7338260485294303,0.3435990225548718,1
0.2,0,0.01,10,52,0.9995956525910278,0.6383810400056138,1.0,0.32,0,1,0,1,0.9184097677988076,0.4383672717427937,1,1,0.124510654238968,0.25965159714311686,0
0.2,0,0.01,11,53,0.9524027847854368,0.8162850450509068,1.0,0.25,0,0,0,1,0.8032288942419944,0.6882729994119766,1,0,-0.1227881480320184,0.24865104390628862,0
0.2,0,0.01,12,54,0.9381375509597423,0.810495899702187,1.0,0.52,0,0,0,1,0.7660051350483791,0.6488469309851512,1,0,0.065509381522003,0.17688817729024067,0
0.2,0,0.01,13,55,0.9890588555320322,0.8031334710836177,1.0,0.41,0,0,0,1,0.8436033360186699,0.6831244726567754,1,0,0.20211297316945132,0.1684131621727206,0
0.2,0,0.01,14,56,0.9182342357298073,0.6575257747085264,1.0,0.1,0,1,0,0,0.750095254122243,0.42022719941684933,1,1,0.06928744377626514,0.2562267206219185,0
0.2,0,0.01,15,57,0.9028891358769847,0.7516050037003337,1.0,0.42,0,1,0,1,0.7903790822250362,0.586673209707036,1,1,-0.08789055325174228,0.16639795535623977,0
0.2,0,0.01,16,58,0.9986433964899714,0.675826542383041,1.0,0.15,0,1,0,0,0.8858549189380875,0.5189474398573426,1,1,0.29510833299747,0.3286834013823675,0
0.2,0,0.01,17,59,0.9993765298065415,0.7352732730493237,1.0,0.07,0,1,0,0,0.9655792862122619,0.5940551311010542,1,1,0.04550911435059202,0.2377518115013399,0
0.2,0,0.01,18,60,0.8357200399927212,0.4023272332401347,1.0,0.26,0,1,0,0,0.6847671429589807,0.06731023099570117,1,1,0.49779496447199406,0.27731240467624696,0
0.2,0,0.01,19,61,0.9987601513448923,0.6932747431964292,1.0,0.2,0,1,0,0,0.9207529520947173,0.5164201124106803,1,1,0.3300514456077169,0.2944681960448358,0
0.2,0,0.02,0,42,0.9999999999999948,0.793995057209997,1.0,0.49,0,1,0,1,0.96021144670928,0.6584483484392212,1,1,-0.7334580123912572,0.18904631472560626,0
0.2,0,0.02,1,43,0.9472933768371286,0.7334080938702952,1.0,0.38,0,1,0,1,0.7951118079664619,0.5844541819161879,1,1,0.16101040396077684,0.20875740705221155,0
0.2,0,0.02,2,44,0.9514727194673765,0.7884286829610843,1.0,0.23,0,1,0,0,0.8162951337133832,0.6662743881115971,1,1,0.23911927157917465,0.21669225518496205,0
0.2,0,0.02,3,45,0.9993058521864023,0.9036156824728502,1.0,0.41,0,0,0,1,1.0,0.7954132783775959,1,0,-0.1978787646445969,0.21878930083303985,0
0.2,0,0.02,4,46,0.9982074885671132,0.6974630831281068,1.0,0.61,0,1,0,1,0.8900004007004061,0.5580058642280215,1,1,0.16597381086208568,0.1719534890571633,0
0.2,0,0.02,5,47,0.9998727523572728,0.6681223761660591,1.0,0.13,0,1,0,0,0.907745996392667,0.492674402233816,1,1,-0.18310935340685572,0.2347171401202528,0
0.2,0,0.02,6,48,0.9999274886003848,0.825199308007467,1.0,0.24,0,0,0,1,0.9321400279749964,0.704685749759408,1,0,0.726223357295368,0.2993970532916984,0
0.2,0,0.02,7,49,0.9997626871329668,0.7178666435464384,1.0,0.44,0,1,0,0,0.9010848717898833,0.5703148534839552,1,1,0.1723487083047125,0.20889204030195,0
0.2,0,0.02,8,50,0.9690153065399105,0.4161881785973527,1.0,0.25,0,1,0,0,0.8409353400402727,0.15228292261285958,1,1,0.6843241093519917,0.31304958219466295,0
0.2,0,0.02,9,51,0.8848536425759961,0.5714055319797879,0.91,0.11,0,1,1,0,0.7579876277689442,0.31825874488712336,1,1,0.786212792658466,0.31476015293107695,1
0.2,0,0.02,10,52,0.999999969225144,0.7388921683634568,1.0,0.46,0,1,0,0,0.9946050144362113,0.6046429939470179,1,1,-0.3152963781144777,0.20213284649649768,0
