run_index,seed,survived_500_year_mark,final_governance_stability,final_human_control_index,minimum_human_control_index,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,True,0.831,1.0,1.0,0.0,proposal_quota,1,0,0
2,43,True,0.822,1.0,1.0,0.0,proposal_quota,1,0,0
3,44,True,0.793,1.0,1.0,0.0,proposal_quota,1,0,0
4,45,True,0.801,1.0,1.0,0.0,proposal_quota,1,0,0
5,46,True,0.806,1.0,1.0,0.0,proposal_quota,1,0,0
6,47,True,0.91,1.0,1.0,0.0,proposal_quota,1,0,0
7,48,True,0.811,1.0,1.0,0.0,proposal_quota,1,0,0
8,49,True,0.774,1.0,1.0,0.0,proposal_quota,1,0,0
9,50,True,0.863,1.0,1.0,0.0,proposal_quota,1,0,0
10,51,True,0.837,1.0,1.0,0.0,proposal_quota,1,0,0
11,52,True,0.896,1.0,1.0,0.0,proposal_quota,1,0,0
12,53,True,0.797,1.0,1.0,0.0,proposal_quota,1,0,0
13,54,True,0.823,1.0,1.0,0.0,proposal_quota,1,0,0
14,55,True,0.83,1.0,1.0,0.0,proposal_quota,1,0,0
15,56,True,0.883,1.0,1.0,0.0,proposal_quota,1,0,0
16,57,True,0.847,1.0,1.0,0.0,proposal_quota,1,0,0
17,58,True,0.847,1.0,1.0,0.0,proposal_quota,1,0,0
18,59,True,0.814,1.0,1.0,0.0,proposal_quota,1,0,0
19,60,True,0.852,1.0,1.0,0.0,proposal_quota,1,0,0
20,61,True,0.814,1.0,1.0,0.0,proposal_quota,1,0,0
21,62,True,0.779,1.0,1.0,0.0,proposal_quota,1,0,0
22,63,True,0.891,1.0,1.0,0.0,proposal_quota,1,0,0
23,64,True,0.892,1.0,1.0,0.0,proposal_quota,1,0,0
24,65,True,0.846,1.0,1.0,0.0,proposal_quota,1,0,0
25,66,True,0.835,1.0,1.0,0.0,proposal_quota,1,0,0
26,67,True,0.797,1.0,1.0,0.0,proposal_quota,1,0,0
27,68,True,0.824,1.0,1.0,0.0,proposal_quota,1,0,0
28,69,True,0.815,1.0,1.0,0.0,proposal_quota,1,0,0
29,70,True,0.859,1.0,1.0,0.0,proposal_quota,1,0,0
30,71,True,0.844,1.0,1.0,0.0,proposal_quota,1,0,0
31,72,True,0.86,1.0,1.0,0.0,proposal_quota,1,0,0
32,73,True,0.814,1.0,1.0,0.0,proposal_quota,1,0,0
33,74,True,0.864,1.0,1.0,0.0,proposal_quota,1,0,0
34,75,True,0.783,1.0,1.0,0.0,proposal_quota,1,0,0
35,76,True,0.895,1.0,1.0,0.0,proposal_quota,1,0,0
36,77,True,0.814,1.0,1.0,0.0,proposal_quota,1,0,0
37,78,True,0.785,1.0,1.0,0.0,proposal_quota,1,0,0
38,79,True,0.838,1.0,1.0,0.0,proposal_quota,1,0,0
39,80,True,0.884,1.0,1.0,0.0,proposal_quota,1,0,0
40,81,True,0.809,1.0,1.0,0.0,proposal_quota,1,0,0
41,82,True,0.838,1.0,1.0,0.0,proposal_quota,1,0,0
42,83,True,0.766,1.0,1.0,0.0,proposal_quota,1,0,0
43,84,True,0.836,1.0,1.0,0.0,proposal_quota,1,0,0
