year,nodes,population,tech,automation,ai_capability,governance_stability,abundance,protocol_cohesion,events,proposal_rate,governance_bandwidth,governance_backlog,backlog_ratio,human_control_index,cooperation,utilization,defense_action,omega_present,omega_proposal_rate,freeze_steps_remaining
0,50,999975,1.0,0.3,0.2,0.775,0.176,0.65,initial_state,1.07,1.35,0.0,0.0,1.0,0.748,0.793,none,False,0.0,0
10,50,1038168,1.024,0.329,0.216,0.775,0.184,0.654,steady_state,1.097,1.379,0.0,0.0,1.0,0.74,0.795,none,False,0.0,0
20,50,1079827,1.047,0.359,0.232,0.771,0.191,0.659,steady_state,1.123,1.406,0.0,0.0,1.0,0.735,0.798,none,False,0.0,0
30,50,1115752,1.069,0.389,0.248,0.774,0.199,0.667,steady_state,1.147,1.433,0.0,0.0,1.0,0.732,0.801,none,False,0.0,0
40,50,1159972,1.092,0.42,0.266,0.777,0.206,0.676,steady_state,1.173,1.46,0.0,0.0,1.0,0.73,0.803,none,False,0.0,0
50,50,1203160,1.113,0.451,0.284,0.783,0.214,0.687,steady_state,1.197,1.486,0.0,0.0,1.0,0.732,0.806,none,False,0.0,0
60,50,1253767,1.135,0.484,0.302,0.791,0.222,0.699,steady_state,1.222,1.512,0.0,0.0,1.0,0.732,0.808,none,False,0.0,0
70,50,1305197,1.156,0.516,0.321,0.806,0.231,0.714,steady_state,1.246,1.538,0.0,0.0,1.0,0.738,0.811,none,False,0.0,0
80,50,1355600,1.179,0.55,0.341,0.82,0.239,0.731,steady_state,1.272,1.565,0.0,0.0,1.0,0.743,0.813,none,False,0.0,0
90,50,1415540,1.203,0.585,0.361,0.841,0.248,0.751,steady_state,1.299,1.593,0.0,0.0,1.0,0.752,0.815,none,False,0.0,0
100,50,1474471,1.226,0.621,0.382,0.856,0.257,0.773,steady_state,1.326,1.622,0.0,0.0,1.0,0.763,0.818,none,False,0.0,0
110,50,1531723,1.251,0.565,0.404,0.856,0.247,0.768,infrastructure_crisis,1.353,1.651,0.0,0.0,1.0,0.778,0.82,none,False,0.0,0
120,50,1598639,1.275,0.602,0.425,0.871,0.256,0.793,steady_state,1.381,1.68,0.0,0.0,1.0,0.793,0.822,none,False,0.0,0
130,50,1675527,1.298,0.64,0.447,0.878,0.265,0.82,steady_state,1.407,1.707,0.0,0.0,1.0,0.806,0.824,none,False,0.0,0
140,50,1757094,1.324,0.679,0.47,0.886,0.275,0.849,steady_state,1.438,1.739,0.0,0.0,1.0,0.823,0.827,none,False,0.0,0
150,51,1860417,1.355,0.72,0.493,0.892,0.286,0.879,omega_injected;proposal_quota,1.645,1.776,0.0,0.0,1.0,0.826,0.926,proposal_quota,True,0.18,0
160,51,1944129,1.38,0.761,0.517,0.903,0.296,0.912,steady_state,1.501,1.807,0.0,0.0,1.0,0.842,0.831,none,True,0.413,0
170,51,2032882,1.404,0.804,0.542,0.916,0.307,0.947,steady_state,1.529,1.835,0.0,0.0,1.0,0.862,0.833,none,True,0.045,0
180,51,2136106,1.431,0.848,0.568,0.926,0.317,0.984,steady_state,1.559,1.867,0.0,0.0,1.0,0.882,0.835,none,True,0.032,0
190,51,2240949,1.458,0.894,0.594,0.939,0.325,1.0,steady_state,1.59,1.899,0.0,0.0,1.0,0.904,0.837,none,True,0.033,0
200,51,2365152,1.484,0.94,0.621,0.946,0.331,1.0,steady_state,1.621,1.931,0.0,0.0,1.0,0.923,0.839,none,True,0.033,0
210,51,2488000,1.512,0.987,0.649,0.955,0.338,1.0,peaceful_upgrade,1.652,1.964,0.0,0.0,1.0,0.937,0.841,none,True,0.034,0
220,51,2618039,1.537,1.034,0.678,0.964,0.343,1.0,steady_state,1.681,1.994,0.0,0.0,1.0,0.95,0.843,none,True,0.035,0
230,51,2762576,1.563,1.082,0.708,0.972,0.349,1.0,steady_state,1.712,2.025,0.0,0.0,1.0,0.958,0.845,none,True,0.036,0
240,51,2921214,1.588,1.13,0.738,0.982,0.353,1.0,peaceful_upgrade,1.742,2.056,0.0,0.0,1.0,0.969,0.847,none,True,0.037,0
250,51,3081318,1.614,1.178,0.769,0.987,0.357,1.0,steady_state,1.772,2.087,0.0,0.0,1.0,0.974,0.849,none,True,0.038,0
260,51,3266070,1.643,1.227,0.801,0.992,0.36,1.0,steady_state,1.805,2.121,0.0,0.0,1.0,0.98,0.851,none,True,0.039,0
