D_hub_cap,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.8,0,42,0.33203878506293566,0.28454271220565286,0.3162711864406778,0.6271186440677966,0,,0,0.8727466318455138,0.8727466318455138,0
0.8,1,43,0.3407851152107308,0.24604870753903946,0.29299435028248605,0.6949152542372882,0,,0,0.8959417718843058,0.8959417718843058,0
0.8,2,44,0.3532239662414098,0.2718482315119202,0.29039548022598843,0.6271186440677966,0,,0,0.8959339940440824,0.8959339940440824,0
0.8,3,45,0.8577748264230713,0.7648544612458998,0.9662146892655367,1.0,1,7,143,0.09120635294280197,0.09120635294280197,1
0.8,4,46,0.8376038456956318,0.7528800261304341,0.9661016949152542,1.0,1,7,143,0.1024005707285925,0.1024005707285925,1
0.8,5,47,0.3416128422009358,0.27623866905402833,0.2615819209039547,0.5423728813559322,0,,0,0.8791175706364283,0.8791175706364283,0
0.8,6,48,0.8509262086165496,0.7479916328154671,0.963502824858757,1.0,1,8,142,0.08801705595715602,0.08801705595715602,1
0.8,7,49,0.3496894368141662,0.2689365478407841,0.2772881355932202,0.559322033898305,0,,0,0.8846301928769817,0.8846301928769817,0
0.8,8,50,0.8971244272200398,0.7545623424692736,0.964180790960452,1.0,1,8,142,0.07898504240128086,0.07898504240128086,1
0.8,9,51,0.8738387826934355,0.7676597629568375,0.964632768361582,1.0,1,8,142,0.07496866602191196,0.07496866602191196,1
0.8,10,52,0.3390402683830803,0.2974013929930997,0.33129943502824877,0.6949152542372882,0,,0,0.8810404084913518,0.8810404084913518,0
0.8,11,53,0.3544238167048046,0.274614424010226,0.2903954802259885,0.576271186440678,0,,0,0.8876680593438551,0.8876680593438551,0
0.8,12,54,0.3689087399853007,0.2567686640153376,0.283276836158192,0.559322033898305,0,,0,0.8623336778274511,0.8623336778274511,0
0.8,13,55,0.3488019479829247,0.271442373784992,0.26384180790960443,0.4915254237288136,0,,0,0.8895247789837147,0.8895247789837147,0
0.8,14,56,0.858415768496002,0.7687449042103001,0.9623728813559322,1.0,1,9,141,0.08554611299729,0.08554611299729,1
0.8,15,57,0.3307016496359984,0.27451984495652815,0.271186440677966,0.4406779661016949,0,,0,0.8899855602704354,0.8899855602704354,0
0.8,16,58,0.8588726309121943,0.7392302718901531,0.9650847457627119,1.0,1,8,142,0.08830118002928303,0.08830118002928303,1
0.8,17,59,0.35388462674021387,0.28348732372845825,0.29762711864406766,0.5932203389830508,0,,0,0.858835527290768,0.858835527290768,0
0.8,18,60,0.8798871508653904,0.7842427521670984,0.9657627118644068,1.0,1,8,142,0.08104889373958814,0.08104889373958814,1
0.8,19,61,0.8229379324802369,0.7636746883674757,0.9662146892655367,1.0,1,8,142,0.08946928606319819,0.08946928606319819,1
0.8,20,62,0.8785019573495255,0.7792517419714393,0.9663276836158191,1.0,1,8,142,0.07995316866739949,0.07995316866739949,1
0.8,21,63,0.35345539544147475,0.28876012268374335,0.31005649717514133,0.6101694915254238,0,,0,0.8568936698457779,0.8568936698457779,0
0.8,22,64,0.3482655681143592,0.25409429904958936,0.2854237288135592,0.5932203389830508,0,,0,0.8648275080820766,0.8648275080820766,0
0.8,23,65,0.8369089099784547,0.7742641093909642,0.9637288135593219,1.0,1,9,141,0.0796555972172437,0.0796555972172437,1
0.8,24,66,0.35152824728254656,0.28862455698392286,0.3136723163841806,0.6779661016949152,0,,0,0.851789601480028,0.851789601480028,0
0.8,25,67,0.32518769208482906,0.25406429814231296,0.2954802259887005,0.5254237288135594,0,,0,0.8596079681395238,0.8596079681395238,0
0.8,26,68,0.898982319579075,0.7632059513919228,0.965310734463277,1.0,1,8,142,0.07095752596881442,0.07095752596881442,1
0.8,27,69,0.3418678098861369,0.26499801169105514,0.3175141242937853,0.576271186440678,0,,0,0.8835353573439509,0.8835353573439509,0
0.8,28,70,0.3221178058362624,0.25068858500074015,0.30553672316384173,0.4745762711864407,0,,0,0.8435469774563521,0.8435469774563521,0
0.8,29,71,0.8572514590192056,0.7381055148824486,0.964632768361582,1.0,1,8,142,0.07592321785970609,0.07592321785970609,1
0.6,0,42,0.37605899340685417,0.32423335356227817,0.30079096045197706,0.5423728813559322,0,,0,0.8713192936315718,0.8713192936315718,0
0.6,1,43,0.3858986563142295,0.2723992248562825,0.27853107344632777,0.6440677966101694,0,,0,0.8893665349088711,0.8893665349088711,0
0.6,2,44,0.40450921890688435,0.3045008713161479,0.27762711864406764,0.559322033898305,0,,0,0.8903728845973821,0.8903728845973821,0
0.6,3,45,0.8828326510379135,0.8138970069473248,0.9633898305084745,1.0,1,8,142,0.09235524112344856,0.09235524112344856,1
0.6,4,46,0.8870645043588913,0.7897640726119971,0.9637288135593219,1.0,1,8,142,0.0938884796920481,0.0938884796920481,1
0.6,5,47,0.3841260077126402,0.3152724528438178,0.2561581920903952,0.4745762711864407,0,,0,0.8854092593193285,0.8854092593193285,0
0.6,6,48,0.8921280885596637,0.7873819306454342,0.9610169491525423,1.0,1,8,142,0.08538611801611894,0.08538611801611894,1
0.6,7,49,0.3939025674510367,0.3028864672279585,0.2620338983050846,0.4745762711864407,0,,0,0.8790304971717515,0.8790304971717515,0
0.6,8,50,0.9397720513902516,0.8006977368497095,0.9622598870056497,1.0,1,8,142,0.07292639448197777,0.07292639448197777,1
0.6,9,51,0.922933644963724,0.8192043635533073,0.9629378531073447,1.0,1,8,142,0.0692587838081424,0.0692587838081424,1
0.6,10,52,0.8956830299406128,0.8418905822586837,0.9596610169491525,1.0,1,9,141,0.07483786811987755,0.07483786811987755,1
0.6,11,53,0.39977532397159965,0.3153374038114364,0.2844067796610165,0.5254237288135594,0,,0,0.8804634943861609,0.8804634943861609,0
0.6,12,54,0.41368525637718717,0.285237329496127,0.26858757062146893,0.5423728813559322,0,,0,0.8508662200805005,0.8508662200805005,0
0.6,13,55,0.39581157045461507,0.30758239532356024,0.246327683615819,0.4576271186440678,0,,0,0.8876714807919475,0.8876714807919475,0
0.6,14,56,0.9162766116564303,0.8148824998307086,0.96,1.0,1,9,141,0.07730585542324218,0.07730585542324218,1
0.6,15,57,0.36918474200748974,0.3153238516584518,0.24768361581920872,0.4406779661016949,0,,0,0.8884482420751946,0.8884482420751946,0
0.6,16,58,0.9105610164932066,0.7761769025761357,0.962824858757062,1.0,1,9,141,0.07971840031945619,0.07971840031945619,1
0.6,17,59,0.3970482751215031,0.3170154804210979,0.284519774011299,0.559322033898305,0,,0,0.8618179121466486,0.8618179121466486,0
0.6,18,60,0.9255287873775954,0.8150392673518615,0.9627118644067796,1.0,1,8,142,0.07437155856317068,0.07437155856317068,1
0.6,19,61,0.8922407943648042,0.7987071607158719,0.963502824858757,1.0,1,8,142,0.07707849350185007,0.07707849350185007,1
0.6,20,62,0.9218795204411121,0.8314295472852458,0.9625988700564971,1.0,1,9,141,0.07392834603533147,0.07392834603533147,1
0.6,21,63,0.4010639264275841,0.3250012084036739,0.30847457627118646,0.559322033898305,0,,0,0.8368618843685112,0.8368618843685112,0
0.6,22,64,0.3922541178428254,0.2872047509516748,0.2891525423728814,0.6440677966101694,0,,0,0.8546049182503362,0.8546049182503362,0
0.6,23,65,0.8730271658034586,0.8188525032597006,0.9610169491525423,1.0,1,9,141,0.07607022258225721,0.07607022258225721,1
0.6,24,66,0.3977880578730615,0.32110938124542093,0.3267796610169493,0.711864406779661,0,,0,0.8434609937003273,0.8434609937003273,0
0.6,25,67,0.3642257395541505,0.2841623615319484,0.2881355932203388,0.4915254237288136,0,,0,0.8531644404827314,0.8531644404827314,0
0.6,26,68,0.9398943245767284,0.8170052008706471,0.9610169491525423,1.0,1,9,141,0.06594269118108569,0.06594269118108569,1
0.6,27,69,0.38186255049735435,0.3088776556169907,0.3200000000000003,0.576271186440678,0,,0,0.8602054364559121,0.8602054364559121,0
0.6,28,70,0.36092467594415223,0.27944872213041627,0.2905084745762712,0.4406779661016949,0,,0,0.8307426260619617,0.8307426260619617,0
0.6,29,71,0.8902864966830011,0.7842561597408549,0.9613559322033897,1.0,1,9,141,0.07080900685921747,0.07080900685921747,1
0.4,0,42,0.38712017884327676,0.34804680607110605,0.2586440677966103,0.5932203389830508,0,,0,0.8798482951971193,0.8798482951971193,0
0.4,1,43,0.3926525549160924,0.3170002200546947,0.2658757062146893,0.6610169491525424,0,,0,0.8942767548306884,0.8942767548306884,0
0.4,2,44,0.44012280045335833,0.3353444838485143,0.24225988700564968,0.5423728813559322,0,,0,0.8835952844164666,0.8835952844164666,0
0.4,3,45,0.9347750300507537,0.8401319519981999,0.9564971751412429,1.0,1,9,141,0.0958844994927657,0.0958844994927657,1
0.4,4,46,0.9324443558886989,0.8465918470456303,0.956045197740113,1.0,1,10,140,0.09378015190548578,0.09378015190548578,1
0.4,5,47,0.41266723626847934,0.3443610695048356,0.21966101694915252,0.4745762711864407,0,,0,0.8619940627554129,0.8619940627554129,0
0.4,6,48,0.9382419840349082,0.8612639275490888,0.9546892655367231,1.0,1,10,140,0.08805387384685172,0.08805387384685172,1
0.4,7,49,0.42738131029129905,0.32977863379784433,0.24,0.4576271186440678,0,,0,0.880003286859587,0.880003286859587,0
0.4,8,50,0.9615047213769357,0.8629217176514197,0.9557062146892656,1.0,1,9,141,0.07556363922891735,0.07556363922891735,1
0.4,9,51,0.9755861391018567,0.878195340544338,0.9540112994350282,1.0,1,10,140,0.06959830675921652,0.06959830675921652,1
0.4,10,52,0.418189731492501,0.36447759995057805,0.32011299435028245,0.7796610169491526,0,,0,0.8896127941566877,0.8896127941566877,0
0.4,11,53,0.4299720888030876,0.3377865764114485,0.2672316384180789,0.5084745762711864,0,,0,0.8880613014254303,0.8880613014254303,0
0.4,12,54,0.44993030929574435,0.33820898311114506,0.25367231638418075,0.576271186440678,0,,0,0.8488356585658953,0.8488356585658953,0
0.4,13,55,0.4618564365285385,0.3302011604841495,0.19706214689265536,0.4067796610169492,0,,0,0.8881898332322621,0.8881898332322621,0
0.4,14,56,0.9663011015787413,0.8724260134788527,0.9522033898305086,1.0,1,11,139,0.08001910948525776,0.08001910948525776,1
0.4,15,57,0.3712616132210224,0.34877915518582375,0.21762711864406764,0.3728813559322034,0,,0,0.9022001913345147,0.9022001913345147,0
0.4,16,58,0.959942507246345,0.796331348869669,0.9574011299435028,1.0,1,10,140,0.08372894848993534,0.08372894848993534,1
0.4,17,59,0.4517972676972593,0.3479653004228356,0.2587570621468922,0.5084745762711864,0,,0,0.854899312120095,0.854899312120095,0
0.4,18,60,0.9716330903211648,0.8659972060100718,0.9572881355932203,1.0,1,10,140,0.07720370538503644,0.07720370538503644,1
0.4,19,61,0.9393711243914107,0.8653778564758298,0.9572881355932203,1.0,1,9,141,0.07859603904147473,0.07859603904147473,1
0.4,20,62,0.9503520772320376,0.8695766950138267,0.9586440677966102,1.0,1,9,141,0.08426728352738208,0.08426728352738208,1
0.4,21,63,0.4341039208339547,0.35628644289180206,0.2645197740112992,0.4745762711864407,0,,0,0.8572704973998034,0.8572704973998034,0
0.4,22,64,0.9527519217270097,0.827598698912128,0.9545762711864408,1.0,1,10,140,0.0827564180827024,0.0827564180827024,1
0.4,23,65,0.9686270349364048,0.8799976683706223,0.9554802259887005,1.0,1,10,140,0.0798340712580157,0.0798340712580157,1
0.4,24,66,0.9878033519717486,0.8867716260927359,0.956271186440678,1.0,1,10,140,0.0793766514514171,0.0793766514514171,1
0.4,25,67,0.37895671755230315,0.3336994028927753,0.24700564971751385,0.3898305084745763,0,,0,0.877420593553026,0.877420593553026,0
0.4,26,68,0.9714826639373751,0.8446704227240984,0.956045197740113,1.0,1,10,140,0.07528447814367767,0.07528447814367767,1
0.4,27,69,0.40486541350270716,0.33252895696372825,0.28429378531073407,0.5254237288135594,0,,0,0.8760680490832266,0.8760680490832266,0
0.4,28,70,0.40521995520378706,0.3291282266999209,0.24926553672316373,0.3898305084745763,0,,0,0.837964884027477,0.837964884027477,0
0.4,29,71,0.9539334412571154,0.8602409965185693,0.9542372881355933,1.0,1,10,140,0.07791097241092254,0.07791097241092254,1
