config,hub_count,balanced,run_index,seed,hub1_final_stability,hub2_final_stability,hub3_final_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,final_cooperation,final_trust,collapsed
A,1,1,0,42,0.5618903814528807,,,0.9764971751412429,1.0,1,4,0.2553942128551454,0.2553942128551454,1
A,1,1,1,43,0.5620594242112859,,,0.9757062146892657,1.0,1,4,0.2577661484815571,0.2577661484815571,1
A,1,1,2,44,0.5623639500865858,,,0.9763841807909605,1.0,1,4,0.25541564568105324,0.25541564568105324,1
A,1,1,3,45,0.5621642010486322,,,0.975819209039548,1.0,1,4,0.2564668787278462,0.2564668787278462,1
A,1,1,4,46,0.5596974476135812,,,0.9776271186440677,1.0,1,4,0.2528710980183266,0.2528710980183266,1
A,1,1,5,47,0.5602573611526898,,,0.9759322033898304,1.0,1,4,0.2557165215135561,0.2557165215135561,1
A,1,1,6,48,0.5613429027361473,,,0.9764971751412429,1.0,1,4,0.25477174949062914,0.25477174949062914,1
A,1,1,7,49,0.5611537964123604,,,0.9757062146892657,1.0,1,4,0.2553762335183719,0.2553762335183719,1
A,1,1,8,50,0.5621739482770426,,,0.9759322033898304,1.0,1,4,0.2544158263694721,0.2544158263694721,1
A,1,1,9,51,0.561075182064096,,,0.9750282485875705,1.0,1,4,0.2534560510929281,0.2534560510929281,1
A,1,1,10,52,0.5603349685930508,,,0.9772881355932204,1.0,1,4,0.25435938527955193,0.25435938527955193,1
A,1,1,11,53,0.5595293839504035,,,0.9752542372881357,1.0,1,4,0.25699291621809195,0.25699291621809195,1
A,1,1,12,54,0.563193922605301,,,0.9753672316384181,1.0,1,4,0.25552434176416633,0.25552434176416633,1
A,1,1,13,55,0.562451695299577,,,0.9757062146892657,1.0,1,4,0.25490783658714466,0.25490783658714466,1
A,1,1,14,56,0.5610354839957402,,,0.9760451977401129,1.0,1,4,0.25460687028887347,0.25460687028887347,1
A,1,1,15,57,0.5616386634696009,,,0.9753672316384181,1.0,1,4,0.2564954742848978,0.2564954742848978,1
A,1,1,16,58,0.5601326615418747,,,0.9769491525423729,1.0,1,4,0.25485227001160765,0.25485227001160765,1
