step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_effective_info,stable_share
0,0.8583830958521365,0.7862448539200001,0.509824104625,0.5220527972892001,0.10499999999999998,0.063,0.64321395,1.0
1,0.8645098053651198,0.7614088406232898,0.5194551833038169,0.5610206259658972,0.10499999999999998,0.063,0.64321395,1.0
2,0.8662401368536022,0.7607649594731835,0.5288896717843872,0.5704398290870331,0.16499999999999998,0.099,0.6421933500000001,1.0
3,0.8720261568021959,0.7614612682986173,0.5381495717014033,0.5901226064034414,0.075,0.045899999999999996,0.6436987350000001,0.95
4,0.8705505446862245,0.7148031161787383,0.5472292317704743,0.6269976701899218,0.06,0.0369,0.6439538850000001,0.95
5,0.8773224144760341,0.7303244988976711,0.5561303918723518,0.6595256918503785,0.06,0.0369,0.6439538850000001,0.95
6,0.8762579311165346,0.69734065674897,0.56485656133065,0.6992924215453736,0.06,0.0369,0.6439538850000001,0.95
7,0.8728218105897335,0.6783981008338339,0.5734128457337292,0.7051849969385011,0.045,0.027899999999999998,0.644209035,0.95
8,0.8714201040765716,0.671961699409678,0.5817976213361622,0.7192257394826769,0.075,0.045899999999999996,0.6436987350000001,0.95
9,0.8692225592838921,0.6781060817608663,0.5900191907119321,0.7279572526977796,0.06,0.0369,0.6439538850000001,0.95
10,0.8667813191780069,0.6706341442510791,0.5980712840102991,0.7400784214434337,0.13499999999999998,0.0819,0.642678135,0.95
11,0.8686744455421141,0.6758865423207994,0.6059672841956744,0.7521821926385108,0.10499999999999998,0.06989999999999999,0.643018335,0.95
12,0.873569419406186,0.6815788669664465,0.6137121866911535,0.7736861153437139,0.075,0.045899999999999996,0.6436987350000001,0.95
13,0.8713968704799233,0.6630369094561244,0.6213061899261225,0.7856025069786621,0.06,0.0378,0.64392837,0.9
14,0.8728850636960057,0.6677966916112668,0.6287439947064197,0.7986038506812052,0.12,0.0807,0.6427121550000001,0.85
15,0.8758613611663975,0.6857241083101469,0.636042488776484,0.8097522983935761,0.06,0.0378,0.64392837,0.9
16,0.8717824942430561,0.6537326445336451,0.6431910009967917,0.8221254598115912,0.12,0.0798,0.64273767,0.9
17,0.8589074335827995,0.5889922890721182,0.6502041169389239,0.8228704234672642,0.075,0.046799999999999994,0.64367322,0.9
18,0.8574427073315464,0.5979898800320297,0.6570751057299341,0.8345545827289309,0.12,0.0756,0.64285674,0.8
19,0.862877011658204,0.6189216379719719,0.6638149346817019,0.8565684737581343,0.075,0.0495,0.6435966750000001,0.75
20,0.863961439724438,0.6151510034417069,0.6704235860484162,0.865325401680425,0.06,0.040499999999999994,0.643851825,0.75
21,0.862688000671571,0.5979132682769481,0.6768943367876931,0.8880741607301003,0.13499999999999998,0.0975,0.6422358750000001,0.75
22,0.8609930860164144,0.6022698578150124,0.683244762741132,0.8897304683176817,0.075,0.0486,0.6436221900000001,0.8
23,0.8584840934381761,0.6103255090755638,0.6894678301245335,0.8875872157455339,0.10499999999999998,0.06749999999999999,0.643086375,0.75
24,0.8609201903479627,0.6183440870568213,0.6955702221182372,0.8944690991628059,0.075,0.055499999999999994,0.6434265750000001,0.75
25,0.8583466026045325,0.606788478980303,0.7015511400020136,0.9081592371961253,0.10499999999999998,0.06749999999999999,0.643086375,0.75
26,0.8612067097177423,0.6269091563325685,0.7074156965831275,0.9058711637518402,0.09,0.058499999999999996,0.6433415250000001,0.75
27,0.8545680008745913,0.5978520693495948,0.7131631477663096,0.9043833820339179,0.10500000000000001,0.0735,0.642916275,0.75
28,0.8567339027631418,0.6065548314999161,0.7188008815657676,0.9034483972962155,0.06,0.0474,0.6436562100000001,0.7
29,0.8606863153081321,0.6139206052716795,0.7243242189050703,0.9190001182492692,0.12,0.0774,0.64280571,0.7
30,0.8618897591748187,0.6323907603226513,0.7297370609705135,0.9278415111755651,0.12,0.0945,0.642320925,0.75
31,0.8519850568190777,0.5798197474698629,0.7350482084264147,0.924873010734764,0.075,0.054599999999999996,0.64345209,0.8
32,0.8523915260116693,0.5585966817996052,0.7402564703038319,0.9354596065962599,0.06,0.0414,0.64382631,0.7
33,0.8410414571611744,0.5210995448853527,0.7453578114554267,0.951628534689062,0.12,0.08249999999999999,0.642661125,0.75
34,0.8358259372736836,0.510370634643983,0.750364290552054,0.9482344571693094,0.045,0.0333,0.6440559450000001,0.65
35,0.8352436412233697,0.5270231223918026,0.7552688356807117,0.9477460059589337,0.09,0.0663,0.6431203950000001,0.65
36,0.8319623480776468,0.5155288841550674,0.7600780514320316,0.9444879071295429,0.075,0.05639999999999999,0.6434010600000001,0.7
37,0.8300361162331141,0.5209367130705694,0.7647900064697079,0.9424386956150261,0.12,0.0834,0.64263561,0.7
38,0.8289739270744401,0.521646153653699,0.7694135321333233,0.9390926205348018,0.06,0.0423,0.643800795,0.65
39,0.8254107408160015,0.5213683171374426,0.773941467068065,0.9344221916526176,0.12,0.09029999999999999,0.642439995,0.65
40,0.8254841072442136,0.5451651938154718,0.7783825072356303,0.9305550690244955,0.10499999999999998,0.0693,0.643035345,0.65
41,0.8269106601577058,0.5671561859594764,0.782735650149092,0.928840644356207,0.10499999999999998,0.0762,0.64283973,0.6
42,0.8277430014071644,0.5525517522069894,0.7870041171408843,0.9301038549317108,0.09,0.0672,0.64309488,0.6
43,0.8257726900833002,0.550531825375824,0.7911881813349677,0.9275802612013182,0.09,0.0732,0.6429247800000001,0.6
44,0.8317029342215442,0.5611858231318917,0.7952919188754484,0.9334672120099794,0.075,0.0522,0.64352013,0.6
45,0.8332584737309116,0.547292124236237,0.7993137793359038,0.9362214241584669,0.09,0.0663,0.6431203950000001,0.65
46,0.8404580970261352,0.571190392800631,0.803259515608538,0.941834528395075,0.045,0.0324,0.64408146,0.7
47,0.8403293361761788,0.569230637059182,0.8071256657372299,0.938337856851442,0.075,0.05639999999999999,0.6434010600000001,0.7
48,0.8378625642391235,0.5548330900443886,0.8109150302620179,0.9384797233200777,0.09,0.0663,0.6431203950000001,0.65
49,0.8398960706655784,0.5659422760779703,0.8146318757810047,0.9374692843522767,0.06,0.0423,0.643800795,0.65
50,0.8410291812978992,0.5760353802044271,0.8182744768269903,0.9373595933503331,0.075,0.0573,0.643375545,0.65
51,0.8406699190201381,0.5621716511864508,0.8218466577318624,0.9397756414662395,0.06,0.0423,0.643800795,0.65
52,0.8430970756487227,0.5611385774542913,0.8253486201752013,0.9433689159095294,0.06,0.0423,0.643800795,0.65
53,0.8448196064001244,0.571835040817606,0.8287806971964622,0.9408661505362591,0.075,0.05639999999999999,0.6434010600000001,0.7
54,0.8428172622988861,0.5687947457293523,0.8321422724788068,0.9405651610775674,0.13499999999999998,0.0984,0.6422103600000001,0.7
55,0.841148568226485,0.5476061444527482,0.835441853667519,0.9421720756153864,0.06,0.0423,0.643800795,0.65
56,0.830745655675031,0.5203019804700578,0.8386732787548097,0.9407885932769146,0.12,0.08940000000000001,0.6424655100000001,0.7
57,0.8353524857910228,0.533321203206779,0.8418439245086307,0.9410248221254166,0.075,0.0504,0.64357116,0.7
58,0.8275247940495667,0.4983098734650698,0.8449517713340882,0.937242519679887,0.09,0.0576,0.64336704,0.8
59,0.8215381731780262,0.512552193369997,0.8479980923428672,0.9333832636960662,0.09,0.0645,0.643171425,0.75
60,0.8194705440414289,0.5160841168853657,0.8509830087300584,0.9289313690011479,0.12,0.0885,0.6424910250000001,0.75
61,0.8172460373012747,0.5055372103142435,0.8539108305149916,0.925358986512929,0.09,0.0645,0.643171425,0.75
62,0.8181487823908405,0.5081178418464527,0.8567831220310879,0.925040020531633,0.045,0.0324,0.64408146,0.7
63,0.8195330193275983,0.521172629902579,0.8595961997751829,0.9238067058441762,0.12,0.0774,0.64280571,0.7
64,0.8197345809775498,0.5206155508566407,0.8623533784766808,0.9235738672606375,0.10499999999999998,0.08819999999999999,0.64249953,0.6
65,0.8140292000050605,0.48504412725086227,0.8650576422098497,0.9217569066567511,0.09,0.0672,0.64309488,0.6
66,0.8097512109297014,0.48717313680893914,0.8677087765709617,0.9187797232503409,0.09,0.0672,0.64309488,0.6
67,0.8087535198850542,0.5006749727978879,0.8703077752429849,0.9244153089586662,0.09,0.0681,0.643069365,0.55
68,0.8075592057959409,0.5006528080951664,0.8728542240600825,0.9280451217044801,0.10500000000000001,0.09509999999999999,0.6423039150000001,0.55
69,0.8220096594663404,0.513084643249836,0.8753518104207509,0.9503481087585903,0.09,0.0741,0.642899265,0.55
70,0.8264339635768833,0.5142541804621837,0.8778019734328311,0.952132320980219,0.06,0.0432,0.6437752800000001,0.6
71,0.8286449310837953,0.5266422316520456,0.8802024617680855,0.9519521131960197,0.09,0.0723,0.6429502950000001,0.65
72,0.8320115834491029,0.5315061931768279,0.8825573231393689,0.950123126615779,0.06,0.0423,0.643800795,0.65
73,0.8358363519281772,0.5199549274189645,0.8848655952231838,0.9556552514527636,0.06,0.048299999999999996,0.643630695,0.65
74,0.8334099504488064,0.5204649834233757,0.8871274723048035,0.9529789082452755,0.10499999999999998,0.0693,0.643035345,0.65
75,0.8294300609445558,0.5211370940463309,0.8893450563879102,0.9485384415537268,0.09,0.0663,0.6431203950000001,0.65
76,0.8337093030904639,0.5339515487969794,0.891519354746013,0.9481707180751858,0.09,0.0603,0.643290495,0.65
77,0.8420625647969636,0.5458796478411289,0.8936504174307288,0.9538280684476022,0.09,0.07139999999999999,0.64297581,0.7
78,0.847491912691939,0.5583741152585124,0.8957413800933264,0.9555294716740468,0.045,0.0324,0.64408146,0.7
79,0.8444319106716545,0.5577367702911958,0.8977900749612132,0.9512580454244788,0.09,0.058499999999999996,0.6433415250000001,0.75
80,0.8434177209302399,0.5687137074119788,0.8997981214074671,0.9468729003279754,0.10499999999999998,0.06749999999999999,0.643086375,0.75
81,0.8401216389176451,0.5555733424492992,0.9017671007273425,0.9429160319630888,0.09,0.058499999999999996,0.6433415250000001,0.75
82,0.8405361932247422,0.5552620223716562,0.9036975520303118,0.9405395005770989,0.075,0.054599999999999996,0.64345209,0.8
83,0.8372652726751797,0.5551402627469761,0.9055883460883878,0.9356623351094628,0.13499999999999998,0.09659999999999999,0.64226139,0.8
84,0.8436665801515264,0.5787419630867742,0.9074439440471445,0.9343984459709954,0.075,0.0486,0.6436221900000001,0.8
85,0.8360452782494162,0.5307825679106021,0.9092627529314322,0.9309303697516617,0.09,0.05669999999999999,0.643392555,0.85
86,0.8412028566460904,0.5553259913007003,0.911045785809424,0.931674104926388,0.09,0.0576,0.64336704,0.8
87,0.843116530105388,0.5676006779342643,0.9127944620493276,0.9288412254866591,0.06,0.039599999999999996,0.6438773400000001,0.8
88,0.8443108333801664,0.5780945737413526,0.9145080946500407,0.9255751711592678,0.09,0.0576,0.64336704,0.8
89,0.8502992802711509,0.5884012383726225,0.9161884897803493,0.9304287674888754,0.06,0.045599999999999995,0.6437072400000001,0.8
90,0.8557708883593831,0.6096431763030896,0.9178357171147177,0.9347919912077927,0.075,0.0495,0.6435966750000001,0.75
91,0.8600230540586082,0.6085525774974885,0.9194502555623378,0.9429582239927434,0.09,0.058499999999999996,0.6433415250000001,0.75
92,0.8568969706247884,0.5932815335670167,0.921033406953552,0.9394431302064798,0.075,0.0486,0.6436221900000001,0.8
93,0.8586616760592187,0.6028003705657818,0.9225854430093257,0.9404144348185843,0.075,0.0486,0.6436221900000001,0.8
94,0.8569205853896726,0.5766604407411193,0.9241075670157934,0.9382214013016734,0.045,0.0306,0.6441324900000001,0.8
95,0.855959582443527,0.5864410486802086,0.9255984077876078,0.9360316872027085,0.10499999999999998,0.0726,0.6429417900000001,0.8
96,0.8636422216035304,0.6088858724555705,0.9270612909169795,0.9406658511435383,0.045,0.0306,0.6441324900000001,0.8
97,0.8683748317302078,0.6300216590632779,0.9284951596918407,0.9393275076421315,0.06,0.0387,0.6439028550000001,0.85
