run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8624887781293067,0.8224319760755342,0.9510716847479856,0.5289918501450607,0.9313046610310786,0.9734885478498868,,,1,0,0,0.0550458020402379
1,43,0.899232680124171,0.8377533076534036,0.9964571893035539,0.7637953957465294,0.9312885685095864,0.912240977210494,,,1,0,0,0.05473537394949668
2,44,0.8359375637387827,0.7454093781174264,0.9639240316337265,0.37897088924881134,0.9312365109249424,0.9860385296943169,63,70,0,1,0,0.05994409847919613
3,45,0.9628478765090104,0.5971953278674785,0.9628478765090104,0.8577753598086317,0.9312413446347082,0.9905693563988887,2,52,0,1,0,0.08721123164670208
4,46,0.8875669591841424,0.8067548098411681,0.9697716158156673,0.6704912429953914,0.931261740100613,0.9582544846355582,,,1,0,0,0.05159069414669348
5,47,0.8850849857972003,0.6378033521417631,0.9234490857545853,0.6542062661764713,0.9312533318044375,0.9808607821409439,27,76,0,1,0,0.09026391542905132
6,48,0.9614284991941767,0.6128140128304062,0.9614284991941767,0.8712207723338706,0.931265854537995,0.9595588506606084,37,76,0,1,0,0.06923224203138145
7,49,0.893138593039652,0.77316553026913,0.9351301548101417,0.7118720241516002,0.931271758032225,0.9571863098783256,47,55,0,1,0,0.056688420753352564
8,50,0.8925856662168353,0.7755085771723327,0.9606732802754782,0.7353829550584554,0.9312941125795169,0.9116579909768504,18,21,0,1,0,0.056122855706916885
9,51,0.7288029803789686,0.612871919553202,0.8929697380224308,0.3111444580184831,0.9312366906988383,0.815530447928592,17,30,0,1,1,0.05423588695450143
10,52,0.9111340920826615,0.6465666067176898,0.9314897253808252,0.6905221117332804,0.9312578049470552,0.9905532666364237,33,69,0,1,0,0.07278876496667053
11,53,0.8549569297931131,0.8005796472461572,0.9951913733966758,0.6151573545550033,0.9313100243673234,0.900748140913457,,,1,0,0,0.04849269972311021
12,54,0.8698048282091891,0.710048664301734,0.9519631593690797,0.6476352244411547,0.9313189623700456,0.9658311723902258,12,35,0,1,0,0.06666700257317526
13,55,0.9779486633943025,0.8115351872056326,0.9934627269140202,0.9412465133887464,0.9312992972760624,0.8946485986049864,,,1,0,0,0.0467800120671491
14,56,0.8503124453069029,0.7396920218480871,0.9194575130216653,0.6050513681152087,0.9312941119722347,0.9101045270226851,13,14,0,1,0,0.05354535618349077
15,57,0.7013980816910805,0.6360782421271765,0.9081701034855274,0.3185030398540438,0.9312468904010396,0.846954374267654,31,44,0,1,1,0.08912422468233039
16,58,0.9248944120404825,0.8222366180177078,0.9690515549052614,0.7296198428588718,0.9313314735252464,0.9860930566803637,,,1,0,0,0.04814829652074093
17,59,0.8443311093106799,0.7453574568950061,0.9772586193612859,0.640241736205804,0.931292502397577,0.9154938702291,63,78,0,1,0,0.05399577819899104
18,60,0.7074820228211574,0.612375615178482,0.8845062721196545,0.3122609793788002,0.9312513634668491,0.8223701297977191,22,57,0,1,1,0.054031971594722394
19,61,0.8703936770273254,0.8424641754012838,0.9633270516263829,0.4542828014273878,0.9313100243673237,0.9775358591066587,,,1,0,0,0.05115130516903765
