lambda_value,run_index,seed,step,psi_base,psi_extended,cluster_variance_term,actual_network_failure_rate,trigger_A_condition_met
0.1,0,42,0,0.5356122283228268,0.535630838304442,0.00018609981615227348,0.0,1
0.1,0,42,1,0.5298152031791457,0.5298309297006006,0.00015726521454947643,0.0,1
0.1,0,42,2,0.5354888701246228,0.5355024418390112,0.00013571714388475376,0.23333333333333334,1
0.1,0,42,3,0.5324398318542664,0.5324524323256463,0.0001260047137990969,0.3333333333333333,1
0.1,0,42,4,0.5294591417318759,0.5294712410423439,0.0001209931046801234,0.3333333333333333,1
0.1,0,42,5,0.5306943897965819,0.5307066019792456,0.0001221218266369277,0.3333333333333333,1
0.1,0,42,6,0.5383483746035499,0.5383605572879812,0.00012182684431213247,0.3333333333333333,1
0.1,0,42,7,0.5351989033419097,0.5352105850696031,0.0001168172769340953,0.3333333333333333,1
0.1,0,42,8,0.5356502592351964,0.5356612975780425,0.00011038342846148659,0.3333333333333333,1
0.1,0,42,9,0.5382765751766357,0.5382875273313389,0.00010952154703127437,0.3333333333333333,1
0.1,0,42,10,0.5433318177760312,0.5433426570881694,0.00010839312138156957,0.3333333333333333,1
0.1,0,42,11,0.5466558271468493,0.5466661761465937,0.0001034899974442312,0.3333333333333333,1
0.1,0,42,12,0.5524643482971815,0.5524739894716812,9.641174499776789e-05,0.3333333333333333,1
0.1,0,42,13,0.5432022457655817,0.5432115547996128,9.30903403102619e-05,0.3333333333333333,1
0.1,0,42,14,0.5457071921368368,0.545716444362095,9.252225258203972e-05,0.3333333333333333,1
0.1,0,42,15,0.5440189267940111,0.5440278391499591,8.912355948070958e-05,0.3333333333333333,1
0.1,0,42,16,0.5428254040756976,0.5428345521048339,9.14802913632573e-05,0.3333333333333333,1
0.1,0,42,17,0.5378555433478457,0.5378642053920594,8.662044213695412e-05,0.3333333333333333,1
0.1,0,42,18,0.5411758899486119,0.5411834817105938,7.591761981961816e-05,0.3333333333333333,1
0.1,0,42,19,0.5429860093929011,0.5429937420484057,7.732655504540163e-05,0.3333333333333333,1
0.1,0,42,20,0.5503270099905885,0.5503353524535226,8.342462934126143e-05,0.3333333333333333,1
0.1,0,42,21,0.5506511932495008,0.5506607420837493,9.548834248408603e-05,0.3333333333333333,1
0.1,0,42,22,0.546351410829657,0.546361733487117,0.00010322657460024742,0.3333333333333333,1
0.1,0,42,23,0.5357644468532687,0.5357747547695237,0.00010307916254996904,0.3333333333333333,1
0.1,0,42,24,0.5379769814496995,0.537986385370236,9.403920536539586e-05,0.3333333333333333,1
0.1,0,42,25,0.5433088616005293,0.5433180254109023,9.163810373098645e-05,0.3333333333333333,1
0.1,0,42,26,0.5394174262260893,0.5394264961816275,9.069955538190308e-05,0.3333333333333333,1
0.1,0,42,27,0.5424851089385411,0.5424937889966309,8.680058089821055e-05,0.3333333333333333,1
0.1,0,42,28,0.5406844145797025,0.5406931343822726,8.719802570123919e-05,0.3333333333333333,1
0.1,0,42,29,0.547525736659559,0.54753394821489,8.211555331063807e-05,0.3333333333333333,1
