run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8336314869238817,0.7669772176041058,0.9237288779804924,0.48893396493654406,0.9252709252348417,0.9327437896453171,34,45,0,1,0,0.05629891223290029
1,43,0.8762531850580784,0.8167442320416594,0.9800723099393089,0.7259592300455281,0.9252722209662017,0.911043372224094,,,1,0,0,0.056027564271105335
2,44,0.7095785783866537,0.7075637998772227,0.9428094265372797,0.22316422258851265,0.9251756477142739,0.8684287234854168,60,84,0,1,1,0.05856603926380455
3,45,0.9181566209595229,0.608050861501454,0.9181566209595229,0.7887150744029063,0.925201586302884,0.8989406265917904,2,90,0,1,0,0.05844917796340454
4,46,0.839095498706595,0.7323243361274185,0.9569961539657872,0.5904335241156281,0.9252592649326836,0.9185733704550811,65,88,0,1,0,0.05159784975369175
5,47,0.8438894740653449,0.6217125917313093,0.8621883641202415,0.5802450410177131,0.9252080679311417,0.9805161657384657,7,18,0,1,0,0.06146035998603783
6,48,0.9374849178832352,0.6201988396120492,0.9374849178832352,0.8412250104642767,0.925252138817196,0.9357262980034384,34,77,0,1,0,0.04299550504141225
7,49,0.8617279090238879,0.7022398080983725,0.9090354652561597,0.6658909459698654,0.9252553783281451,0.9082942389155401,7,12,0,1,0,0.05712813557006591
8,50,0.8437821500736506,0.7200868188936882,0.9229218133883326,0.6618884923813915,0.9252443640751984,0.9061935212002704,17,43,0,1,0,0.04453147775231481
9,51,0.7040396421783465,0.592210912118027,0.8846192548754729,0.2735337551802168,0.9252054751652421,0.7809873044267075,17,,0,0,1,0.0476290025956837
10,52,0.840551137117553,0.6147432248971136,0.9139929473049921,0.5882533433719601,0.9252210326877286,0.9648887412997725,21,97,0,1,0,0.04717070297377868
11,53,0.8279674945710762,0.7605399347470684,0.9808761565909732,0.5737354408221642,0.9252871176012973,0.8893071274757283,62,69,0,1,0,0.04848898067343843
12,54,0.7759051723662982,0.6803872973186411,0.9223197857391334,0.5315612071716517,0.9252579689092315,0.9087023167434239,12,52,0,1,1,0.04816010235861823
13,55,0.9664643531199225,0.7286701168792864,0.9685063151239229,0.9229828321391434,0.925284526834805,0.8823990488676362,43,63,0,1,0,0.04207999880471025
14,56,0.7354417437867178,0.6807157977588977,0.8846192548754729,0.4355511130055415,0.9252268656273145,0.7935099438899352,12,32,0,1,1,0.04429412179124048
15,57,0.6881747031383305,0.6040274206749858,0.8903160173055342,0.3043000996065511,0.9252197360856701,0.806590302158973,18,,0,0,1,0.04593447681883844
16,58,0.9070634039720384,0.7785863835106182,0.9526138427964168,0.6993294390496892,0.9253266108976604,0.9678182791488421,62,68,0,1,0,0.046062687405432734
17,59,0.7794231290278033,0.7041799721393454,0.9627542601450496,0.5494387674493993,0.9252547297633166,0.8833053567530668,57,,0,0,1,0.04418920999641485
18,60,0.6854558572107806,0.6186043874668232,0.8776458897165245,0.2795845933400521,0.9252333462612146,0.795195024353918,6,,0,0,1,0.05508284144665465
19,61,0.841440887400787,0.8211540863123022,0.9429571609886556,0.4169800934951256,0.9252955358438226,0.9769684705347328,,,1,0,0,0.052474946927014154
