topology,k_D,k_C,alpha,propagation_share,avg_breached_nodes
chain,0.10,0.02,0.050,0.0900,0.0900
star,0.10,0.02,0.050,0.7400,1.1300
random_sparse,0.10,0.02,0.050,0.0700,0.0800
fully_connected,0.10,0.02,0.050,0.2700,0.4500
chain,0.10,0.02,0.060,0.0800,0.0800
star,0.10,0.02,0.060,0.7300,1.1100
random_sparse,0.10,0.02,0.060,0.0600,0.0600
fully_connected,0.10,0.02,0.060,0.2700,0.4500
chain,0.10,0.02,0.070,0.0800,0.0800
star,0.10,0.02,0.070,0.7200,1.1000
random_sparse,0.10,0.02,0.070,0.0600,0.0600
fully_connected,0.10,0.02,0.070,0.2700,0.4500
chain,0.10,0.02,0.080,0.0800,0.0800
star,0.10,0.02,0.080,0.7100,1.0900
random_sparse,0.10,0.02,0.080,0.0600,0.0600
fully_connected,0.10,0.02,0.080,0.2500,0.3800
chain,0.10,0.02,0.090,0.0800,0.0800
star,0.10,0.02,0.090,0.7100,1.0800
random_sparse,0.10,0.02,0.090,0.0600,0.0600
fully_connected,0.10,0.02,0.090,0.2500,0.3700
chain,0.10,0.02,0.100,0.0700,0.0700
star,0.10,0.02,0.100,0.7100,1.0700
random_sparse,0.10,0.02,0.100,0.0600,0.0600
fully_connected,0.10,0.02,0.100,0.2500,0.3700
chain,0.10,0.02,0.110,0.0700,0.0700
star,0.10,0.02,0.110,0.6900,1.0400
random_sparse,0.10,0.02,0.110,0.0600,0.0600
fully_connected,0.10,0.02,0.110,0.2500,0.3700
chain,0.10,0.02,0.120,0.0700,0.0700
star,0.10,0.02,0.120,0.6900,1.0100
random_sparse,0.10,0.02,0.120,0.0600,0.0600
fully_connected,0.10,0.02,0.120,0.2500,0.3700
chain,0.10,0.02,0.130,0.0700,0.0700
star,0.10,0.02,0.130,0.6700,0.9900
random_sparse,0.10,0.02,0.130,0.0600,0.0600
fully_connected,0.10,0.02,0.130,0.2500,0.3700
chain,0.10,0.02,0.140,0.0700,0.0700
star,0.10,0.02,0.140,0.6600,0.9700
random_sparse,0.10,0.02,0.140,0.0500,0.0500
fully_connected,0.10,0.02,0.140,0.2500,0.3600
chain,0.10,0.02,0.150,0.0700,0.0700
star,0.10,0.02,0.150,0.6600,0.9700
random_sparse,0.10,0.02,0.150,0.0500,0.0500
fully_connected,0.10,0.02,0.150,0.2400,0.3500
