country,gdp_per_capita,life_expectancy,infant_mortality,education_index,gini,co2_emissions,internet_access
USA,76329,77.4,5.4,0.9,41.3,14.9,92.0
CAN,53372,81.6,4.3,0.89,33.3,14.2,95.0
DEU,52086,80.9,3.1,0.91,31.7,8.1,93.4
FRA,43518,82.4,3.6,0.89,32.4,4.7,92.2
GBR,46714,80.7,3.6,0.9,35.1,5.1,95.0
JPN,33834,84.5,1.8,0.91,32.9,8.5,93.0
KOR,33147,83.6,2.5,0.92,31.4,11.7,97.1
AUS,65099,83.0,3.1,0.92,34.3,14.8,96.0
BRA,8917,75.3,11.7,0.71,52.0,2.3,84.7
MEX,11496,75.0,12.0,0.75,45.4,3.5,78.6
CHN,12614,78.2,5.4,0.76,38.5,8.9,76.4
IND,2389,67.7,27.7,0.56,35.7,1.9,47.0
IDN,4788,71.7,18.3,0.66,37.9,2.4,69.2
TUR,10616,77.1,8.8,0.75,41.9,4.8,81.4
ZAF,6558,62.9,24.0,0.7,63.0,6.6,75.0
NGA,2162,53.6,54.7,0.5,35.1,0.7,55.4
EGY,4295,70.2,16.8,0.64,31.5,2.5,72.2
ARG,13685,76.1,8.1,0.8,42.3,4.2,87.2
CHL,17100,80.0,6.0,0.82,43.0,4.5,90.0
SWE,55873,83.1,2.1,0.92,29.8,3.3,96.5
