topology,fail_coupling,trust_coupling,avg_total_fail_coupling,avg_total_trust_coupling,runs,stable_run_rate,meta_trigger_rate,synchronized_collapse_rate,fragmentation_rate,avg_final_trust,avg_divergence_peak
federation,0.04,0.0,0.2,0.0,60,1.0,0.0,0.0,0.0,0.9549,0.2278
federation,0.04,0.04,0.2,0.2,60,1.0,0.0,0.0,0.0,0.9781,0.2207
federation,0.04,0.08,0.2,0.4,60,1.0,0.0,0.0,0.0,0.9978,0.2121
federation,0.04,0.12,0.2,0.6,60,1.0,0.0,0.0,0.0,1.0,0.209
federation,0.04,0.16,0.2,0.8,60,1.0,0.0,0.0,0.0,1.0,0.2077
federation,0.08,0.0,0.4,0.0,60,1.0,0.0,0.0,0.0,0.9451,0.2256
federation,0.08,0.04,0.4,0.2,60,1.0,0.0,0.0,0.0,0.9535,0.2173
federation,0.08,0.08,0.4,0.4,60,1.0,0.0,0.0,0.0,0.9709,0.209
federation,0.08,0.12,0.4,0.6,60,1.0,0.0,0.0,0.0,0.9861,0.2058
federation,0.08,0.16,0.4,0.8,60,1.0,0.0,0.0,0.0,0.9972,0.2025
federation,0.12,0.0,0.6,0.0,60,1.0,0.0,0.0,0.0,0.8881,0.2189
federation,0.12,0.04,0.6,0.2,60,1.0,0.0,0.0,0.0,0.9011,0.2117
federation,0.12,0.08,0.6,0.4,60,1.0,0.0,0.0,0.0,0.9072,0.2077
federation,0.12,0.12,0.6,0.6,60,1.0,0.0,0.0,0.0,0.9152,0.2036
federation,0.12,0.16,0.6,0.8,60,1.0,0.0,0.0,0.0,0.9262,0.2004
federation,0.16,0.0,0.8,0.0,60,0.0,0.5167,0.0,0.0,0.5226,0.214
federation,0.16,0.04,0.8,0.2,60,0.05,0.0,0.0,0.0,0.5533,0.2096
federation,0.16,0.08,0.8,0.4,60,0.3,0.0,0.0,0.0,0.5697,0.2074
federation,0.16,0.12,0.8,0.6,60,0.5667,0.0,0.0,0.0,0.584,0.202
federation,0.16,0.16,0.8,0.8,60,0.7,0.0,0.0,0.0,0.587,0.2004
federation,0.2,0.0,1.0,0.0,60,0.0,0.8167,1.0,0.0,0.1239,0.2077
federation,0.2,0.04,1.0,0.2,60,0.0,0.5333,1.0,0.0,0.1313,0.2073
federation,0.2,0.08,1.0,0.4,60,0.0,0.1167,1.0,0.0,0.1389,0.2051
federation,0.2,0.12,1.0,0.6,60,0.0,0.0,1.0,0.0,0.1456,0.2027
federation,0.2,0.16,1.0,0.8,60,0.0,0.0,1.0,0.0,0.1473,0.2001
ring,0.04,0.0,0.08,0.0,60,1.0,0.0,0.0,0.0,0.9542,0.2319
ring,0.04,0.04,0.08,0.08,60,1.0,0.0,0.0,0.0,0.9769,0.2254
ring,0.04,0.08,0.08,0.16,60,1.0,0.0,0.0,0.0,0.9974,0.2167
ring,0.04,0.12,0.08,0.24,60,1.0,0.0,0.0,0.0,1.0,0.2127
ring,0.04,0.16,0.08,0.32,60,1.0,0.0,0.0,0.0,1.0,0.2107
ring,0.08,0.0,0.16,0.0,60,1.0,0.0,0.0,0.0,0.9449,0.2357
ring,0.08,0.04,0.16,0.08,60,1.0,0.0,0.0,0.0,0.9525,0.2285
ring,0.08,0.08,0.16,0.16,60,1.0,0.0,0.0,0.0,0.9699,0.22
ring,0.08,0.12,0.16,0.24,60,1.0,0.0,0.0,0.0,0.985,0.2142
ring,0.08,0.16,0.16,0.32,60,1.0,0.0,0.0,0.0,0.9965,0.2089
ring,0.12,0.0,0.24,0.0,60,1.0,0.0,0.0,0.0,0.9126,0.2343
ring,0.12,0.04,0.24,0.08,60,1.0,0.0,0.0,0.0,0.9223,0.2277
ring,0.12,0.08,0.24,0.16,60,1.0,0.0,0.0,0.0,0.9266,0.2234
ring,0.12,0.12,0.24,0.24,60,1.0,0.0,0.0,0.0,0.9336,0.2202
ring,0.12,0.16,0.24,0.32,60,1.0,0.0,0.0,0.0,0.9419,0.2136
ring,0.16,0.0,0.32,0.0,60,0.6,0.4,0.0,0.0,0.6078,0.25
ring,0.16,0.04,0.32,0.08,60,1.0,0.0,0.0,0.0,0.6359,0.2304
ring,0.16,0.08,0.32,0.16,60,1.0,0.0,0.0,0.0,0.6522,0.2262
ring,0.16,0.12,0.32,0.24,60,1.0,0.0,0.0,0.0,0.6671,0.2212
ring,0.16,0.16,0.32,0.32,60,1.0,0.0,0.0,0.0,0.673,0.2203
ring,0.2,0.0,0.4,0.0,60,0.0,0.6333,0.0167,0.0,0.2567,0.2556
ring,0.2,0.04,0.4,0.08,60,0.0,0.4167,0.0,0.0,0.2642,0.2418
ring,0.2,0.08,0.4,0.16,60,0.0,0.05,0.0,0.0,0.2716,0.2337
ring,0.2,0.12,0.4,0.24,60,0.0,0.0167,0.0,0.0,0.2748,0.2294
ring,0.2,0.16,0.4,0.32,60,0.0,0.0,0.0,0.0,0.2755,0.2234
