recovery_scale,control_scale,alpha_scale,stable_to_metastable_disturbance_threshold,metastable_to_collapse_disturbance_threshold
0.8,0.85,0.85,1.0,1.2
0.8,0.85,1.0,1.0,1.2
0.8,0.85,1.15,1.0,1.2
0.8,0.85,1.3,1.0,1.0
0.8,1.0,0.85,1.2,1.2
0.8,1.0,1.0,1.2,1.2
0.8,1.0,1.15,1.2,1.2
0.8,1.0,1.3,1.2,1.2
0.8,1.15,0.85,1.2,1.35
0.8,1.15,1.0,1.35,1.35
0.8,1.15,1.15,1.35,1.35
0.8,1.15,1.3,1.2,1.35
1.0,0.85,0.85,1.2,1.2
1.0,0.85,1.0,1.0,1.2
1.0,0.85,1.15,1.0,1.2
1.0,0.85,1.3,1.0,1.0
1.0,1.0,0.85,1.2,1.2
1.0,1.0,1.0,1.2,1.2
1.0,1.0,1.15,1.2,1.2
1.0,1.0,1.3,1.2,1.2
1.0,1.15,0.85,1.35,1.35
1.0,1.15,1.0,1.35,1.35
1.0,1.15,1.15,1.35,1.35
1.0,1.15,1.3,1.35,1.35
1.15,0.85,0.85,1.0,1.2
1.15,0.85,1.0,1.0,1.2
1.15,0.85,1.15,1.0,1.2
1.15,0.85,1.3,1.0,1.2
1.15,1.0,0.85,1.2,1.2
1.15,1.0,1.0,1.2,1.2
1.15,1.0,1.15,1.2,1.2
1.15,1.0,1.3,1.2,1.2
1.15,1.15,0.85,1.35,1.35
1.15,1.15,1.0,1.35,1.35
1.15,1.15,1.15,1.35,1.35
1.15,1.15,1.3,1.2,1.35
1.3,0.85,0.85,1.0,1.2
1.3,0.85,1.0,1.0,1.0
1.3,0.85,1.15,1.0,1.2
1.3,0.85,1.3,1.0,1.2
1.3,1.0,0.85,1.2,1.2
1.3,1.0,1.0,1.2,1.2
1.3,1.0,1.15,1.2,1.2
1.3,1.0,1.3,1.2,1.2
1.3,1.15,0.85,1.35,1.35
1.3,1.15,1.0,1.2,1.35
1.3,1.15,1.15,1.35,1.35
1.3,1.15,1.3,1.35,1.35
