disturbance_scale,recovery_scale,control_scale,alpha_scale,regime,collapse_rate,metastable_rate,mean_final_trust,mean_final_disturbance,mean_final_cognition
0.8,0.8,0.85,0.85,stable,0.0,0.0833,1.0,0.1231,0.107
0.8,0.8,0.85,1.0,stable,0.0,0.0833,0.9953,0.1189,0.1268
0.8,0.8,0.85,1.15,stable,0.0,0.0833,1.0,0.1195,0.1446
0.8,0.8,0.85,1.3,stable,0.0,0.1667,0.9879,0.1199,0.1652
0.8,0.8,1.0,0.85,stable,0.0,0.0,1.0,0.0969,0.0698
0.8,0.8,1.0,1.0,stable,0.0,0.0,1.0,0.0983,0.0892
0.8,0.8,1.0,1.15,stable,0.0,0.0,1.0,0.1001,0.1019
0.8,0.8,1.0,1.3,stable,0.0,0.0,1.0,0.103,0.1174
0.8,0.8,1.15,0.85,stable,0.0,0.0,1.0,0.0838,0.0563
0.8,0.8,1.15,1.0,stable,0.0,0.0,1.0,0.0815,0.0632
0.8,0.8,1.15,1.15,stable,0.0,0.0,1.0,0.08,0.074
0.8,0.8,1.15,1.3,stable,0.0,0.0,1.0,0.0829,0.0807
0.8,1.0,0.85,0.85,stable,0.0,0.0,1.0,0.1187,0.1062
0.8,1.0,0.85,1.0,stable,0.0,0.0,1.0,0.124,0.1291
0.8,1.0,0.85,1.15,stable,0.0,0.0,1.0,0.1216,0.1506
0.8,1.0,0.85,1.3,stable,0.0,0.0,1.0,0.1192,0.1637
0.8,1.0,1.0,0.85,stable,0.0,0.0,1.0,0.0951,0.076
0.8,1.0,1.0,1.0,stable,0.0,0.0,1.0,0.1028,0.0905
0.8,1.0,1.0,1.15,stable,0.0,0.0,1.0,0.0976,0.1022
0.8,1.0,1.0,1.3,stable,0.0,0.0,1.0,0.0948,0.11
0.8,1.0,1.15,0.85,stable,0.0,0.0,1.0,0.0844,0.0566
0.8,1.0,1.15,1.0,stable,0.0,0.0,1.0,0.0841,0.0648
0.8,1.0,1.15,1.15,stable,0.0,0.0,1.0,0.0895,0.0808
0.8,1.0,1.15,1.3,stable,0.0,0.0,1.0,0.0823,0.0824
0.8,1.15,0.85,0.85,stable,0.0,0.0,1.0,0.1204,0.105
0.8,1.15,0.85,1.0,stable,0.0,0.0,1.0,0.1189,0.1272
0.8,1.15,0.85,1.15,stable,0.0,0.0,1.0,0.1241,0.15
0.8,1.15,0.85,1.3,stable,0.0,0.0833,1.0,0.1242,0.1672
0.8,1.15,1.0,0.85,stable,0.0,0.0,1.0,0.0989,0.0761
0.8,1.15,1.0,1.0,stable,0.0,0.0,1.0,0.0967,0.0864
0.8,1.15,1.0,1.15,stable,0.0,0.0,1.0,0.0949,0.1011
0.8,1.15,1.0,1.3,stable,0.0,0.0,1.0,0.0975,0.1103
0.8,1.15,1.15,0.85,stable,0.0,0.0,1.0,0.0826,0.0522
0.8,1.15,1.15,1.0,stable,0.0,0.0,1.0,0.08,0.0633
0.8,1.15,1.15,1.15,stable,0.0,0.0,1.0,0.0852,0.0693
0.8,1.15,1.15,1.3,stable,0.0,0.0,1.0,0.0789,0.078
0.8,1.3,0.85,0.85,stable,0.0,0.0,1.0,0.1195,0.1074
0.8,1.3,0.85,1.0,stable,0.0,0.0,1.0,0.1199,0.1274
0.8,1.3,0.85,1.15,stable,0.0,0.1667,1.0,0.1264,0.1631
0.8,1.3,0.85,1.3,stable,0.0,0.0,1.0,0.1226,0.1692
0.8,1.3,1.0,0.85,stable,0.0,0.0,1.0,0.1001,0.0756
0.8,1.3,1.0,1.0,stable,0.0,0.0,1.0,0.103,0.0905
0.8,1.3,1.0,1.15,stable,0.0,0.0,1.0,0.1,0.1041
0.8,1.3,1.0,1.3,stable,0.0,0.0,1.0,0.0992,0.1151
0.8,1.3,1.15,0.85,stable,0.0,0.0,1.0,0.08,0.0544
0.8,1.3,1.15,1.0,stable,0.0,0.0,1.0,0.0829,0.062
0.8,1.3,1.15,1.15,stable,0.0,0.0,1.0,0.0819,0.0749
0.8,1.3,1.15,1.3,stable,0.0,0.0,1.0,0.0851,0.0836
1.0,0.8,0.85,0.85,metastable,0.1667,0.3333,0.9663,0.1621,0.1428
1.0,0.8,0.85,1.0,metastable,0.3333,0.5,0.8838,0.1541,0.1635
1.0,0.8,0.85,1.15,metastable,0.4167,0.5,0.8241,0.1518,0.1822
1.0,0.8,0.85,1.3,collapse,0.6667,0.0833,0.7269,0.163,0.2191
1.0,0.8,1.0,0.85,stable,0.0,0.0,1.0,0.125,0.09
1.0,0.8,1.0,1.0,stable,0.0,0.0,1.0,0.1284,0.1063
1.0,0.8,1.0,1.15,stable,0.0,0.0,1.0,0.1248,0.1218
1.0,0.8,1.0,1.3,stable,0.0,0.0,1.0,0.1299,0.1446
1.0,0.8,1.15,0.85,stable,0.0,0.0,1.0,0.1028,0.0672
1.0,0.8,1.15,1.0,stable,0.0,0.0,1.0,0.1085,0.0827
1.0,0.8,1.15,1.15,stable,0.0,0.0,1.0,0.1028,0.0883
1.0,0.8,1.15,1.3,stable,0.0,0.0,1.0,0.1052,0.1059
1.0,1.0,0.85,0.85,stable,0.0833,0.3333,1.0,0.1535,0.1323
1.0,1.0,0.85,1.0,metastable,0.1667,0.3333,0.9187,0.1625,0.1746
1.0,1.0,0.85,1.15,metastable,0.1667,0.3333,0.9036,0.1484,0.1754
1.0,1.0,0.85,1.3,collapse,0.5,0.3333,0.794,0.1625,0.2215
1.0,1.0,1.0,0.85,stable,0.0,0.0,1.0,0.1315,0.094
1.0,1.0,1.0,1.0,stable,0.0,0.0,1.0,0.1211,0.113
1.0,1.0,1.0,1.15,stable,0.0,0.0833,1.0,0.1247,0.1304
1.0,1.0,1.0,1.3,stable,0.0,0.0833,1.0,0.1277,0.1485
1.0,1.0,1.15,0.85,stable,0.0,0.0,1.0,0.1063,0.0667
1.0,1.0,1.15,1.0,stable,0.0,0.0,1.0,0.1079,0.0832
1.0,1.0,1.15,1.15,stable,0.0,0.0,1.0,0.1063,0.09
1.0,1.0,1.15,1.3,stable,0.0,0.0,1.0,0.11,0.1039
1.0,1.15,0.85,0.85,metastable,0.1667,0.1667,0.9982,0.1536,0.1332
1.0,1.15,0.85,1.0,metastable,0.25,0.25,0.952,0.1591,0.1613
1.0,1.15,0.85,1.15,metastable,0.1667,0.5,0.9652,0.1521,0.1776
1.0,1.15,0.85,1.3,metastable,0.1667,0.4167,0.8979,0.1595,0.2086
1.0,1.15,1.0,0.85,stable,0.0,0.0,1.0,0.1221,0.0924
1.0,1.15,1.0,1.0,stable,0.0,0.0,1.0,0.1291,0.1135
1.0,1.15,1.0,1.15,stable,0.0,0.0,1.0,0.1218,0.122
1.0,1.15,1.0,1.3,stable,0.0,0.0,1.0,0.1254,0.1452
1.0,1.15,1.15,0.85,stable,0.0,0.0,1.0,0.1055,0.0718
1.0,1.15,1.15,1.0,stable,0.0,0.0,1.0,0.107,0.0833
1.0,1.15,1.15,1.15,stable,0.0,0.0,1.0,0.1069,0.0948
1.0,1.15,1.15,1.3,stable,0.0,0.0,1.0,0.1109,0.1109
1.0,1.3,0.85,0.85,metastable,0.25,0.1667,0.9951,0.1518,0.1336
1.0,1.3,0.85,1.0,collapse,0.5833,0.0,0.9715,0.163,0.1684
1.0,1.3,0.85,1.15,metastable,0.3333,0.5,0.955,0.1606,0.1917
1.0,1.3,0.85,1.3,metastable,0.4167,0.5,0.849,0.1646,0.2217
1.0,1.3,1.0,0.85,stable,0.0,0.0,1.0,0.1248,0.0888
1.0,1.3,1.0,1.0,stable,0.0,0.0,1.0,0.1299,0.1111
1.0,1.3,1.0,1.15,stable,0.0,0.0,1.0,0.1275,0.1295
1.0,1.3,1.0,1.3,stable,0.0,0.0,1.0,0.1281,0.1468
1.0,1.3,1.15,0.85,stable,0.0,0.0,1.0,0.1028,0.0643
1.0,1.3,1.15,1.0,stable,0.0,0.0,1.0,0.1052,0.0815
1.0,1.3,1.15,1.15,stable,0.0,0.0,1.0,0.1083,0.0966
1.0,1.3,1.15,1.3,stable,0.0,0.0,1.0,0.105,0.1033
1.2,0.8,0.85,0.85,collapse,1.0,0.0,0.6786,0.1948,0.18
1.2,0.8,0.85,1.0,collapse,1.0,0.0,0.6216,0.1961,0.2025
1.2,0.8,0.85,1.15,collapse,1.0,0.0,0.5957,0.1891,0.2231
1.2,0.8,0.85,1.3,collapse,1.0,0.0,0.5455,0.1821,0.246
1.2,0.8,1.0,0.85,collapse,0.8333,0.0,0.9999,0.1594,0.1181
1.2,0.8,1.0,1.0,collapse,0.6667,0.0833,0.9717,0.1582,0.1377
1.2,0.8,1.0,1.15,collapse,0.8333,0.0,0.9206,0.1567,0.1659
1.2,0.8,1.0,1.3,collapse,0.8333,0.0833,0.8629,0.1608,0.1772
1.2,0.8,1.15,0.85,metastable,0.1667,0.0,1.0,0.1286,0.078
1.2,0.8,1.15,1.0,stable,0.0,0.0,1.0,0.1276,0.0989
1.2,0.8,1.15,1.15,stable,0.0833,0.0833,0.9987,0.132,0.1159
1.2,0.8,1.15,1.3,metastable,0.1667,0.0,1.0,0.1358,0.1304
1.2,1.0,0.85,0.85,collapse,1.0,0.0,0.7055,0.1981,0.1747
1.2,1.0,0.85,1.0,collapse,1.0,0.0,0.6949,0.196,0.1893
1.2,1.0,0.85,1.15,collapse,1.0,0.0,0.6624,0.1893,0.2227
1.2,1.0,0.85,1.3,collapse,1.0,0.0,0.5858,0.1897,0.2596
1.2,1.0,1.0,0.85,collapse,0.8333,0.0,0.989,0.1531,0.1169
1.2,1.0,1.0,1.0,collapse,0.8333,0.0,1.0,0.156,0.1429
1.2,1.0,1.0,1.15,collapse,0.5,0.0,0.9678,0.1531,0.1552
1.2,1.0,1.0,1.3,collapse,0.75,0.0833,0.9656,0.1487,0.169
1.2,1.0,1.15,0.85,stable,0.0,0.0,1.0,0.1311,0.0848
1.2,1.0,1.15,1.0,stable,0.0,0.0,1.0,0.1339,0.1009
1.2,1.0,1.15,1.15,stable,0.0833,0.0,1.0,0.1287,0.1174
1.2,1.0,1.15,1.3,stable,0.0,0.0,1.0,0.1304,0.1244
1.2,1.15,0.85,0.85,collapse,1.0,0.0,0.8338,0.1941,0.1738
1.2,1.15,0.85,1.0,collapse,1.0,0.0,0.7053,0.1965,0.2016
1.2,1.15,0.85,1.15,collapse,1.0,0.0,0.6844,0.1938,0.2384
