topology,node_count,regime_name,k_d,k_c,k_t,cascade_probability,fragmentation_rate,false_stability_rate,avg_time_to_systemic_collapse,avg_mean_final_trust,avg_healthy_cluster_ratio
fully_connected,20,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,0.9991,1.0
fully_connected,20,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,0.9999,1.0
fully_connected,20,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,20,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,20,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,20,weak,0.04,0.03,0.2,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,20,weak,0.04,0.03,k_T_star,0.0,,,,,
fully_connected,20,intermediate,0.1,0.08,0.0,0.0,0.0,0.0,-1,0.8276,1.0
fully_connected,20,intermediate,0.1,0.08,0.04,0.0,0.0,0.0,-1,0.889,1.0
fully_connected,20,intermediate,0.1,0.08,0.08,0.0,0.0,0.0,-1,0.9212,1.0
fully_connected,20,intermediate,0.1,0.08,0.12,0.0,0.0,0.0,-1,0.9658,1.0
fully_connected,20,intermediate,0.1,0.08,0.16,0.0,0.0,0.0,-1,0.9787,1.0
fully_connected,20,intermediate,0.1,0.08,0.2,0.0,0.0,0.0,-1,0.988,1.0
fully_connected,20,intermediate,0.1,0.08,k_T_star,0.0,,,,,
fully_connected,20,strong,0.16,0.14,0.0,1.0,0.0,0.0,22.0,0.0,0.0
fully_connected,20,strong,0.16,0.14,0.04,1.0,0.0,0.0,21.9167,0.0,0.0
fully_connected,20,strong,0.16,0.14,0.08,1.0,0.0,0.0,22.1667,0.0,0.0
fully_connected,20,strong,0.16,0.14,0.12,1.0,0.0,0.0,22.3333,0.0,0.0
fully_connected,20,strong,0.16,0.14,0.16,1.0,0.0,0.0,22.5,0.0,0.0
fully_connected,20,strong,0.16,0.14,0.2,1.0,0.0,0.0,22.4167,0.0,0.0
fully_connected,20,strong,0.16,0.14,k_T_star,not_found,,,,,
fully_connected,50,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,0.9984,1.0
fully_connected,50,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,50,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,50,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,50,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,50,weak,0.04,0.03,0.2,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,50,weak,0.04,0.03,k_T_star,0.0,,,,,
fully_connected,50,intermediate,0.1,0.08,0.0,0.0,0.0,0.0,-1,0.8578,1.0
fully_connected,50,intermediate,0.1,0.08,0.04,0.0,0.0,0.0,-1,0.9035,1.0
fully_connected,50,intermediate,0.1,0.08,0.08,0.0,0.0,0.0,-1,0.9709,1.0
fully_connected,50,intermediate,0.1,0.08,0.12,0.0,0.0,0.0,-1,0.9803,1.0
fully_connected,50,intermediate,0.1,0.08,0.16,0.0,0.0,0.0,-1,0.9911,1.0
fully_connected,50,intermediate,0.1,0.08,0.2,0.0,0.0,0.0,-1,0.9934,1.0
fully_connected,50,intermediate,0.1,0.08,k_T_star,0.0,,,,,
fully_connected,50,strong,0.16,0.14,0.0,1.0,0.0,0.0,22.3333,0.0,0.0
fully_connected,50,strong,0.16,0.14,0.04,1.0,0.0,0.0,22.4167,0.0,0.0
fully_connected,50,strong,0.16,0.14,0.08,1.0,0.0,0.0,22.6667,0.0,0.0
fully_connected,50,strong,0.16,0.14,0.12,1.0,0.0,0.0,22.8333,0.0,0.0
fully_connected,50,strong,0.16,0.14,0.16,1.0,0.0,0.0,23.0833,0.0,0.0
fully_connected,50,strong,0.16,0.14,0.2,1.0,0.0,0.0,23.25,0.0,0.0
fully_connected,50,strong,0.16,0.14,k_T_star,not_found,,,,,
fully_connected,100,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,0.9995,1.0
fully_connected,100,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,100,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,100,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,100,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,100,weak,0.04,0.03,0.2,0.0,0.0,0.0,-1,1.0,1.0
fully_connected,100,weak,0.04,0.03,k_T_star,0.0,,,,,
fully_connected,100,intermediate,0.1,0.08,0.0,0.0,0.0,0.0,-1,0.8754,1.0
fully_connected,100,intermediate,0.1,0.08,0.04,0.0,0.0,0.0,-1,0.9384,1.0
fully_connected,100,intermediate,0.1,0.08,0.08,0.0,0.0,0.0,-1,0.9683,1.0
fully_connected,100,intermediate,0.1,0.08,0.12,0.0,0.0,0.0,-1,0.9835,1.0
fully_connected,100,intermediate,0.1,0.08,0.16,0.0,0.0,0.0,-1,0.9937,1.0
fully_connected,100,intermediate,0.1,0.08,0.2,0.0,0.0,0.0,-1,0.9969,1.0
fully_connected,100,intermediate,0.1,0.08,k_T_star,0.0,,,,,
fully_connected,100,strong,0.16,0.14,0.0,1.0,0.0,0.0,22.3333,0.0,0.0
fully_connected,100,strong,0.16,0.14,0.04,1.0,0.0,0.0,22.5,0.0,0.0
fully_connected,100,strong,0.16,0.14,0.08,1.0,0.0,0.0,22.75,0.0,0.0
fully_connected,100,strong,0.16,0.14,0.12,1.0,0.0,0.0,22.9167,0.0,0.0
fully_connected,100,strong,0.16,0.14,0.16,1.0,0.0,0.0,23.0,0.0,0.0
fully_connected,100,strong,0.16,0.14,0.2,1.0,0.0,0.0,23.25,0.0,0.0
fully_connected,100,strong,0.16,0.14,k_T_star,not_found,,,,,
random,20,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,0.2,0.0,0.0,0.0,-1,1.0,1.0
random,20,weak,0.04,0.03,k_T_star,0.0,,,,,
random,20,intermediate,0.1,0.08,0.0,0.0,0.0,0.0,-1,0.7591,1.0
random,20,intermediate,0.1,0.08,0.04,0.0,0.0,0.0,-1,0.8375,1.0
random,20,intermediate,0.1,0.08,0.08,0.0,0.0,0.0,-1,0.9311,1.0
random,20,intermediate,0.1,0.08,0.12,0.0,0.0,0.0,-1,0.9364,1.0
random,20,intermediate,0.1,0.08,0.16,0.0,0.0,0.0,-1,0.9652,1.0
random,20,intermediate,0.1,0.08,0.2,0.0,0.0,0.0,-1,0.9779,1.0
random,20,intermediate,0.1,0.08,k_T_star,0.0,,,,,
random,20,strong,0.16,0.14,0.0,1.0,0.0,0.0,21.6667,0.0,0.0
random,20,strong,0.16,0.14,0.04,1.0,0.0,0.0,21.4167,0.0,0.0
random,20,strong,0.16,0.14,0.08,1.0,0.0,0.0,22.3333,0.0,0.0
random,20,strong,0.16,0.14,0.12,1.0,0.0,0.0,22.1667,0.0,0.0
random,20,strong,0.16,0.14,0.16,1.0,0.0,0.0,22.3333,0.0,0.0
random,20,strong,0.16,0.14,0.2,1.0,0.0,0.0,22.5833,0.0,0.0
random,20,strong,0.16,0.14,k_T_star,not_found,,,,,
random,50,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,0.9998,1.0
random,50,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,1.0,1.0
random,50,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
random,50,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
random,50,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
random,50,weak,0.04,0.03,0.2,0.0,0.0,0.0,-1,1.0,1.0
random,50,weak,0.04,0.03,k_T_star,0.0,,,,,
random,50,intermediate,0.1,0.08,0.0,0.0,0.0,0.0,-1,0.8502,1.0
random,50,intermediate,0.1,0.08,0.04,0.0,0.0,0.0,-1,0.8986,1.0
random,50,intermediate,0.1,0.08,0.08,0.0,0.0,0.0,-1,0.9492,1.0
random,50,intermediate,0.1,0.08,0.12,0.0,0.0,0.0,-1,0.9747,1.0
random,50,intermediate,0.1,0.08,0.16,0.0,0.0,0.0,-1,0.989,1.0
random,50,intermediate,0.1,0.08,0.2,0.0,0.0,0.0,-1,0.9926,1.0
random,50,intermediate,0.1,0.08,k_T_star,0.0,,,,,
random,50,strong,0.16,0.14,0.0,1.0,0.0,0.0,22.0833,0.0,0.0
random,50,strong,0.16,0.14,0.04,1.0,0.0,0.0,22.4167,0.0,0.0
random,50,strong,0.16,0.14,0.08,1.0,0.0,0.0,22.5833,0.0,0.0
random,50,strong,0.16,0.14,0.12,1.0,0.0,0.0,22.8333,0.0,0.0
random,50,strong,0.16,0.14,0.16,1.0,0.0,0.0,23.0833,0.0,0.0
random,50,strong,0.16,0.14,0.2,1.0,0.0,0.0,23.1667,0.0,0.0
random,50,strong,0.16,0.14,k_T_star,not_found,,,,,
random,100,weak,0.04,0.03,0.0,0.0,0.0,0.0,-1,0.9998,1.0
random,100,weak,0.04,0.03,0.04,0.0,0.0,0.0,-1,1.0,1.0
random,100,weak,0.04,0.03,0.08,0.0,0.0,0.0,-1,1.0,1.0
random,100,weak,0.04,0.03,0.12,0.0,0.0,0.0,-1,1.0,1.0
random,100,weak,0.04,0.03,0.16,0.0,0.0,0.0,-1,1.0,1.0
