k_D_value,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.05,0,42,0.33714634295889884,0.28546300629827287,0.1135593220338985,0.3050847457627119,0,,0,0.9415420720547781,0.9415420720547781,0
0.05,1,43,0.3548195360279429,0.24944357683442747,0.1164971751412431,0.423728813559322,0,,0,0.9550310169468821,0.9550310169468821,0
0.05,2,44,0.362744889765641,0.274069344317988,0.10983050847457648,0.3559322033898305,0,,0,0.9542549056964431,0.9542549056964431,0
0.05,3,45,0.8711356255935674,0.7697496440837173,0.9489265536723163,1.0,1,10,140,0.16969700684729325,0.16969700684729325,1
0.05,4,46,0.8445664754457353,0.7407212743917793,0.9487005649717514,1.0,1,10,140,0.20491447505877886,0.20491447505877886,1
0.05,5,47,0.351801533660371,0.274665760683222,0.0966101694915255,0.2711864406779661,0,,0,0.951363184472327,0.951363184472327,0
0.05,6,48,0.34813079005094955,0.267608256469339,0.1288135593220341,0.559322033898305,0,,0,0.9294661709712528,0.9294661709712528,0
0.05,7,49,0.3646131953028057,0.27470768030264736,0.09536723163841815,0.2542372881355932,0,,0,0.9451241423464978,0.9451241423464978,0
0.05,8,50,0.3798034342007236,0.2712849694461163,0.12406779661016971,0.4576271186440678,0,,0,0.9431741450240304,0.9431741450240304,0
0.05,9,51,0.8852511390856193,0.7759911874100427,0.9467796610169491,1.0,1,12,138,0.14894665572505367,0.14894665572505367,1
0.05,10,52,0.3466830720650097,0.3009316052778054,0.1277966101694916,0.423728813559322,0,,0,0.9416673444497962,0.9416673444497962,0
0.05,11,53,0.3613357291044005,0.27056624710440247,0.11005649717514132,0.288135593220339,0,,0,0.94896937077647,0.94896937077647,0
0.05,12,54,0.38005488106588486,0.2537384411663186,0.10598870056497178,0.3389830508474576,0,,0,0.933895088531404,0.933895088531404,0
0.05,13,55,0.3561355775150487,0.2713124812727021,0.09389830508474581,0.2711864406779661,0,,0,0.9518160274451577,0.9518160274451577,0
0.05,14,56,0.361612238619999,0.2760998649742302,0.1423728813559323,0.6101694915254238,0,,0,0.9440984574738601,0.9440984574738601,0
0.05,15,57,0.3370226905500978,0.27530352186155976,0.09333333333333342,0.2711864406779661,0,,0,0.9489990209353991,0.9489990209353991,0
0.05,16,58,0.8698896109573931,0.7411471980184775,0.9484745762711864,1.0,1,12,138,0.17336246593130109,0.17336246593130109,1
0.05,17,59,0.3649955132300056,0.2750203852257589,0.10971751412429384,0.3728813559322034,0,,0,0.9333127037850785,0.9333127037850785,0
0.05,18,60,0.8688474120686007,0.7890167129673096,0.9508474576271186,1.0,1,10,140,0.16723963133098785,0.16723963133098785,1
0.05,19,61,0.8592131917307341,0.774914598824959,0.9506214689265535,1.0,1,10,140,0.16322415328134868,0.16322415328134868,1
0.05,20,62,0.8898534620090721,0.7869721993870114,0.9526553672316382,1.0,1,10,140,0.16228034150539164,0.16228034150539164,1
0.05,21,63,0.36135123960264953,0.29481902200370763,0.12214689265536731,0.3559322033898305,0,,0,0.9246362367914516,0.9246362367914516,0
0.05,22,64,0.35936362699752555,0.2541809321164083,0.10994350282485885,0.3559322033898305,0,,0,0.9389309348367741,0.9389309348367741,0
0.05,23,65,0.8403436555135356,0.76995503525871,0.9424858757062147,1.0,1,13,137,0.1591277541981216,0.1591277541981216,1
0.05,24,66,0.3616862925761562,0.2895791304604674,0.1314124293785312,0.4406779661016949,0,,0,0.9319260529818297,0.9319260529818297,0
0.05,25,67,0.32678321537225197,0.24806114787052533,0.11875706214689266,0.288135593220339,0,,0,0.932079020059405,0.932079020059405,0
0.05,26,68,0.9098219618405987,0.7788680694093545,0.9511864406779661,1.0,1,10,140,0.13942468197281968,0.13942468197281968,1
0.05,27,69,0.3452935854313071,0.2845224374592895,0.13175141242937857,0.3220338983050847,0,,0,0.9438587237624996,0.9438587237624996,0
0.05,28,70,0.33027397869000297,0.24697899085103794,0.12327683615819214,0.288135593220339,0,,0,0.9202699252733386,0.9202699252733386,0
0.05,29,71,0.8574209787917937,0.73641116883905,0.9473446327683616,1.0,1,11,139,0.14334259633905996,0.14334259633905996,1
0.07,0,42,0.33543144120262713,0.2839996940903755,0.15310734463276843,0.3559322033898305,0,,0,0.930968872954568,0.930968872954568,0
0.07,1,43,0.35315309166923736,0.2485334616261518,0.14418079096045203,0.4915254237288136,0,,0,0.9411775790561859,0.9411775790561859,0
0.07,2,44,0.35912932659182445,0.26438703347399184,0.1420338983050849,0.4067796610169492,0,,0,0.9453889778537912,0.9453889778537912,0
0.07,3,45,0.8687543574772155,0.7674801136072407,0.9553672316384181,1.0,1,10,140,0.12996945775089153,0.12996945775089153,1
0.07,4,46,0.8435412764505719,0.7528017532252956,0.9550282485875705,1.0,1,9,141,0.16907893957091205,0.16907893957091205,1
0.07,5,47,0.34976163874547694,0.27333478325848065,0.12146892655367242,0.3220338983050847,0,,0,0.9348376021279151,0.9348376021279151,0
0.07,6,48,0.8474216822405359,0.7540770501482026,0.9516384180790961,1.0,1,11,139,0.14628199204180592,0.14628199204180592,1
0.07,7,49,0.36181643589780066,0.26980013743394066,0.12858757062146908,0.3220338983050847,0,,0,0.932731914455217,0.932731914455217,0
