run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,disturbance_first,collapsed,failure_reason
0,42,0.3281805268964739,0.2781200484188323,0.31638418079096015,0.576271186440678,0,,0,0.8700803547420011,0.8700803547420011,1,0,bounded
1,43,0.3389180160289621,0.2456307323858241,0.3003389830508475,0.6949152542372882,0,,0,0.8927285259084495,0.8927285259084495,1,0,bounded
2,44,0.34997998809743824,0.2615190103854251,0.2776271186440677,0.576271186440678,0,,0,0.8992622931400819,0.8992622931400819,1,0,bounded
3,45,0.8544083320520937,0.7612521207038293,0.9664406779661018,1.0,1,7,143,0.08859507479675399,0.08859507479675399,1,1,sustained_ignition
4,46,0.8346002009063616,0.7461933852705889,0.9663276836158191,1.0,1,7,143,0.10030095189008446,0.10030095189008446,1,1,sustained_ignition
5,47,0.3380340192801599,0.26880501308655413,0.26124293785310715,0.4915254237288136,0,,0,0.8774973955186605,0.8774973955186605,1,0,bounded
6,48,0.8459262806582823,0.7474220240870807,0.9636158192090395,1.0,1,8,142,0.09700463385798617,0.09700463385798617,1,1,sustained_ignition
7,49,0.3484649519684122,0.2643439869397231,0.271412429378531,0.4915254237288136,0,,0,0.8876098905644226,0.8876098905644226,1,0,bounded
8,50,0.8956688801367564,0.7498133648859526,0.964180790960452,1.0,1,8,142,0.08122993457873236,0.08122993457873236,1,1,sustained_ignition
9,51,0.8737693166414899,0.7674716224842636,0.9649717514124294,1.0,1,8,142,0.07363873860852593,0.07363873860852593,1,1,sustained_ignition
10,52,0.3364883805872432,0.29263906621160823,0.3333333333333336,0.6779661016949152,0,,0,0.8810993009174084,0.8810993009174084,1,0,bounded
11,53,0.35058252623711694,0.2759451991389931,0.29480225988700537,0.559322033898305,0,,0,0.8910825844110716,0.8910825844110716,1,0,bounded
12,54,0.36869220939184566,0.25164299720098343,0.2850847457627118,0.576271186440678,0,,0,0.864416517067359,0.864416517067359,1,0,bounded
13,55,0.3442688620063989,0.2667650362679632,0.269830508474576,0.4915254237288136,0,,0,0.8866500078575331,0.8866500078575331,1,0,bounded
14,56,0.8562657246920864,0.7616737608214644,0.9627118644067796,1.0,1,9,141,0.08472499677345235,0.08472499677345235,1,1,sustained_ignition
15,57,0.32626821414016577,0.2688554919471988,0.26474576271186423,0.423728813559322,0,,0,0.8870430475625849,0.8870430475625849,1,0,bounded
16,58,0.8559867051504086,0.7355218052135254,0.9650847457627119,1.0,1,8,142,0.08788743945783223,0.08788743945783223,1,1,sustained_ignition
17,59,0.3538586749673808,0.26697577263496647,0.29898305084745735,0.576271186440678,0,,0,0.8574182942658694,0.8574182942658694,1,0,bounded
18,60,0.8400358152841606,0.7799867290864453,0.9658757062146893,1.0,1,8,142,0.08785048013311081,0.08785048013311081,1,1,sustained_ignition
19,61,0.8186022630208264,0.758500735750207,0.9662146892655367,1.0,1,8,142,0.0854397574099799,0.0854397574099799,1,1,sustained_ignition
20,62,0.877479944762655,0.7766151238957826,0.9663276836158191,1.0,1,8,142,0.08192707524385276,0.08192707524385276,1,1,sustained_ignition
21,63,0.347401329768707,0.28814347921469435,0.31593220338983047,0.576271186440678,0,,0,0.8472111378318432,0.8472111378318432,1,0,bounded
22,64,0.34754867383587296,0.24960386368543475,0.2865536723163841,0.5932203389830508,0,,0,0.8670461352690811,0.8670461352690811,1,0,bounded
23,65,0.8364256659828866,0.7648250057351155,0.9637288135593219,1.0,1,9,141,0.07858385848125042,0.07858385848125042,1,1,sustained_ignition
24,66,0.3502522740986958,0.2830744537412603,0.3098305084745763,0.6779661016949152,0,,0,0.8505346697639039,0.8505346697639039,1,0,bounded
25,67,0.3177547643359969,0.24567225452206734,0.2970621468926554,0.4576271186440678,0,,0,0.8607567007442174,0.8607567007442174,1,0,bounded
26,68,0.9070928008865629,0.7727305135227284,0.9651977401129943,1.0,1,8,142,0.0696178781965546,0.0696178781965546,1,1,sustained_ignition
27,69,0.337376093419652,0.2642078715471488,0.3161581920903956,0.5423728813559322,0,,0,0.8706310005864967,0.8706310005864967,1,0,bounded
28,70,0.32214345507928926,0.24389453536265243,0.3051977401129943,0.5084745762711864,0,,0,0.8375295812293869,0.8375295812293869,1,0,bounded
29,71,0.8572052743318122,0.7310105860485523,0.964632768361582,1.0,1,8,142,0.07647766607986393,0.07647766607986393,1,1,sustained_ignition
