run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8603942314125739,0.8127896499051814,0.9483374076262798,0.5253367709912851,0.9312527940748374,0.9729884207921418,,,1,0,0,0.054555545343304646
1,43,0.896000846183955,0.8270447562830024,0.993906977229399,0.7590180319141623,0.9312474262770171,0.9076311515125111,,,1,0,0,0.05334350901188689
2,44,0.8330756574930498,0.7432281955234451,0.9601282062827647,0.3732742902723364,0.9311859659641837,0.9857766698761425,63,70,0,1,0,0.06050302973384791
3,45,0.9602651094769442,0.5933114881933682,0.9602651094769442,0.8524756417563608,0.9311907443547252,0.990392359240392,2,57,0,1,0,0.086599259096382
4,46,0.8861418610382679,0.8045360146000664,0.9677620488593798,0.6685247504033068,0.9312420584791973,0.9575408870986599,,,1,0,0,0.0516993405188273
5,47,0.8691978036119609,0.6286819185951344,0.918093104203918,0.6333056156997032,0.9311644746782023,0.9753787917405067,27,76,0,1,0,0.08851941943224317
6,48,0.953024314855928,0.5912159188159208,0.953024314855928,0.8586790493911302,0.9311919363026492,0.95432298524033,35,77,0,1,0,0.07363418296257707
7,49,0.8768427656034063,0.7628415762570026,0.933490542884464,0.6944675487963152,0.9312205819787084,0.9510254262009605,46,55,0,1,0,0.057923894424474764
8,50,0.8905711991265602,0.7741832669242896,0.9541917933069233,0.7323711985543384,0.9312742613238324,0.9100338871721866,18,21,0,1,0,0.056454183268927594
9,51,0.7260103187066532,0.6072621814324117,0.8924455054338105,0.3094173158424406,0.9311871623443657,0.8038112819489311,17,30,0,1,1,0.05549004291674586
10,52,0.9074278892504549,0.6354686235752887,0.9250833602548441,0.681455835194856,0.931197309069619,0.990375599299349,22,31,0,1,0,0.08227267939478144
11,53,0.8390502508712359,0.7946474166972822,0.9923852989977041,0.6001071406819508,0.9312569685268518,0.8889245513665147,64,69,0,1,0,0.050399491340599845
12,54,0.854272711539586,0.6890889374155067,0.9467831787510184,0.6287681041021381,0.9312366912867015,0.9557079963188094,12,45,0,1,0,0.07516487519499071
13,55,0.9721478061963017,0.7718607599012253,0.992489142014862,0.9318559788972292,0.9312372857942033,0.8867231825484031,45,50,0,1,0,0.05703481002469368
14,56,0.8450022774209315,0.7368436910766474,0.9155611358815748,0.5956951339237819,0.9312665098557408,0.9073893335948533,13,14,0,1,0,0.05462227157320232
15,57,0.6943332267457609,0.6259487899618585,0.9063339152863117,0.3109229068989635,0.9312116315657982,0.8319315061891833,31,44,0,1,1,0.08918741148852294
16,58,0.9232686845290788,0.8198028639260126,0.9667155612715324,0.726836331936528,0.9312903565081717,0.9858319767038273,,,1,0,0,0.04810703609028666
17,59,0.8011107343887031,0.7141454512766661,0.976097670573203,0.5964282734026979,0.9312223717724515,0.8947451277085995,62,78,0,1,0,0.05763004438401609
18,60,0.6990986096436997,0.6095245036663852,0.8840770002516077,0.30387070157447704,0.9311925334337791,0.8028159484943442,22,,0,0,1,0.05381600379923923
19,61,0.8661341043448635,0.8286019485993681,0.9580231087237405,0.446509194315431,0.9312635288322393,0.9771107514004523,,,1,0,0,0.05098465151631648
