step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_effective_info,stable_share
0,0.8557885759382449,0.78562603744,0.5094109667500001,0.5205794828743999,0.11000000000000001,0.06599999999999999,0.5881289000000001,1.0
1,0.8601646691379805,0.7601701291433272,0.5186448010268435,0.5581800577543824,0.11000000000000001,0.06599999999999999,0.5881289000000001,1.0
2,0.8600713138163456,0.758875974787042,0.5276974675337983,0.5663832292810552,0.16999999999999998,0.10200000000000001,0.5871083000000001,1.0
3,0.8645523016610028,0.7589667773351648,0.5365905285842838,0.5849106869570948,0.08,0.049,0.58861085,0.95
4,0.8623256625468553,0.7117382278540059,0.5453179146474936,0.6207172685889975,0.065,0.039999999999999994,0.5888660000000001,0.95
5,0.8684612056537684,0.7266023796560348,0.5538809378049023,0.6524952211954161,0.065,0.039999999999999994,0.5888660000000001,0.95
6,0.8670151657435484,0.6930382407492669,0.5622826936395693,0.6917258173257143,0.065,0.039999999999999994,0.5888660000000001,0.95
7,0.8621827304395125,0.6731606938808767,0.5705277084175231,0.696898199594673,0.05,0.032,0.5890928000000001,0.9
8,0.8589028741421363,0.6652254968135437,0.5786137640814775,0.7101927705530322,0.08,0.052000000000000005,0.5885258000000001,0.8
9,0.8550902962155573,0.6699728079673888,0.5865491891611904,0.7186058158918558,0.065,0.043,0.5887809500000001,0.8
10,0.8512908806753385,0.6612310962661423,0.59432726449513,0.7300449595872915,0.13999999999999999,0.088,0.5875052000000001,0.8
11,0.8525838488167944,0.6651139055321535,0.6019600496317318,0.7413298665833563,0.11000000000000001,0.08199999999999999,0.5876753000000001,0.8
12,0.8581601132806336,0.6699888608280572,0.6094544700539046,0.7622950553663834,0.08,0.051000000000000004,0.5885541500000001,0.85
13,0.8560333552504795,0.6511901238799903,0.6168094439215059,0.7738185351513283,0.065,0.040999999999999995,0.5888376500000001,0.9
14,0.8520826377711428,0.6556619748345728,0.6240188979062434,0.7780436727347025,0.125,0.08399999999999999,0.5876186000000001,0.85
15,0.8557964686069688,0.672990097982121,0.6310994263754468,0.7891148492744002,0.065,0.041999999999999996,0.5888093000000001,0.85
16,0.8522257260076387,0.6403083708151607,0.6380390824701636,0.8013351152244634,0.125,0.09,0.5874485,0.85
17,0.8396420805825752,0.5750226253449184,0.6448541956488801,0.8020810961105287,0.08,0.051000000000000004,0.5885541500000001,0.85
18,0.8383346592557508,0.5831273347998348,0.6515357062247513,0.8136714684296786,0.125,0.086,0.5875619000000001,0.75
19,0.8443888363363998,0.6031640576772066,0.6580961082271989,0.8362629933802893,0.08,0.05500000000000001,0.5884407500000001,0.65
20,0.8453431363561983,0.5989023108860069,0.6645344540303981,0.8451011527549059,0.065,0.045,0.5887242500000001,0.7
21,0.8443644907401812,0.5812026691189489,0.6708434280235787,0.8688614993592534,0.13999999999999999,0.10200000000000001,0.5871083000000001,0.7
22,0.8419124762071031,0.5856004327817831,0.677040330571277,0.8706941525080326,0.08,0.05500000000000001,0.5884407500000001,0.65
23,0.8387103700323646,0.5929045054669946,0.6831180950493454,0.8686472240395814,0.11000000000000001,0.073,0.5879304500000001,0.65
24,0.8409848005878015,0.6002531104560702,0.6890830994877234,0.8767723050798576,0.08,0.061,0.5882706500000001,0.65
25,0.8383767539627593,0.5884253312752113,0.6949342317000268,0.8914134000484413,0.11000000000000001,0.073,0.5879304500000001,0.65
26,0.8407894774319133,0.6079599519091189,0.7006764185537078,0.889197858408161,0.095,0.064,0.5881856000000001,0.65
27,0.833739309238138,0.5780808398476656,0.7063084850674498,0.8877553997090308,0.10999999999999999,0.07999999999999999,0.5877320000000001,0.6
28,0.8308713660297604,0.5862896451967823,0.7118379513041155,0.8857044103268761,0.065,0.053000000000000005,0.5884974500000001,0.6
29,0.8305834137196093,0.5933782612976086,0.717258777439738,0.8974040590588371,0.125,0.09,0.5874485,0.55
30,0.8331732169291035,0.6108879098279629,0.7225755835523107,0.9068299957946419,0.125,0.10699999999999998,0.5869665500000001,0.6
31,0.8240381143870614,0.5574789213747191,0.7277977186374732,0.9040564111000006,0.08,0.062,0.5882423000000001,0.6
32,0.8264606718527151,0.5368832710003313,0.732923291141277,0.917184451445728,0.065,0.047,0.58866755,0.6
33,0.8163475010700301,0.49858605148475305,0.7379470105300523,0.9336611204815263,0.125,0.094,0.5873351000000001,0.65
34,0.8118550031405072,0.4875028629718801,0.7428824746545606,0.9305234706765123,0.05,0.038,0.5889227000000001,0.6
35,0.811881167669471,0.504256780419596,0.7477212683073639,0.9303804935949129,0.095,0.072,0.5879588000000001,0.55
36,0.808026594754758,0.49164819624790856,0.7524693190992916,0.9277944628936696,0.08,0.06899999999999999,0.5880438500000001,0.55
37,0.8065340362609742,0.4992698464318376,0.7571251669064868,0.9274033406480877,0.125,0.096,0.5872784000000001,0.55
38,0.8059891388869047,0.49962136821066083,0.7616985032808545,0.9241973468525888,0.065,0.047,0.58866755,0.6
39,0.8031715404610538,0.5019146878503682,0.7661808602331728,0.9196529496206749,0.125,0.095,0.5873067500000001,0.6
40,0.8033974130159274,0.524967569449323,0.7705803971082013,0.9157127469719525,0.11000000000000001,0.07999999999999999,0.5877320000000001,0.6
41,0.8057961534325994,0.5468291979576302,0.7748971517852333,0.9141913399482522,0.11000000000000001,0.07999999999999999,0.5877320000000001,0.6
42,0.8016030214577775,0.5321525966150815,0.77913354365259,0.9141165470493661,0.095,0.071,0.5879871500000001,0.6
43,0.8013852612937479,0.5296968018709214,0.7832895507145207,0.9117610161767715,0.095,0.078,0.5877887000000002,0.55
44,0.8027676475360174,0.5399456319077667,0.7873692898535889,0.9087705933776171,0.08,0.056999999999999995,0.5883840500000002,0.55
45,0.8062827560053096,0.525481271771433,0.7913708689197565,0.9130122091492818,0.095,0.072,0.5879588000000001,0.55
46,0.8150085895830962,0.548727119973663,0.7953001566254305,0.9192841000506086,0.05,0.038,0.5889227000000001,0.6
47,0.8154296206886544,0.5462338243052243,0.7991533514521717,0.9161339794453036,0.08,0.062,0.5882423000000001,0.6
48,0.8140390744344013,0.5317056150149407,0.8029332463693015,0.9167771766397228,0.095,0.071,0.5879871500000001,0.6
49,0.816667624787503,0.5425430123051662,0.8066440159721686,0.9161428277262148,0.065,0.047,0.58866755,0.6
50,0.8182103843718987,0.5524159084494855,0.8102836784240128,0.9164702264782296,0.08,0.062,0.5882423000000001,0.6
51,0.8185117778951165,0.5383838196419556,0.8138560394138225,0.9193542102120855,0.065,0.047,0.58866755,0.6
52,0.8218106645305296,0.5368340367685634,0.8173610535204018,0.9271490904156294,0.065,0.048,0.5886392,0.55
53,0.8230141156366164,0.5470920092670877,0.8207989822766514,0.9248383812240488,0.08,0.062,0.5882423000000001,0.6
54,0.8209064861417724,0.543500901602352,0.8241685386770596,0.9249111915389641,0.13999999999999999,0.10999999999999999,0.5868815000000002,0.6
55,0.8201581649789558,0.5236113696990651,0.8274795220548599,0.9280639950884704,0.065,0.046,0.5886959,0.65
56,0.8102682457645738,0.49809998535196104,0.8307247096598452,0.9269383304493994,0.125,0.093,0.5873634500000001,0.7
57,0.8152215188754969,0.5107927845548969,0.8339115899245515,0.9330227244764859,0.08,0.05500000000000001,0.5884407500000001,0.65
58,0.8059771885987008,0.47480939387574433,0.8370374123338822,0.928934680143478,0.095,0.06999999999999999,0.5880155000000001,0.65
59,0.799694649555524,0.4884596873324387,0.8401044060048595,0.9249755787270206,0.095,0.06999999999999999,0.5880155000000001,0.65
60,0.7973567971790284,0.49200729637797186,0.8431120454648726,0.9204140445670145,0.125,0.094,0.5873351000000001,0.65
61,0.7941911806162232,0.4802616768858899,0.8460645794248041,0.9166646037919952,0.095,0.072,0.5879588000000001,0.55
62,0.7946956006038457,0.481996354639462,0.8489637089767044,0.9162633377589506,0.05,0.039,0.5888943500000001,0.55
63,0.7945628052729965,0.4933840253491743,0.8518041268872727,0.9143715628401651,0.125,0.10300000000000001,0.5870799500000001,0.5
64,0.7945116989649389,0.4919970900581598,0.8545912543114758,0.9139118134673824,0.11000000000000001,0.101,0.5871366500000001,0.45
65,0.789374973579799,0.4560841667137784,0.8573276951928068,0.9120101231716337,0.095,0.073,0.5879304500000001,0.5
66,0.7850382211486281,0.4574928208418032,0.8600125781541316,0.9088997015825762,0.095,0.074,0.5879021000000002,0.45
67,0.7781530344516934,0.471177312086094,0.8626468762598624,0.9053834588463564,0.095,0.075,0.5878737500000002,0.4
68,0.7781610513355985,0.47055406641025915,0.8652300236758859,0.9095255359226438,0.10999999999999999,0.10200000000000001,0.5871083000000001,0.4
69,0.7842202208786979,0.48245890972243294,0.8677657952692908,0.9232131797786091,0.095,0.08099999999999999,0.5877036500000001,0.4
70,0.7918021798599166,0.48318180972802444,0.8702553168194873,0.9258825985661814,0.065,0.05500000000000001,0.5884407500000001,0.5
71,0.7963120541863122,0.49487271883019784,0.8726963131629013,0.9343842862400094,0.095,0.08499999999999999,0.5875902500000001,0.5
72,0.8011225252739781,0.5002648969164486,0.8750930096324405,0.9325951556433614,0.065,0.05500000000000001,0.5884407500000001,0.5
73,0.8064959606789662,0.48797124249579005,0.8774445314400946,0.9393924894174184,0.065,0.05600000000000001,0.5884124000000001,0.45
74,0.8045061021879976,0.48807163635078316,0.8797507419973964,0.9369188394694877,0.11000000000000001,0.076,0.5878454000000002,0.5
