run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8456612685653873,0.8080295731506162,0.9394745197438832,0.5096908536741962,0.9252663911099396,0.9727881056691251,,,1,0,0,0.055592195408694645
1,43,0.8827992732905797,0.8240846998944449,0.9856391023790713,0.7483645847652064,0.925248898812128,0.9084527351363204,,,1,0,0,0.05500507110479047
2,44,0.8168284279980935,0.705322468062755,0.9517771802552437,0.3497179153489354,0.9251724057089018,0.9857348330908959,60,73,0,1,0,0.07356560467856998
3,45,0.9400030807496952,0.5831386653509388,0.9400030807496952,0.8210466714276345,0.9251750003799247,0.9903758042012999,2,64,0,1,0,0.08818419877608663
4,46,0.8528056887377327,0.7144754271718714,0.9589603551462903,0.614969887645799,0.9252015850724903,0.9568142185336204,66,88,0,1,0,0.05284721898196776
5,47,0.8633491720922715,0.6165139000589567,0.9024056806571226,0.6180434199428556,0.9251963986978344,0.9805312742045046,7,12,0,1,0,0.09418868495538635
6,48,0.9449553396697102,0.5966693303573141,0.9449553396697102,0.8557056210427006,0.9252151994617546,0.9582449060463664,34,77,0,1,0,0.07338552263668041
7,49,0.8714281826642861,0.7135661729184846,0.9221445818478142,0.6826686765415416,0.9252074207933042,0.9559561132473443,7,12,0,1,0,0.08391276854609875
8,50,0.8738006963488736,0.7490754054122952,0.9506373166387435,0.7144633998694306,0.9252327004375261,0.9070856142241218,17,21,0,1,0,0.06244580598521943
9,51,0.710500415194473,0.5966610329358013,0.885101496356192,0.29184730410938936,0.9251866723613691,0.7939193426053197,17,32,0,1,1,0.06080942229891362
10,52,0.8900662439557578,0.6221293919110359,0.9214462792002254,0.6498754259387245,0.925183431643065,0.9903590294192419,21,86,0,1,0,0.08674585442093341
11,53,0.8356160882257672,0.7703779392199093,0.9883874274453388,0.5924554129058918,0.9252644479255724,0.8949882642210145,63,69,0,1,0,0.05549609475001649
12,54,0.7910653160026224,0.6934388322357037,0.9403389000219546,0.5835763168316254,0.9252670389165841,0.911418830734975,12,45,0,1,1,0.07150569394110029
13,55,0.9631696669271872,0.7818366522297839,0.9839978391297621,0.9320362862891882,0.925258617193374,0.888661357076349,51,54,0,1,0,0.05454083694255396
14,56,0.7659150731014015,0.6827695469726316,0.9008519165686666,0.4983988797797207,0.9252132551486163,0.8861958122307392,13,29,0,1,1,0.06250835397488352
15,57,0.6851175670819124,0.6067806158535827,0.8962165497076746,0.304897883845372,0.9251821323825195,0.826374845974979,18,52,0,1,1,0.07996083820206878
16,58,0.9111720410775838,0.8047616936209476,0.9595619606296952,0.7166153690862606,0.9252955358438226,0.9857895812692362,,,1,0,0,0.048044384243928984
17,59,0.7945583300261267,0.7252773366739051,0.9689477233514552,0.5891735198283077,0.9252430670689407,0.9057148802761261,62,78,0,1,1,0.05899426390930729
18,60,0.6893066971745283,0.595876029239844,0.8779656952070705,0.29221852456036707,0.9251944532888847,0.8020188539347062,6,11,0,1,1,0.05806131259967262
19,61,0.8554493317676942,0.8278821431004361,0.9507725762959789,0.43817869209149446,0.9252722209662015,0.9769805337460629,,,1,0,0,0.0520349251641552
